Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	transforming growth factor beta-activated receptor activity (GO:0005024)	8.290811266862965e-05	190.16190476190476	1787.0992964962534	ACVRL1,LTBP4	0.003316324506745186	0	0
2	transmembrane receptor protein serine/threonine kinase activity (GO:0004675)	0.000191392045018297	118.81547619047619	1017.2014676113489	ACVRL1,LTBP4	0.00382784090036594	0	0
3	transforming growth factor beta binding (GO:0050431)	0.00034381145881898543	86.38528138528139	688.9586534300897	ACVRL1,LTBP4	0.004584152784253139	0	0
4	calcium ion binding (GO:0005509)	0.0006140555228237568	12.01529987760098	88.85825157070212	CDH5,SPARC,LTBP4,FBLN1	0.006140555228237568	0	0
5	metal ion binding (GO:0046872)	0.0026443125666503037	7.987688519544475	47.40968029965026	CDH5,SPARC,LTBP4,FBLN1	0.02115450053320243	0	0
6	transforming growth factor beta receptor activity, type I (GO:0005025)	0.005737289113328647	226.9659090909091	1171.3185051583378	ACVRL1	0.028833794422481813	0	0
7	activin receptor activity, type I (GO:0016361)	0.005737289113328647	226.9659090909091	1171.3185051583378	ACVRL1	0.028833794422481813	0	0
8	cadherin binding (GO:0045296)	0.005766758884496363	9.2435736677116	47.65658505296339	CDH5,AHNAK,SPTAN1	0.028833794422481813	0	0
9	BMP receptor activity (GO:0098821)	0.006880968324420164	181.56363636363636	904.0045996114618	ACVRL1	0.030582081441867397	0	0
10	vascular endothelial growth factor receptor 2 binding (GO:0043184)	0.009164554745730224	129.67532467532467	608.4900471331728	CDH5	0.0366582189829209	0	0
11	activin-activated receptor activity (GO:0017002)	0.010304464378507131	113.46022727272727	519.1007405544717	ACVRL1	0.03747077955820775	0	0
12	ionotropic glutamate receptor binding (GO:0035255)	0.01144311994957642	100.84848484848484	450.8296990682604	SHANK3	0.03814373316525474	0	0
13	vascular endothelial growth factor receptor binding (GO:0005172)	0.013716673976595	82.50413223140495	353.872030109198	CDH5	0.042205150697215386	0	0
14	BMP receptor binding (GO:0070700)	0.014851574986337721	75.625	318.3547328251434	CDH5	0.04243307138953634	0	0
15	transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	0.018248789418907417	60.49090909090909	242.18482345145705	CDH5	0.04844675583742096	0	0
16	glutamate receptor binding (GO:0035254)	0.019378702334968384	56.70738636363637	223.63015065372352	SHANK3	0.04844675583742096	0	0
