Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	TGFB UP.V1 UP	1.174966401523745e-08	10.170025839793281	185.6989887348215	CDK17,EDN1,PLEKHA1,GADD45B,SLCO2A1,PMP22,TBC1D2B,SMAD6,KLF4,CRYAB,JUNB,LMCD1	1.8681965784227546e-06	0	0
2	RELA DN.V1 UP	1.1252440188297768e-06	9.603409090909091	131.54279820494034	PPP1R15A,EGR1,ZFP36,GADD45B,FOSB,LMO7,FOS,JUNB,PRKG1	8.945689949696726e-05	0	0
3	ESC V6.5 UP EARLY.V1 DN	3.6942556172197125e-06	8.238706079196877	103.05576209253532	SOCS3,TUBB6,AHNAK,COL4A2,COL4A1,CAV1,PMP22,KLF4,JUNB	0.00019579554771264476	0	0
4	ATF2 S UP.V1 DN	7.297739927946659e-06	7.538687436159346	89.16718682515298	ITIH5,DES,ADH1B,SLIT3,SVEP1,ABCA8,FOS,SMAD6,A2M	0.0002900851621358797	0	0
5	CRX DN.V1 DN	4.643737531518662e-05	8.116347396873898	80.98009257034442	SOCS3,EGR1,PPP1R14A,TUBB6,COL4A2,JUNB,GNG11	0.0014767085350229346	0	0
6	ESC J1 UP LATE.V1 UP	6.406762613072665e-05	6.467315830560007	62.445629601352	SGCE,GADD45B,COL4A2,GPX3,COL4A1,SLCO2A1,LMO7,CRYAB	0.0016977920924642561	0	0
7	CSR LATE UP.V1 DN	0.00020603341261937484	6.312242468638403	53.574982504709375	ACVRL1,CLEC3B,TNXB,TBC1D2B,SVEP1,APOL3,PRKG1	0.0046799018009258	0	0
8	ESC J1 UP EARLY.V1 DN	0.00028233988843787003	5.9792172856647	48.86454897536094	EGR1,CNN1,SOCS3,ZFP36,EDN1,KLF4,JUNB	0.005611505282702667	0	0
9	E2F1 UP.V1 DN	0.00044474440186769576	5.525236719627668	42.64383677764201	TNXB,LAMA4,ALDH1A1,APBB2,TCF4,SASH1,RUNX1T1	0.007293605163687485	0	0
10	RAF UP.V1 DN	0.00045871730589229465	5.495410647298268	42.243641654219225	B3GALNT1,EPB41L2,CAV1,PMP22,APBB2,FOS,MYLK	0.007293605163687485	0	0
11	CAMP UP.V1 DN	0.0005500930037008248	5.322944861186296	39.950953834280725	TJP1,ZFP36,DST,MYO15B,FOSB,SVEP1,MYH10	0.007951344326221013	0	0
12	CORDENONSI YAP CONSERVED SIGNATURE	0.0006998047416240043	10.91089381627875	79.26447071319294	GADD45B,PMP22,SLIT2,TNS1	0.009272412826518058	0	0
13	ESC J1 UP LATE.V1 DN	0.0020740818189547	4.859012345679012	30.02012849758765	EGR1,SOCS3,EDN1,RNPC3,KLF4,ACACB	0.019467381199450316	0	0
14	ATF2 UP.V1 DN	0.0021306411962551896	4.831921424186618	29.722754392678766	ITIH5,SLIT3,SVEP1,ABCA8,FOS,SMAD6	0.019467381199450316	0	0
15	ESC V6.5 UP LATE.V1 UP	0.0023073269134611927	4.752415458937198	28.85507748183611	SGCE,COL4A2,GPX3,COL4A1,TNNC1,SLIT3	0.019467381199450316	0	0
16	IL15 UP.V1 UP	0.002431108480905527	4.700836320191159	28.29625156751643	ACVRL1,EGR1,GADD45B,HEG1,FOS,JUNB	0.019467381199450316	0	0
17	IL2 UP.V1 UP	0.002431108480905527	4.700836320191159	28.29625156751643	EGR1,CLDN5,GADD45B,HEG1,FOS,JUNB	0.019467381199450316	0	0
18	EGFR UP.V1 UP	0.002494842290029258	4.675460487225193	28.022511582107132	SDCBP,EDN1,SLCO2A1,A2M,KLF4,JUNB	0.019467381199450316	0	0
19	CYCLIN D1 KE .V1 DN	0.002559825207459245	4.650354609929078	27.752462047299865	ADH1B,CAV1,ALDH1A1,A2M,RAPGEF5,EML1	0.019467381199450316	0	0
20	KRAS.DF.V1 DN	0.002559825207459245	4.650354609929078	27.752462047299865	TNXB,SEMA6A,HSPB6,ADRB2,SMAD6,KLF4	0.019467381199450316	0	0
21	MEK UP.V1 UP	0.002693599914389352	4.60093567251462	27.223169179662893	SGCE,SDCBP,EDN1,GPX3,FHL1,KLF4	0.019467381199450316	0	0
22	RAF UP.V1 UP	0.002693599914389352	4.60093567251462	27.223169179662893	SGCE,SDCBP,GJA5,HEG1,TBC1D2B,FYN	0.019467381199450316	0	0
23	BMI1 DN.V1 DN	0.003565595466720618	5.215827338129497	29.39861547195152	EGR1,GPX3,FOS,NDRG2,CES1	0.024649116487329488	0	0
24	MEL18 DN.V1 DN	0.0040065964424969985	5.068901686548745	27.979390264177905	EGR1,FRMD4B,FOS,NDRG2,A2M	0.026543701431542617	0	0
25	STK33 UP	0.004810066182927199	3.5750704519361234	19.08030986207908	PPP1R15A,EGR1,ZFP36,ZEB2,FOS,GNG11,JUNB	0.029959549963436284	0	0
26	STK33 NOMO UP	0.004899045905970714	3.5624317437204223	18.94755846030478	PPP1R15A,ZFP36,ZEB2,FOS,A2M,GNG11,JUNB	0.029959549963436284	0	0
