Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	carboxylic acid binding (GO:0031406)	5.374154058074875e-05	22.136528280858176	217.63138813709753	GCLC,SHMT2,AKR1C1,AKR1C2	0.0052783805254314545	0	0
2	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	6.673233398331893e-05	46.82731554160126	450.2362547422628	NQO1,AKR1C1,AKR1C2	0.0052783805254314545	0	0
3	alcohol dehydrogenase (NADP+) activity (GO:0008106)	8.073522203341371e-05	43.48032069970846	409.77313520380227	ALDH3A1,AKR1C1,AKR1C2	0.0052783805254314545	0	0
4	protein homodimerization activity (GO:0042803)	8.688692222932436e-05	4.164866032843561	38.94525840273196	GSTM3,NTRK2,TENM2,GSTM1,TPI1,JUP,TENM4,SHMT2,HSPB1,MAP3K13,S100A11,UGT1A6	0.0052783805254314545	0	0
5	cadherin binding (GO:0045296)	0.00022839322791914427	5.365385932470379	44.98576571358676	LAD1,CDH3,JUP,PRDX1,SLC3A2,ALDOA,YWHAZ,S100A11	0.008679036537935563	0	0
6	ketosteroid monooxygenase activity (GO:0047086)	0.00025001339821213557	133.97979797979798	1111.227915048666	AKR1C1,AKR1C2	0.008679036537935563	0	0
7	L-leucine transmembrane transporter activity (GO:0015190)	0.00025001339821213557	133.97979797979798	1111.227915048666	SLC7A5,SLC3A2	0.008679036537935563	0	0
8	monocarboxylic acid binding (GO:0033293)	0.0005069872393361842	21.72485422740525	164.8270061410592	AKR1C1,AKR1C2,UGT1A6	0.01408254427356311	0	0
9	branched-chain amino acid transmembrane transporter activity (GO:0015658)	0.0005215757138356707	80.37979797979798	607.5632510670082	SLC7A5,SLC3A2	0.01408254427356311	0	0
10	androsterone dehydrogenase activity (GO:0047023)	0.0006931448085674015	66.97979797979798	487.22924366705774	AKR1C1,AKR1C2	0.016603500121039453	0	0
11	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	0.0007907171584833318	18.428571428571427	131.6273656441415	AKR1C1,AKR1C2,CYP4F11	0.016603500121039453	0	0
12	aromatic amino acid transmembrane transporter activity (GO:0015173)	0.0008882530928951148	57.40836940836941	403.36577606451834	SLC7A5,SLC3A2	0.016603500121039453	0	0
13	bile acid binding (GO:0032052)	0.0008882530928951148	57.40836940836941	403.36577606451834	AKR1C1,AKR1C2	0.016603500121039453	0	0
14	cysteine-type endopeptidase inhibitor activity (GO:0004869)	0.0010782770834010882	16.432984004412575	112.2765688076374	SERPINB13,PTTG1,BIRC5	0.01792794376359066	0	0
15	aldo-keto reductase (NADP) activity (GO:0004033)	0.0011066631952833742	50.22979797979798	341.8843944063951	ALDH3A1,AKR1C1	0.01792794376359066	0	0
16	alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	0.0013481394969758471	44.64646464646464	295.06981475249296	AKR1C1,AKR1C2	0.02047486861032068	0	0
17	insulin-like growth factor I binding (GO:0031994)	0.0018993569194187185	36.525252525252526	228.8759952267877	ITGB4,IGFBP3	0.02714963125992639	0	0
18	insulin-like growth factor binding (GO:0005520)	0.0025400550495659814	30.902874902874903	184.66227750849544	ITGB4,IGFBP3	0.03429074316914075	0	0
19	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)	0.0036648982381020144	25.10479797979798	140.8116748697442	AKR1C1,AKR1C2	0.046872119571515235	0	0
