Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	2.3450120779743294e-06	17.89082706766917	231.92272735957314	ALDH3A1,GSTM3,GSTM1,AKR1C1,CBR3,UGT1A6	0.00044320728273714824	0	0
2	Glutathione metabolism	1.0105107850573033e-05	19.87880608974359	228.65536142304308	GSTM3,GPX2,GCLC,GSTM1,GSR	0.0008723931472914298	0	0
3	Pathways in cancer	1.510719674782591e-05	5.034747028641943	55.88740041769016	GSTM3,NQO1,MAP2K2,JAG1,GSTM1,JUP,LAMB3,FZD6,KEAP1,BIRC5,HRAS,CKS1B	0.0008723931472914298	0	0
4	Fructose and mannose metabolism	2.2398371707943035e-05	28.25453252755066	302.50778239454877	TKFC,TPI1,ALDOA,HK2	0.0008723931472914298	0	0
5	Hepatocellular carcinoma	2.3079183790778566e-05	9.129509713228492	97.47193607859097	GSTM3,NQO1,MAP2K2,GSTM1,FZD6,KEAP1,HRAS	0.0008723931472914298	0	0
6	Chemical carcinogenesis	2.873887736036329e-05	7.324116743471582	76.59019115255266	GSTM3,MAP2K2,JAG1,GSTM1,BIRC5,AKR1C2,HRAS,UGT1A6	0.0009052746368514436	0	0
7	Human papillomavirus infection	4.5888936845622514e-05	5.947643802322442	59.41271792515883	COL1A1,MAP2K2,JAG1,LAMB3,RHEB,ITGB4,PARD3,FZD6,HRAS	0.0012390012948318078	0	0
8	mTOR signaling pathway	0.0001311909669193397	8.428591749644381	75.34197242972097	SLC7A5,MAP2K2,RHEB,FZD6,SLC3A2,HRAS	0.0029565329407194095	0	0
9	Cellular senescence	0.00014078728289140046	8.315368421052632	73.74285280157845	PPP3R1,MAP2K2,RHEB,IGFBP3,FOXM1,HRAS	0.0029565329407194095	0	0
10	Amoebiasis	0.00016800962990387962	10.632517182130584	92.41240888831429	COL1A1,SERPINB13,LAMB3,PRDX1,HSPB1	0.0031753820051833247	0	0
11	VEGF signaling pathway	0.00022529031628437148	14.878350515463918	124.95018333980006	PPP3R1,MAP2K2,HSPB1,HRAS	0.003870897252522383	0	0
12	Glycolysis / Gluconeogenesis	0.000367877571410836	12.98379970544919	102.6727766528133	ALDH3A1,TPI1,ALDOA,HK2	0.005794071749720667	0	0
13	PI3K-Akt signaling pathway	0.0004305526753721395	4.861209522033688	37.67651702036805	COL1A1,NTRK2,MAP2K2,LAMB3,RHEB,ITGB4,YWHAZ,HRAS	0.005872611733363984	0	0
14	Central carbon metabolism in cancer	0.0004350082765454803	12.391752577319588	95.91396795483857	SLC7A5,MAP2K2,HRAS,HK2	0.005872611733363984	0	0
15	Drug metabolism	0.0021968431512536003	7.848929421094369	48.04120823229372	ALDH3A1,GSTM3,GSTM1,UGT1A6	0.027680223705795363	0	0
16	Pathways of neurodegeneration	0.002806572961733648	3.5793787847390113	21.031682101784273	SEM1,PPP3R1,GPX2,UCHL1,MAP2K2,NDUFS6,FZD6,HRAS	0.03315264311047871	0	0
17	Steroid hormone biosynthesis	0.003638394158473311	10.472026741731176	58.813131256442475	AKR1C1,AKR1C2,UGT1A6	0.03973919739132199	0	0
18	MAPK signaling pathway	0.0037846854658401896	4.300657894736842	23.983876674027645	NTRK2,PPP3R1,MAP2K2,HSPB1,MAP3K13,HRAS	0.03973919739132199	0	0
19	Oocyte meiosis	0.004164258675911044	6.523381443298969	35.756069317870384	PPP3R1,PTTG1,PKMYT1,YWHAZ	0.041423415249851964	0	0
20	Acute myeloid leukemia	0.0047384701127143715	9.487404336734693	50.776976580173056	MAP2K2,JUP,HRAS	0.042646231014429346	0	0
21	Long-term potentiation	0.0047384701127143715	9.487404336734693	50.776976580173056	PPP3R1,MAP2K2,HRAS	0.042646231014429346	0	0
22	Insulin signaling pathway	0.005152070525403527	6.128517169211689	32.28721388482206	MAP2K2,RHEB,HRAS,HK2	0.043782524736313534	0	0
23	Fluid shear stress and atherosclerosis	0.0054215009477654235	6.0371134020618555	31.497930262603923	GSTM3,NQO1,GSTM1,KEAP1	0.043782524736313534	0	0
24	Ubiquitin mediated proteolysis	0.005559685680801719	5.99241964827168	31.113923421156283	UBE2C,UBE2S,UBR5,KEAP1	0.043782524736313534	0	0
25	Breast cancer	0.0065933523541981615	5.697065820777161	28.608917584290353	MAP2K2,JAG1,FZD6,HRAS	0.049845743797738096	0	0
