Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	HINATA NFKB IMMU INF	2.4323969608883656e-05	29.832579185520363	316.9427618862867	NFKBIA,IL6,CCL2,OLR1	0.0026527244130159643	0	0
2	LTE2 UP.V1 UP	3.1208522506070166e-05	5.50280583613917	57.09061643067058	DAB2,PRKCH,SERPINA1,PCDH9,EPAS1,NPC2,MGAT4A,C4ORF19,CD302,FGFR4	0.0026527244130159643	0	0
3	ERB2 UP.V1 UP	0.00018051955642292325	4.872991330277762	42.00358419806878	VIPR1,DAB2,MUC1,SERPINA1,EPAS1,NPC2,MGAT4A,KRT7,FGFR4	0.0066353294448392415	0	0
4	RPS14 DN.V1 UP	0.0001877193723400739	4.846115825026773	41.58239928583287	HCK,VWF,SPTLC3,ENPP2,CCL2,ST3GAL6,PTPN22,AIF1,TRIM22	0.0066353294448392415	0	0
5	EGFR UP.V1 UP	0.00019515674837762475	4.81953244483286	41.16703635568041	SOCS2,IL4R,PCDH9,EPAS1,MGAT4A,ARAP2,KRT7,CCL2,RND1	0.0066353294448392415	0	0
6	ATF2 S UP.V1 DN	0.0007789340322379497	4.382793296089385	31.370212040507518	IL4R,TMEM176A,CCL2,SVEP1,ST3GAL6,CRIP2,CD302,SMAD6	0.019617678120006067	0	0
7	RAPA EARLY UP.V1 DN	0.0008936304636037865	4.286120218579235	30.089499251227707	PLXND1,F10,FXYD1,CRY2,LMNA,NR2F1,CRIP2,TRIM22	0.019617678120006067	0	0
8	P53 DN.V2 UP	0.0009231848527061678	4.853639603401432	33.91568557595919	NFKBIA,CLEC1A,FPR3,ME3,CD68,APOL3,HS3ST2	0.019617678120006067	0	0
9	MEK UP.V1 UP	0.001055653924587029	4.171063829787234	28.58678166769013	PRKCH,IL4R,PCDH9,EPAS1,NPC2,ARHGDIB,FHL1,KRT7	0.01994012968664388	0	0
10	GCNP SHH UP LATE.V1 DN	0.0028254994024333423	3.9494147758318237	23.17939237232397	LGALS4,IL4R,PPM1M,SLC11A1,S1PR1,AMOTL2,AGER	0.04265708511624815	0	0
11	CORDENONSI YAP CONSERVED SIGNATURE	0.0029185946927242465	7.302626711061783	42.622898452724954	DAB2,AMOTL2,SLIT2,THBS1	0.04265708511624815	0	0
12	ATF2 UP.V1 DN	0.0034892460564889404	3.794472084024323	21.469387130596694	MFAP4,SLCO4A1,CCL2,SVEP1,CD302,SMAD6,CD68	0.04265708511624815	0	0
13	ESC J1 UP LATE.V1 UP	0.0039184017119188895	3.711226476314082	20.56788224272888	PDGFRA,DAB2,CA4,ARAP2,KRT7,SHROOM3,HLA-DRB1	0.04265708511624815	0	0
14	KRAS.PROSTATE UP.V1 DN	0.004001351325019998	4.230305639259578	23.35603836966883	SCEL,ACSS3,CRY2,SLC19A3,HBA2,VGLL3	0.04265708511624815	0	0
15	ALK DN.V1 UP	0.004138738756844801	4.199658095305933	23.04505342421859	IL6,EPAS1,ENPP2,ETV1,AIF1,TBX2	0.04265708511624815	0	0
16	E2F1 UP.V1 DN	0.004147449116674182	3.670946343551062	20.136101764311555	PDGFRA,DAB2,PLXND1,NFKBIZ,CCL2,CRIP2,CD3E	0.04265708511624815	0	0
17	P53 DN.V1 UP	0.0042657085116248146	3.651129379838774	19.924749703577856	VIPR1,LAMP3,NR2F1,ME3,SLIT2,SMAD6,CNN3	0.04265708511624815	0	0
18	PDGF ERK DN.V1 DN	0.004723396214046869	4.081354289275081	21.85657950787605	NFKBIA,PDGFRA,PER1,IL2RG,SLC25A44,TBX2	0.04460985313266488	0	0
