Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	CAMP UP.V1 DN	2.3116306264190733e-06	7.553976181329236	98.03215936737618	RERE,ZFP36,PTPRC,DST,RALGAPA1,ID2,TIMP2,FRY,PAM,SEL1L3	0.00032593991832508934	0	0
2	ESC J1 UP EARLY.V1 DN	5.4478226547715994e-05	6.624426774369978	65.03669733699077	EGR1,CNN1,ZFP36,TRPS1,ANXA5,CIRBP,LUC7L3,JUNB	0.0038407149716139775	0	0
3	LTE2 UP.V1 UP	0.0005200425676739832	5.3743169398907105	40.63843437520251	SDCBP,RCAN1,DIAPH2,MAOA,PLAGL1,PNRC1,SASH1	0.01659934675884723	0	0
4	EGFR UP.V1 UP	0.0005708448457644016	5.286827956989248	39.484109482113524	CADPS2,SDCBP,RCAN1,MAOA,PLAGL1,JUNB,SEL1L3	0.01659934675884723	0	0
5	RAF UP.V1 DN	0.0005886293176896181	5.2582887700534755	39.10964754998556	SH3BGRL,EPB41L2,TSC22D3,ID2,TRPS1,MGP,JMJD1C	0.01659934675884723	0	0
6	MEL18 DN.V1 DN	0.0007967662491174253	5.906802517231045	42.14473595764351	EGR1,SH3BGRL,PLN,ID2,STK17B,FRMD4B	0.018724006854259494	0	0
7	ATF2 S UP.V1 DN	0.0026249839257853785	4.624897143528859	27.48428609926678	PLN,LAMA2,NFIB,PDE4DIP,ABCA8,SORBS1	0.042443556305088156	0	0
8	ATF2 UP.V1 DN	0.0026249839257853785	4.624897143528859	27.48428609926678	PLN,CFH,NFIB,PDE4DIP,ABCA8,FRY	0.042443556305088156	0	0
9	ERB2 UP.V1 UP	0.0029152834017471545	4.523979298447384	26.410033155693835	CADPS2,SDCBP,MAOA,LMO3,MXRA7,PNRC1	0.042443556305088156	0	0
10	MEK UP.V1 DN	0.003311199428056523	4.4038073908174695	25.147698972200942	RALGAPA1,ID2,MGP,JMJD1C,SEC24D,SAMHD1	0.042443556305088156	0	0
11	MEK UP.V1 UP	0.003311199428056523	4.4038073908174695	25.147698972200942	CADPS2,SDCBP,MEF2C,MAOA,TIMP2,MXRA7	0.042443556305088156	0	0
