Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Complement and coagulation cascades	1.6508865232025915e-08	10.034054538471386	179.80391895298922	C3,SERPINA1,VWF,CFH,ITGB2,ITGAX,SERPING1,C4BPA,VSIG4,TFPI,A2M,CD55	3.1795498926838554e-06	0	0
2	Cell adhesion molecules	2.7292273756942965e-08	6.927933040147539	120.66146941701952	CADM1,ITGB2,ICAM2,PTPRM,CDH5,CLDN5,HLA-DMA,PTPRC,PECAM1,ESAM,HLA-DOA,CD22,HLA-DPA1,ITGA9,HLA-DQB1	3.1795498926838554e-06	0	0
3	Hematopoietic cell lineage	6.006343169509318e-06	6.810449786064633	81.8799568602805	CSF3,HLA-DMA,IL1R1,IL7,CD37,HLA-DOA,CD22,CD55,HLA-DPA1,HLA-DQB1	0.0003809951484578414	0	0
4	Viral myocarditis	6.5406892439114404e-06	9.285207100591716	110.84186272091168	HLA-DMA,LAMA2,ITGB2,DMD,HLA-DOA,CD55,HLA-DPA1,HLA-DQB1	0.0003809951484578414	0	0
5	ECM-receptor interaction	1.5890773878824184e-05	6.887482419127989	76.10510953371524	TNXB,VWF,COL4A2,LAMA2,COL4A1,LAMA4,COL4A3,NPNT,ITGA9	0.000740510062753207	0	0
6	Dilated cardiomyopathy	3.209885232831316e-05	6.251596424010217	64.68333196403857	PLN,DES,LAMA2,TNNC1,CACNA2D2,CACNA1D,DMD,ITGA9,TTN	0.0012465054320828278	0	0
7	Leishmaniasis	4.2096297187759785e-05	6.9914827201783725	70.44303913220313	C3,NFKBIA,HLA-DMA,ITGB2,FOS,HLA-DOA,HLA-DPA1,HLA-DQB1	0.00140120532067829	0	0
8	Th17 cell differentiation	7.565647267442217e-05	5.546768707482993	52.63499423276971	STAT5A,NFKBIA,HLA-DMA,IL1R1,FOS,HLA-DOA,IL6ST,HLA-DPA1,HLA-DQB1	0.0021367833279226827	0	0
9	Human T-cell leukemia virus 1 infection	8.253669506997487e-05	3.8378792475728156	36.08476760539742	STAT5A,EGR1,NRP1,SPI1,IL1R1,ITGB2,FOS,NFKBIA,HLA-DMA,ZFP36,HLA-DOA,HLA-DPA1,HLA-DQB1	0.0021367833279226827	0	0
10	Hypertrophic cardiomyopathy	0.00012863050607904764	5.879174484052533	52.66897591856002	DES,LAMA2,TNNC1,CACNA2D2,CACNA1D,DMD,ITGA9,TTN	0.0029970907916418103	0	0
11	Malaria	0.00017459738143118638	8.183069224353629	70.8083264058104	CSF3,HGF,ITGB2,PECAM1,HBA2,ACKR1	0.0036982899884969484	0	0
12	Amoebiasis	0.00030633860160870526	5.125499181669395	41.469488862481796	COL4A2,LAMA2,IL1R1,COL4A1,LAMA4,COL4A3,ITGB2,SERPINB6	0.005948074514569027	0	0
