Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	1.251548772543937e-12	8.112994136561378	222.34990405351	CPM,RBM47,VWF,PDE4D,ITGB2,CRIM1,TNFAIP2,PTPN22,FRY,AIF1,DCN,HCK,HLA-DMA,TYROBP,ITGAX,SH3BP5,CTSH,ST3GAL6,MNDA,CD69,PTGDS,HLA-DQB1	2.2152413274027684e-10	0	0
2	ATF2 S UP.V1 DN	3.582158650557214e-10	7.0230702153472855	152.75097189208336	ITIH5,LAMA2,IL1R1,ADH1B,CELF2,PDE4DIP,C4BPA,ABCA8,FOS,SORBS1,SMAD6,PLN,DES,NFIB,SERPING1,SVEP1,ST3GAL6,SLIT3,A2M	3.1702104057431343e-08	0	0
3	ATF2 UP.V1 DN	1.662082249683757e-08	6.169936708860759	110.5196672779918	ITIH5,CFH,IL1R1,LIMCH1,CELF2,PDE4DIP,RNASE4,ABCA8,FOS,FRY,SMAD6,AFF1,MFAP4,PLN,NFIB,SVEP1,SLIT3	9.806285273134166e-07	0	0
4	CRX DN.V1 DN	5.421221224579667e-08	7.148850574712644	119.60284109677319	CADPS2,EGR1,PPP1R14A,STEAP4,RNASE4,GNG11,SEL1L3,SOCS3,COL4A2,GLIPR2,SERPING1,RGL3,JUNB,TGM2	2.3988903918765025e-06	0	0
5	ESC V6.5 UP LATE.V1 UP	7.286916021558956e-07	5.253908355795148	74.24831293661434	PARM1,GPX3,TNNC1,SH3RF1,SEL1L3,DAB2,COL4A2,COL4A1,PODXL,PLAGL1,CTSH,RGL3,SLIT3,ZNF521,CD55	2.2981890122328258e-05	0	0
6	ESC J1 UP LATE.V1 UP	7.790471227907884e-07	5.22378859348199	73.4736015573765	PARM1,CITED2,GPX3,CRIM1,SHROOM3,LMO7,SEL1L3,DAB2,COL4A2,COL4A1,PODXL,ID2,CTSH,RGL3,CD55	2.2981890122328258e-05	0	0
7	EGFR UP.V1 UP	2.233330166052072e-05	4.398107638888889	47.10123312791557	CADPS2,IL1R1,TFPI,PAPSS2,SEL1L3,SOCS2,SDCBP,CRISPLD2,PLAGL1,MGAT4A,A2M,JUNB,MGLL	0.0005647134848445952	0	0
8	CAMP UP.V1 DN	3.246186650883838e-05	4.231951871657754	43.739103678070116	CD83,STXBP1,CELF2,FRY,SEL1L3,ZFP36,PTPRC,MYO15B,ID2,TIMP2,FOSB,SVEP1,MYH10	0.0007182187965080493	0	0
9	MEL18 DN.V1 DN	3.887828903860364e-05	4.869882576959696	49.45402079189172	SOCS2,EGR1,SH3BGRL,PLN,IL1R1,ID2,AK1,PDE5A,DMD,FOS,A2M	0.0007628461950041642	0	0
10	CORDENONSI YAP CONSERVED SIGNATURE	4.3098655084981025e-05	8.424478527607363	84.68301625214644	DAB2,ITGB2,COL4A3,CRIM1,PMP22,TNS1,TGM2	0.0007628461950041642	0	0
11	LTE2 UP.V1 UP	8.572983241955621e-05	4.093037908222199	38.328474545593856	UNC13B,SDCBP,DIAPH2,DAB2,SERPINA1,IL1R1,GPX3,PLAGL1,MGAT4A,FGFR4,SASH1,PNRC1	0.0012401470721397807	0	0
12	ERB2 UP.V1 UP	9.013604106913716e-05	4.0699629300892814	37.90840990196302	CADPS2,SDCBP,DAB2,PARM1,SERPINA1,IL1R1,LIMCH1,PDE4D,MGAT4A,FGFR4,PAPSS2,PNRC1	0.0012401470721397807	0	0
13	IL2 UP.V1 UP	9.473575491122109e-05	4.0471443406022845	37.49444120508067	SOCS2,CLDN5,EGR1,CD52,RGS3,HEG1,AATK,FOS,CD69,TRIB1,JUNB,ITGA9	0.0012401470721397807	0	0
