Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	EGFR UP.V1 UP	4.574967989095341e-06	5.14860097323601	63.30158999997998	CSGALNACT1,EDN1,IL4R,PCDH9,EPAS1,KRT7,DUSP6,ACTG2,RND1,PTPRE,RCAN1,RNF19A,CCL2	0.0004711961612991568	0	0
2	MEK UP.V1 UP	5.416047831024791e-06	5.063419887519445	61.39975965545203	CSGALNACT1,EDN1,PRKCH,IL4R,PCDH9,EPAS1,FHL1,KRT7,PTPRE,NPC2,ARHGDIB,PPARG,CCNJL	0.0004711961612991568	0	0
3	GCNP SHH UP LATE.V1 DN	6.069068177860839e-05	4.609038675928308	44.75247678410929	LGALS4,NRP2,EDN1,IL4R,SLC11A1,S1PR1,AMOTL2,PTH1R,HSPG2,AGER,RBKS	0.003520059543159287	0	0
4	LTE2 UP.V1 UP	9.861377751265533e-05	4.3493239413812645	40.11946698293985	CSGALNACT1,RCAN1,EDN1,PRKCH,PCDH9,EPAS1,NPC2,DPYSL2,C4ORF19,CD302,ACTG2	0.0035958902387818402	0	0
5	ERB2 UP.V1 UP	0.00010333017927534025	4.32493961352657	39.69248393793529	CSGALNACT1,CAST,SLC9A3R2,PTPRE,VIPR1,EDN1,MUC1,EPAS1,NPC2,KRT7,DUSP6	0.0035958902387818402	0	0
6	PTEN DN.V2 UP	0.0002269002754883002	4.730242671534414	39.691466029980496	IL4R,RTN1,CSF1,ARHGDIB,HSPB7,IL7R,ANO2,RND1,AGPAT4	0.006062484616136781	0	0
7	BMI1 DN MEL18 DN.V1 UP	0.00025171289997882667	4.660204189589505	38.6201439150414	NRP2,EDN1,TAGLN,CSF1,ABLIM3,TNIP3,LSAMP,APBB2,IL7R	0.006062484616136781	0	0
8	BMI1 DN.V1 UP	0.000278734924879852	4.592195808570535	37.588267609310115	NRP2,EDN1,TAGLN,GPRC5A,CSF1,SLCO4A1,LTBP4,LSAMP,IL7R	0.006062484616136781	0	0
9	BCAT BILD ET AL UP	0.0006686098127249739	7.925934880722115	57.94104028522174	TAGLN,ICAM5,AXIN2,CTSD,CAPS	0.012926456379349496	0	0
10	MEL18 DN.V1 UP	0.0009959398546281098	4.22130595305468	29.176922485357622	NRP2,EDN1,CSF1,ABLIM3,SLCO4A1,LTBP4,IL7R,HLA-DQA1	0.0164911937416431	0	0
11	KRAS.KIDNEY UP.V1 DN	0.0010425467307935293	4.189589685978708	28.766094734004227	IL6,EGFL7,CLEC3B,ACE,EFHD1,PDCD1,IFI30,FOLR2	0.0164911937416431	0	0
12	KRAS.PROSTATE UP.V1 DN	0.0011409900277493815	4.127556398903647	27.967739959142076	SCEL,EDN1,ACSS3,TAGLN,TTC21B,CRY2,PTH1R,VGLL3	0.016544355402366033	0	0
13	RAF UP.V1 UP	0.0021569650269169984	3.3804101104143425	20.752517253702138	CSGALNACT1,CAST,RCAN1,PRKCH,SLC31A2,EPAS1,NPC2,C4ORF19,PPARG	0.028870147283350595	0	0
