Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RNA binding (GO:0003723)	5.9036166733568745e-09	2.387407541769958	45.23588349870569	RPL4,TOP2A,RBM28,WDR3,PPAN,ENO1,MSI2,BRCA1,SPOUT1,RPL7,DUSP14,YY1,MRPL42,MRPL3,FBL,SNRPD2,SUMO2,RPL36,RPL37,KPNA2,RBM34,EIF5B,TSFM,MRPS24,NCBP2,DDX11,MRPS23,IMP4,DARS1,NME1,GRWD1,TCP1,SNRPG,FSCN1,CCDC86,STRAP,RPF2,RTN4,RAD51AP1,POLR2D,DHX36,DNAJC21,SAP18,DROSHA,RALY,EIF4E,FDPS,TRMT10C,NIFK,MDH2,CDKN2A,ALYREF,CCDC59,PDAP1,DEK,HSPE1,EIF2S2,MRPL21,CHERP,NUDT21,LSM7,CAPRIN1,R3HDM1,RAN,EIF4G1	2.910483019964939e-06	0	0
2	DNA replication origin binding (GO:0003688)	3.979838397537209e-07	19.98291471962617	294.48530543253435	ORC5,ORC4,DDX11,GRWD1,MCM4,MCM5,MCM2	9.81030164992922e-05	0	0
3	protein homodimerization activity (GO:0042803)	1.0591335491256567e-05	2.4926955121358025	28.55500937099044	TOP2A,TENM4,ATP2A1,ENO1,TYMP,NADK2,PDCD10,CHEK2,STC2,HSD17B1,CHMP1A,DROSHA,UGT1A3,UGT1A9,ECT2,MORC2,UGT1A7,TBX1,GSTM2,G6PD,HMGCS1,UGT1A1,CIP2A,TPD52L1,GRHL1,MSH6,GGCT,NUDT21,MVD,TKT,BCL2L2,FGFR2	0.0017405094657298292	0	0
4	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	1.918907522816656e-05	5.955080213903743	64.6791352284545	CBR1,UGDH,LDHB,G6PD,BDH1,MDH2,RDH10,AKR1C3,PGD,ADH7	0.0023650535218715284	0	0
5	single-stranded DNA binding (GO:0003697)	4.973818644858884e-05	5.267883705206221	52.19807724146743	RAD51AP1,RAD51,RNF138,DDX11,RPA3,DHX36,POLR2D,MCM4,MCM5,MCM2	0.0049041851838308595	0	0
6	retinoid binding (GO:0005501)	8.205313208714464e-05	9.758741258741258	91.81163880762504	UGT1A1,ABCA4,UGT1A3,ADH7,UGT1A9,UGT1A7	0.006742032353160385	0	0
7	translation initiation factor activity (GO:0003743)	0.00024126381918921865	7.804195804195804	65.0059818472305	EIF2B5,EIF5B,EIF3K,EIF2S2,EIF4E,EIF4G1	0.016982521894021992	0	0
8	hexosyltransferase activity (GO:0016758)	0.00027557844858453536	4.199892066918511	34.42499583579631	UGT1A1,TMTC3,HAS3,UGT1A3,UGT1A9,LARGE2,B4GALT4,UGT1A7,FUT3,B4GALNT4	0.016982521894021992	0	0
9	magnesium ion binding (GO:0000287)	0.00035843554590978	3.733927323549965	29.624089598922833	MSH6,TOP2A,DHX36,PLK1,IDH2,UBA2,TKT,MORC2,RAN,MARK1,NME1	0.019634302681502392	0	0
10	glucuronosyltransferase activity (GO:0015020)	0.000506738270408883	8.738372093023257	66.30253736721818	UGT1A1,UGT1A3,UGT1A9,LARGE2,UGT1A7	0.022711087937416302	0	0
11	monocarboxylic acid binding (GO:0033293)	0.000506738270408883	8.738372093023257	66.30253736721818	UGT1A1,AKR1C3,UGT1A3,UGT1A9,UGT1A7	0.022711087937416302	0	0
12	single-stranded DNA helicase activity (GO:0017116)	0.0006600604558673896	12.095901005413767	88.58044976921379	RFC4,RAD51,MCM5,MCM2	0.027117483728551925	0	0
13	ubiquitin-like protein conjugating enzyme binding (GO:0044390)	0.0009015332857802295	7.571705426356589	53.088358351123155	SIAH2,DCUN1D1,MARCHF7,UBA2,FOXL2	0.034188916145357934	0	0
14	metal ion binding (GO:0046872)	0.0010220060186442515	2.155148185998978	14.84032432747348	TOP2A,RYR1,SPARC,PLK1,IDH2,ATP2A1,HSPE1,CDH8,NME1,MSH6,SMOC2,PPP3R1,RCN1,RCN2,CALB1,DHX36,CDH13,UBA2,TKT,CALM1,MORC2,RAN,MARK1	0.035964080402836426	0	0
15	G-quadruplex DNA binding (GO:0051880)	0.0010942417972465443	19.40277777777778	132.2821934539206	DDX11,DHX36,NME2	0.035964080402836426	0	0
16	retinoic acid binding (GO:0001972)	0.0011830796668229982	10.078370714101572	67.9245334891212	UGT1A1,UGT1A3,UGT1A9,UGT1A7	0.03645364223398363	0	0
