Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	MEL18 DN.V1 UP	0.0210021311855888	70.91785714285714	273.96499801043336	NRP2	0.0320220984414366	0	0
2	KRAS.PROSTATE UP.V1 UP	0.021297899765153783	69.91197183098592	269.10144361295085	RARRES2	0.0320220984414366	0	0
3	BMI1 DN MEL18 DN.V1 UP	0.021593608775632392	68.93402777777777	264.38666788487086	NRP2	0.0320220984414366	0	0
4	KRAS.LUNG.BREAST UP.V1 DN	0.021593608775632392	68.93402777777777	264.38666788487086	RARRES2	0.0320220984414366	0	0
5	BMI1 DN.V1 UP	0.021889258227452083	67.98287671232876	259.8141882152165	NRP2	0.0320220984414366	0	0
6	GCNP SHH UP LATE.V1 DN	0.026758880297526048	55.357541899441344	200.44350827487673	NRP2	0.0320220984414366	0	0
7	JNK DN.V1 DN	0.028378489124853832	52.123684210526314	185.67101846704094	NRP2	0.0320220984414366	0	0
8	P53 DN.V1 DN	0.028525637136025263	51.84816753926702	184.42144568410632	NRP2	0.0320220984414366	0	0
9	KRAS.DF.V1 DN	0.028819888597292943	51.30569948186528	181.9653884070142	NRP2	0.0320220984414366	0	0
10	KRAS.600.LUNG.BREAST UP.V1 DN	0.04272849746075876	34.217013888888886	107.88245332452784	RARRES2	0.04272849746075876	0	0
