Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Prion disease	7.025786149375726e-05	22.549613954818415	215.6495878808526	RYR1,COX7B,ATP5PB,ATP5MC1	0.002528461372466292	0	0
2	Huntington disease	0.00010926275947825988	20.051961283749364	182.90907688159345	COX7B,ATP5PB,POLR2I,ATP5MC1	0.002528461372466292	0	0
3	Oxidative phosphorylation	0.00018260111085197057	32.72472527472527	281.7011930266143	COX7B,ATP5PB,ATP5MC1	0.002528461372466292	0	0
4	Systemic lupus erythematosus	0.00019082727339368242	32.22564935064935	275.9850327903387	H2AZ1,H2AC4,HLA-DRB1	0.002528461372466292	0	0
5	Pathways of neurodegeneration	0.0005847201251746486	12.746692797648212	94.8911897954502	RYR1,COX7B,ATP5PB,ATP5MC1	0.0055718622116795015	0	0
6	Diabetic cardiomyopathy	0.0006307768541523964	21.19607142857143	156.18449009559114	COX7B,ATP5PB,ATP5MC1	0.0055718622116795015	0	0
7	Thermogenesis	0.0009290530019099344	18.48471615720524	129.04817643447174	COX7B,ATP5PB,ATP5MC1	0.007034258443032361	0	0
8	Parkinson disease	0.0011394095230522288	17.192508710801395	116.51784564047831	COX7B,ATP5PB,ATP5MC1	0.007548588090221016	0	0
9	Amyotrophic lateral sclerosis	0.0033634885749306096	11.64740799366838	66.32938622841709	COX7B,ATP5PB,ATP5MC1	0.018524548523941264	0	0
10	Alzheimer disease	0.0034951978347058993	11.485362997658079	64.96540871593109	COX7B,ATP5PB,ATP5MC1	0.018524548523941264	0	0
11	Necroptosis	0.007897945551070117	16.83736730360934	81.51226467002986	H2AZ1,H2AC4	0.03805373765515602	0	0
12	Alcoholism	0.010673487197147112	14.347101449275362	65.13573217965242	H2AZ1,H2AC4	0.04486683124784965	0	0
13	Neutrophil extracellular trap formation	0.011005071815510293	14.114795008912656	63.64924303911214	H2AZ1,H2AC4	0.04486683124784965	0	0
