Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Thyroid cancer	0.0036966143279881405	554.5	3105.387379264037	GADD45A	0.019628736020684035	0	0
2	Endometrial cancer	0.005791660825928318	349.8421052631579	1802.1542957641839	GADD45A	0.019628736020684035	0	0
3	Basal cell carcinoma	0.006290156902466236	321.5483870967742	1629.8545813511064	GADD45A	0.019628736020684035	0	0
4	Melanoma	0.0071871351960584315	280.6619718309859	1385.196673487372	GADD45A	0.019628736020684035	0	0
5	Non-small cell lung cancer	0.0071871351960584315	280.6619718309859	1385.196673487372	GADD45A	0.019628736020684035	0	0
6	p53 signaling pathway	0.007286774475902416	276.75	1362.0788946465962	GADD45A	0.019628736020684035	0	0
7	Glioma	0.007486038050232215	269.2432432432432	1317.8690993057355	GADD45A	0.019628736020684035	0	0
8	Pancreatic cancer	0.007585662344158987	265.64	1296.7204240033807	GADD45A	0.019628736020684035	0	0
9	Chronic myeloid leukemia	0.007585662344158987	265.64	1296.7204240033807	GADD45A	0.019628736020684035	0	0
10	Colorectal cancer	0.008581630520246299	234.27058823529413	1114.690229377954	GADD45A	0.019628736020684035	0	0
11	Small cell lung cancer	0.009178971612287867	218.75824175824175	1026.1599338329622	GADD45A	0.019628736020684035	0	0
12	NF-kappa B signaling pathway	0.01037311415769714	193.15533980582524	882.4375092881637	GADD45A	0.019628736020684035	0	0
13	Cell cycle	0.012361752638654704	161.58536585365854	709.8684329309332	GADD45A	0.019628736020684035	0	0
14	FoxO signaling pathway	0.013057303833255627	152.83076923076922	663.0421739643051	GADD45A	0.019628736020684035	0	0
15	Apoptosis	0.014149818053403677	140.82978723404256	599.6607703221996	GADD45A	0.019628736020684035	0	0
16	Spinocerebellar ataxia	0.014249107538697991	139.83098591549296	594.4300512492653	OMA1	0.019628736020684035	0	0
17	Breast cancer	0.014646215501499311	135.97260273972603	574.2902550659267	GADD45A	0.019628736020684035	0	0
18	Gastric cancer	0.01484473949298198	134.1216216216216	564.6667427694166	GADD45A	0.019628736020684035	0	0
19	Cellular senescence	0.015539416016374862	128.0193548387097	533.1206666253773	GADD45A	0.019628736020684035	0	0
20	Hepatocellular carcinoma	0.016729720236504618	118.74850299401197	485.74888415309664	GADD45A	0.02007566428380554	0	0
21	Transcriptional misregulation in cancer	0.019108169264343198	103.70157068062828	410.4134142102927	GADD45A	0.02183790773067794	0	0
22	Epstein-Barr virus infection	0.02009833989264862	98.49253731343283	384.8219712862978	GADD45A	0.021925461701071222	0	0
23	MAPK signaling pathway	0.029184453655292562	67.25255972696246	237.6785572372079	GADD45A	0.030453342944653107	0	0
