Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	calcium ion binding (GO:0005509)	0.0004058452682220611	28.472463768115944	222.35680437175338	RYR1,CALB1,SDF4	0.01501627492421626	0	0
2	metal ion binding (GO:0046872)	0.0012841971246140961	18.94649805447471	126.13861396532897	RYR1,CALB1,SDF4	0.02375764680536078	0	0
3	GPI anchor binding (GO:0034235)	0.003146171972763632	416.3541666666667	2398.8531813701998	THY1	0.03046359802482778	0	0
4	CD4 receptor binding (GO:0042609)	0.003594908666217628	356.85714285714283	2008.4764659134423	HLA-DRB1	0.03046359802482778	0	0
5	MHC class II receptor activity (GO:0032395)	0.004491844107510829	277.52777777777777	1500.1741678966396	HLA-DRB1	0.03046359802482778	0	0
6	intracellular ligand-gated ion channel activity (GO:0005217)	0.0049400429229450454	249.7625	1326.3340991921912	RYR1	0.03046359802482778	0	0
7	metalloendopeptidase inhibitor activity (GO:0008191)	0.006283564258093123	192.09615384615384	973.8925197668605	TIMP1	0.03134917074675356	0	0
8	calcium-release channel activity (GO:0015278)	0.0076254739654265415	156.0546875	760.9633551596094	RYR1	0.03134917074675356	0	0
9	MHC class II protein complex binding (GO:0023026)	0.0076254739654265415	156.0546875	760.9633551596094	HLA-DRB1	0.03134917074675356	0	0
10	ligand-gated calcium channel activity (GO:0099604)	0.008519185800335128	138.70138888888889	660.9723846479391	RYR1	0.031517693379724404	0	0
11	zinc ion binding (GO:0008270)	0.009370125058836986	16.815226689478187	78.53095657064739	CALB1,TIMP1	0.031517693379724404	0	0
12	transition metal ion binding (GO:0046914)	0.016033365235760603	12.607545952918413	52.108038902630256	CALB1,TIMP1	0.04704824796291817	0	0
13	voltage-gated calcium channel activity (GO:0005245)	0.016530465500484762	69.28819444444444	284.25829643277825	RYR1	0.04704824796291817	0	0
14	peptidase inhibitor activity (GO:0030414)	0.01786007107272191	63.94871794871795	257.40559445949555	TIMP1	0.04720161640647933	0	0
