Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	7.534849789875088e-18	5.539858145092899	218.41994707218115	ABCB6,HJURP,PANX2,NT5DC1,UCHL1,PTPRZ1,TRIM29,STC2,GPC1,SPP1,UGT1A5,UGT1A3,PHGDH,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,CBR1,GPX2,G6PD,RRM2,UGT1A1,IGFBP3,TXNRD1,AKR1C1,CYP4F3,GSR,AKR1C3,NDUFC2,TALDO1,PTGR1,CYP4F11,PGD,UGDH,ALDH3A1,GCLC,DBF4,MTHFD2,TMEM237,PNPLA4,RPL22L1,TKT,TMEM18,PFN2	1.3185987132281403e-15	0	0
2	CSR LATE UP.V1 UP	4.140647618253859e-07	5.165935963863425	75.92501848644339	CXCL6,PRMT5,FEN1,DTYMK,RRM2,UBE2C,IGFBP3,FANCA,RPF2,FOXM1,ANLN,PBK,BIRC5,FAM83D,UMPS,EZH2	3.6230666659721266e-05	0	0
3	MEL18 DN.V1 UP	2.8558166978022565e-05	4.6437686344663085	48.59038704404695	CA12,SLC7A5,JAG1,LAMB3,DDX11,STC2,ABCC5,ADAM12,FZD6,SPP1,CHST2,PTHLH	0.001665893073717983	0	0
4	LEF1 UP.V1 UP	4.2532563951979434e-05	3.870792276584838	38.960455440152145	RYR1,KCNG1,S100A2,CDKN2A,WNT5A,KRT13,PAX6,KRT5,MPP6,BMP7,ANO1,SLC6A8,STC2,CHST2	0.0018607996728991002	0	0
5	GCNP SHH UP LATE.V1 DN	0.00029566450585213287	3.5586080586080584	28.918263901863504	MRPL3,DLX5,WNK2,GJB6,ESRP1,UBE2V2,SLC2A1,LSR,KLK8,S100A11,MDFI,KPNA1	0.01034825770482465	0	0
6	ESC V6.5 UP LATE.V1 DN	0.00039849380551140674	3.434836427939876	26.88727649358948	TGM1,GGCT,GPX2,BDH1,KRT17,ZNF428,SPP1,SGK1,FAM169A,C16ORF74,KLK10,CBR3	0.011303002422973512	0	0
7	E2F1 UP.V1 UP	0.0004603193830836433	3.3760973489787047	25.94054782407596	TOP2A,SLBP,FEN1,DBF4,PRC1,HMGB3,MCM4,GRSF1,TYMS,NCAPH,KPNA1,EZH2	0.011303002422973512	0	0
8	RB P107 DN.V1 UP	0.0005435952519415939	3.8202511773940344	28.71799560818349	COL1A1,SLBP,GSTM2,FEN1,RRM2,PRC1,RPA3,FANCA,MCM5,NCAPH	0.011303002422973512	0	0
9	P53 DN.V1 UP	0.0005812972674672092	3.282502113271344	24.455455736610897	COL17A1,UCHL1,CALB1,KLF5,CDKN2A,ITGB4,KRT15,LSR,SULF1,KLK10,PITX1,DSC2	0.011303002422973512	0	0
10	RPS14 DN.V1 DN	0.001462107486058203	3.104539641943734	20.266051063003328	SLC6A8,TRIM29,PRC1,PLK1,PBK,KRT13,PYCR1,MCM5,ECT2,NCAPH,NLE1	0.025586881006018553	0	0
11	KRAS.LUNG UP.V1 DN	0.0026930203581056597	3.2771665918275708	19.391295913619036	TGM1,RYR1,SERPINB13,KRT15,IGFBP2,KRT13,RHCG,CXCL14,KLK8	0.04284350569713549	0	0
12	BMI1 DN.V1 UP	0.002952466334529929	3.229339528708928	18.81127223095221	SLC7A5,JAG1,LAMB3,KRT17,STC2,ADAM12,SLC2A1,GABRE,PTHLH	0.0430568007118948	0	0
