Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	1.5621843923299022e-10	9.618833389825285	217.19100556374948	CSF3,IL4R,IL1R1,ITGA1,CD3E,TNF,EPOR,IL6,HLA-DMA,IL7,HLA-DOA,HLA-DQA1,HLA-DRB1,CD55,HLA-DPA1,HLA-DQB1	3.2540395739797745e-08	0	0
2	Malaria	2.5928602183105775e-10	15.633577614923384	345.08135527546574	SELP,CSF3,IL6,HGF,ITGB2,PECAM1,HBB,CCL2,HBA2,ACKR1,TNF,THBS1	3.2540395739797745e-08	0	0
3	Complement and coagulation cascades	1.6628122069439732e-08	8.945748730964468	160.23777629004886	C1QB,SERPINA1,VWF,F10,ITGB2,C4BPA,TFPI,C2,ITGAX,SERPING1,VSIG4,A2M,CD55	1.3912195464764576e-06	0	0
4	Rheumatoid arthritis	5.0426857805897305e-08	8.047874365482233	135.2263558939986	ANGPT1,ITGB2,TNFSF13,FOS,TNF,HLA-DMA,IL6,CCL2,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	3.164285327320056e-06	0	0
5	Th17 cell differentiation	2.7208794081309105e-07	6.844340641537963	103.46685918390408	STAT5A,IL4R,IL1R1,FOS,CD3E,IL6,HLA-DMA,HLA-DOA,IL6ST,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	1.1756021395185346e-05	0	0
6	Hypertrophic cardiomyopathy	2.810204317574186e-07	7.6007789678675755	114.65652289570106	EDN1,IL6,ACE,DES,TNNC1,ITGA1,LMNA,CACNA2D2,CACNA1D,TNF,ITGA9,TTN	1.1756021395185346e-05	0	0
7	ECM-receptor interaction	1.7009816706227332e-06	7.040404040404041	93.52687473857438	TNXB,VWF,COL4A2,COL4A1,LAMA4,ITGA1,COL4A3,NPNT,HSPG2,THBS1,ITGA9	5.547812070120456e-05	0	0
8	Graft-versus-host disease	1.7682269546200656e-06	11.534129441250185	152.77569483921621	HLA-DMA,IL6,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	5.547812070120456e-05	0	0
9	Cell adhesion molecules	2.0734434848274653e-06	5.173103945919259	67.69678920302125	ITGB2,ICAM2,SELP,CDH5,CLDN5,HLA-DMA,PECAM1,ESAM,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,ITGA9,HLA-DQB1	5.782603496574376e-05	0	0
10	Asthma	2.3668365928394216e-06	14.2690625	184.84081157284953	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	5.940759848026949e-05	0	0
11	Human T-cell leukemia virus 1 infection	2.70550063642771e-06	4.1843995938055345	53.64493836001716	STAT5A,EGR1,NRP1,SPI1,IL1R1,ITGB2,FOS,CD3E,TNF,ETS1,HLA-DMA,IL6,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	6.17346054312141e-05	0	0
12	Viral myocarditis	3.2354784323434463e-06	8.664794561040496	109.53455990755255	HLA-DMA,CAV1,ITGB2,HLA-DOA,HLA-DQA1,CD55,HLA-DRB1,HLA-DPA1,HLA-DQB1	6.767542387651709e-05	0	0
13	Staphylococcus aureus infection	3.653903040273331e-06	6.451388888888889	80.7695478921017	C1QB,SELP,HLA-DMA,ITGB2,FPR3,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1,C2	7.054843562373892e-05	0	0
14	Intestinal immune network for IgA production	5.081407779906102e-06	9.801002506265664	119.47345815821237	HLA-DMA,IL6,TNFSF13,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	9.11023823397451e-05	0	0
15	AGE-RAGE signaling pathway in diabetic complications	6.05201741262473e-06	6.087390761548065	73.1407236986815	STAT5A,EGR1,IL6,EDN1,COL4A2,COL4A1,COL4A3,AGTR1,CCL2,TNF,AGER	0.00010034341370648375	0	0
16	Inflammatory bowel disease	6.39639290559259e-06	7.889133165829146	94.35226814024276	HLA-DMA,IL6,IL4R,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00010034341370648375	0	0
17	Allograft rejection	1.004694460562091e-05	11.043064516129032	127.08625875201317	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0001483401821182852	0	0
18	Th1 and Th2 cell differentiation	1.7803667467032107e-05	5.993426307059041	65.54474590312326	STAT5A,HLA-DMA,IL4R,FOS,CD3E,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0002482622519013922	0	0
19	Pertussis	2.341054954631411e-05	6.590189754743869	70.26673708093601	C1QB,IL6,SFTPA2,ITGB2,SERPING1,C4BPA,FOS,TNF,C2	0.00029496313508357516	0	0
20	Type I diabetes mellitus	2.35030386520777e-05	9.506875	101.32789435616111	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00029496313508357516	0	0
21	Leishmaniasis	2.6039072517523862e-05	6.492942654448714	68.53893361149585	HLA-DMA,ITGB2,FOS,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00031122891437611853	0	0
22	JAK-STAT signaling pathway	2.8420543826958708e-05	4.3057268422307775	45.07406355597866	STAT5A,PDGFRA,CSF3,IL4R,FHL1,LIFR,EPOR,PIAS1,SOCS2,SOCS3,IL6,IL7,IL6ST	0.0003155370836011775	0	0
23	Antigen processing and presentation	2.8913756664649732e-05	6.398514310683854	66.87210840256667	CD74,HLA-DMA,IFI30,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0003155370836011775	0	0
24	PI3K-Akt signaling pathway	4.239067879282121e-05	2.979931609648919	30.003685944004193	PDGFRA,CSF3,TNXB,IL4R,VWF,ANGPT1,HGF,LAMA4,ITGA1,GNG11,THBS1,EPOR,NR4A1,IL6,COL4A2,COL4A1,IL7,COL4A3,FGFR4,ITGA9	0.00044333584904158855	0	0
25	Dilated cardiomyopathy	0.0001490737956728127	5.0700051984058225	44.67216614889918	DES,TNNC1,ITGA1,LMNA,CACNA2D2,CACNA1D,TNF,ITGA9,TTN	0.0014967009085550395	0	0
26	Influenza A	0.00021757684544498592	3.6898101265822785	31.116015513327937	SOCS3,NXF1,IL6,HLA-DMA,CCL2,HLA-DOA,TPSAB1,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0021004533925650564	0	0
27	Amoebiasis	0.00023665713407262267	4.741449181390825	39.58587632716118	IL6,COL4A2,IL1R1,COL4A1,LAMA4,COL4A3,ITGB2,TNF,SERPINB6	0.002200034838971418	0	0
