Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	4.1832261356769745e-10	6.179165530406327	133.43764716444747	VWF,PDE4D,ITGB2,TNFAIP2,AIF1,DCN,HCK,HLA-DMA,TYROBP,SPTLC3,ENPP2,ITGAX,SH3BP5,CTSH,CCL2,ST3GAL6,MNDA,CD69,PTGDS,TRIM22,HLA-DQB1	7.529807044218554e-08	0	0
2	ATF2 S UP.V1 DN	5.579435172444578e-08	5.318324941817131	88.82449966374666	ITIH5,IL4R,IL1R1,ADH1B,CELF2,TMEM176A,C4BPA,FOS,SORBS1,SMAD6,DES,SERPING1,CCL2,SVEP1,ST3GAL6,SLIT3,CD302,A2M	5.02149165520012e-06	0	0
3	CORDENONSI YAP CONSERVED SIGNATURE	2.0071463662462892e-07	10.475373814245136	161.54473757798476	DAB2,PDLIM2,ITGB2,COL4A3,PMP22,AMOTL2,SLIT2,THBS1,TNS1,TGM2	1.2042878197477735e-05	0	0
4	KRAS.600 UP.V1 UP	1.942317767825897e-06	3.740672995964347	49.195941853439486	NRP1,CSF3,DOCK4,RTN1,PCDH9,LIMCH1,NTRK3,HPN,ITGB2,LAPTM5,ETV1,TFPI,RNASE1,GNG11,DUSP6,SLCO4A1,MGAT4A,ST3GAL6,A2M,TGM2	6.798401810840172e-05	0	0
5	ESC J1 UP LATE.V1 UP	1.9768130872171327e-06	4.540562659846548	59.635861499219054	PDGFRA,PARM1,CITED2,GPX3,ARAP2,SHROOM3,LMO7,DAB2,COL4A2,COL4A1,PODXL,CA4,CTSH,RGL3,HLA-DRB1,CD55	6.798401810840172e-05	0	0
6	EGFR UP.V1 UP	2.266133936946724e-06	4.4887944861068965	58.342815862795305	EDN1,IL4R,PCDH9,IL1R1,ARAP2,TFPI,DUSP6,PAPSS2,RND1,SOCS2,CRISPLD2,MGAT4A,CCL2,A2M,CTNNAL1,MGLL	6.798401810840172e-05	0	0
7	CRX DN.V1 DN	3.6188595652461054e-06	5.309728573226496	66.52745629533204	EGR1,PPP1R14A,STEAP4,TMEM176A,RNASE4,GNG11,SOCS3,COL4A2,GLIPR2,SERPING1,RGL3,CTNNAL1,TGM2	9.305638882061414e-05	0	0
8	ESC V6.5 UP LATE.V1 UP	8.506169008999258e-06	4.245918367346939	49.569903376917324	PARM1,GPX3,TNNC1,HPN,SH3RF1,DAB2,COL4A2,COL4A1,PODXL,CA4,CTSH,RGL3,SLIT3,ZNF521,CD55	0.0001913888027024833	0	0
9	GCNP SHH UP EARLY.V1 DN	9.794861795480196e-06	4.467405400968563	51.52550199125831	EGR1,IL1R1,CITED2,SLC43A3,ANKRD44,WWC2,TMEM176A,C4BPA,ETS1,SLC6A4,NR5A2,MGP,CCL2,AMOTL2	0.00019589723590960392	0	0
10	HINATA NFKB IMMU INF	1.721942335435852e-05	20.295398009950247	222.62981129036774	IL6,CD83,TNFAIP2,CCL2,OLR1	0.00030994962037845337	0	0
