Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	7.034003597673469e-13	8.768425841674249	245.36554649647135	CSF1R,CSF3,CSF3R,IL4R,IL1R1,ITGB3,ITGA1,EPOR,IL6,HLA-DMA,IL7,CD37,CD36,HLA-DOA,IL7R,CD34,HLA-DQA1,HLA-DRB1,CD22,CD55,HLA-DPA1,HLA-DQB1	1.892146967774163e-10	0	0
2	Cell adhesion molecules	2.65028496324038e-09	5.344858962693357	105.55347459894406	CADM1,ITGB2,ICAM2,PTPRM,SELE,SELP,CDH5,CLDN5,HLA-DMA,PTPRC,PECAM1,ESAM,PDCD1,SIGLEC1,HLA-DOA,CD34,HLA-DQA1,HLA-DRB1,CD22,HLA-DPA1,ITGA9,HLA-DQB1	3.160110024085354e-07	0	0
3	Hypertrophic cardiomyopathy	4.195664464445166e-09	7.091886861866736	136.79692415921693	EDN1,ACE,LAMA2,ITGB3,TNNC1,ITGA1,CACNA2D2,CACNA1D,CACNA1C,SLC8A1,TTN,IL6,DES,SGCA,LMNA,DMD,ITGA9	3.160110024085354e-07	0	0
4	Malaria	4.699048362952199e-09	10.652509652509652	204.27152189322257	CSF3,HGF,ITGB2,HBB,HBA2,THBS1,SELE,SELP,IL6,PECAM1,CCL2,CD36,ACKR1	3.160110024085354e-07	0	0
5	Viral myocarditis	4.2100576792137754e-07	7.563479623824452	111.03656496209409	HLA-DMA,SGCA,LAMA2,CAV1,ITGB2,DMD,HLA-DOA,HLA-DQA1,CD55,HLA-DRB1,HLA-DPA1,HLA-DQB1	2.0794105108571824e-05	0	0
6	Dilated cardiomyopathy	4.6380903587892545e-07	5.619422572178478	81.95249517904497	LAMA2,ITGB3,TNNC1,ITGA1,CACNA2D2,CACNA1D,CACNA1C,SLC8A1,TTN,PLN,DES,SGCA,LMNA,DMD,ITGA9	2.0794105108571824e-05	0	0
7	Complement and coagulation cascades	5.760688673910261e-07	5.977190185135973	85.8745222406169	C1QB,SERPINA1,VWF,CFH,ITGB2,C4BPA,TFPI,C2,C3,ITGAX,SERPING1,VSIG4,A2M,CD55	2.213750361831229e-05	0	0
8	ECM-receptor interaction	8.914987089526668e-07	5.733979262281149	79.87640595146381	TNXB,VWF,LAMA2,ITGB3,LAMA4,ITGA1,NPNT,HSPG2,THBS1,COL4A2,COL4A1,COL4A3,CD36,ITGA9	2.997664408853342e-05	0	0
9	Th17 cell differentiation	1.922243956413411e-06	4.944710715508387	65.08236811480094	STAT5A,IL4R,IL1R1,RORC,NFATC1,FOS,NFKBIA,IL6,HLA-DMA,HLA-DOA,IL6ST,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	5.745373603057862e-05	0	0
10	Osteoclast differentiation	3.703967714182076e-06	4.374115440361497	54.70315116833684	CSF1R,SPI1,JUND,IL1R1,ITGB3,CYBA,NFATC1,FOS,SIRPB1,NFKBIA,SOCS3,TYROBP,FOSB,PPARG,JUNB,FCGR2C	9.963673151149784e-05	0	0
11	Arrhythmogenic right ventricular cardiomyopathy	6.68004746784172e-06	5.580419580419581	66.49843077379272	DES,SGCA,LAMA2,ITGB3,ITGA1,LMNA,CACNA2D2,CACNA1D,DMD,CACNA1C,SLC8A1,ITGA9	0.0001474015996146755	0	0
12	Leishmaniasis	6.68004746784172e-06	5.580419580419581	66.49843077379272	C3,NFKBIA,HLA-DMA,ITGB2,CYBA,FOS,HLA-DOA,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0001474015996146755	0	0
13	Inflammatory bowel disease	7.1234973791478864e-06	6.1512780386019825	72.90563470779331	HLA-DMA,IL6,IL4R,RORC,STAT4,NFATC1,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0001474015996146755	0	0
14	Rheumatoid arthritis	9.538908832429464e-06	4.915816326530612	56.82748295413309	ANGPT1,ITGB2,TNFSF13,FOS,CXCL5,HLA-DMA,IL6,CCL2,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00018328331970882329	0	0
15	Staphylococcus aureus infection	1.2085082721977897e-05	4.795420607267297	54.30113082350823	C1QB,CFH,ITGB2,C2,C3,SELP,HLA-DMA,HLA-DOA,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00021672581681413697	0	0
16	Phagosome	3.6701922155043054e-05	3.5654110224531452	36.412406937465	MSR1,SFTPA2,ITGB3,ITGB2,CYBA,THBS1,C3,HLA-DMA,OLR1,CD36,HLA-DOA,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0006170510662316613	0	0
17	Th1 and Th2 cell differentiation	4.233837350925353e-05	4.530564263322884	45.62195171541796	STAT5A,NFKBIA,HLA-DMA,IL4R,STAT4,NFATC1,FOS,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0006699424984699529	0	0
18	Fluid shear stress and atherosclerosis	4.778808321299944e-05	3.6625603251206504	36.43783936649136	MEF2C,EDN1,IL1R1,CAV2,CAV1,ITGB3,CYBA,FOS,SELE,BMP4,CDH5,PECAM1,CCL2,ARHGEF2,GSTM5	0.0007141663546831583	0	0
19	AGE-RAGE signaling pathway in diabetic complications	9.682198604903703e-05	4.116984895981761	38.05179470843476	STAT5A,EGR1,IL6,EDN1,COL4A2,COL4A1,COL4A3,AGTR1,CCL2,NFATC1,AGER,SELE	0.001370795486694261	0	0
