Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	2.904875357019496e-14	4.017097671365395	125.21213428650584	PANX2,UCHL1,TRIM29,PHGDH,NRCAM,HTATIP2,CBR1,GPX2,G6PD,UGT1A1,IGFBP3,TALDO1,PTGR1,PGD,UGDH,ALDH3A1,DBF4,MTHFD2,PPIF,TKT,BCAT1,PFN2,ABCB6,LRP8,TM9SF3,NT5DC1,PTPRZ1,STC2,GPC1,SPP1,UGT1A5,GCNT3,UGT1A3,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,TXNRD1,AKR1C1,CYP4F3,GSR,AKR1C3,CYP4F11,TPD52L1,GCLC,TMEM237,PNPLA4,RPL22L1	5.2868731497754825e-12	0	0
2	CSR LATE UP.V1 UP	1.6237668837737155e-07	4.4860270144387515	70.13161680658297	PRMT5,FEN1,DTYMK,RRM2,UBE2C,UHRF1,IGFBP3,FANCA,IMP4,RPF2,FOXM1,ZWINT,ANLN,CHEK2,PBK,BIRC5,ITGA6,FAM83D,UMPS,EZH2	1.4776278642340811e-05	0	0
3	P53 DN.V1 UP	4.489843899478374e-06	3.690661282180717	45.44566860466696	COL17A1,ANXA1,AUTS2,CDKN2A,ITGB4,ADM,LSR,SULF1,KLK10,PRDX2,UCHL1,KRT19,CALB1,KLF5,KRT15,CDH13,CD24,PITX1,DSC2	0.00027238386323502134	0	0
4	RPS14 DN.V1 DN	1.0136991286179177e-05	3.6152906922137693	41.573382108619384	CDCA3,PLK1,KRT13,PYCR1,KIF23,MYO19,IPO4,NCAPH,NLE1,SLC6A8,TRIM29,EXO1,PRC1,PES1,PBK,MCM5,ECT2,BCAT1	0.0003914203064400646	0	0
5	MTOR UP.V1 UP	1.0753305121979796e-05	3.7679968701095463	43.107004786665875	FDPS,HELLS,GPX2,RRM2,KCNE3,UBE2C,UHRF1,SLC41A3,TMPRSS4,PPAN,SLC2A1,TMEM97,KRBA1,HSPE1,DBF4,BDH1,MCM5	0.0003914203064400646	0	0
6	MEL18 DN.V1 UP	1.6838015449793633e-05	4.028613199665831	44.28199822514561	CA12,JAG1,LAMB3,DDX11,ABCC5,FZD6,ADM,PTHLH,SLC7A5,STC2,COL7A1,ADAM12,SPP1,CDH13,CHST2	0.0005107531353104068	0	0
7	GCNP SHH UP LATE.V1 DN	0.0002746633749798842	3.0701754385964914	25.175328994578436	DLX5,PUS1,NDUFA10,SLC2A1,LSR,KLK8,MRPL3,WNK2,GJB6,ESRP1,UBE2V2,S100A11,BCL2L2,MDFI,KPNA1	0.007141247749476989	0	0
8	E2F1 UP.V1 UP	0.00046257522990254666	2.910012099213551	22.34511384927021	TOP2A,SLBP,FEN1,HMGB3,TYMS,NCAPH,DBF4,PRC1,GRWD1,DNAJC21,MCM4,GRSF1,BUB1,KPNA1,EZH2	0.010523586480282936	0	0
9	VEGF A UP.V1 DN	0.0005762613275155675	2.844027202838557	21.21345473242993	RFC4,RRM2,MRPL19,KIF23,SMC4,LRP8,NUDT21,CCNB1,DBF4,EXO1,BIRC5,MCM4,ATP13A3,BUB1,CDKN3	0.011653284623092588	0	0
10	RB P107 DN.V1 UP	0.0008533643468514352	3.1555955497382198	22.29846045965323	COL1A1,SLBP,FKBP10,GSTM2,FEN1,RRM2,PRC1,RPA3,FANCA,MCM5,NCAPH,MCM2	0.01553123111269612	0	0
11	BMI1 DN MEL18 DN.V1 UP	0.0011600448107624475	3.036176829508326	20.52241985623649	SLC7A5,JAG1,LAMB3,ZNF639,TUFT1,STC2,COL7A1,ADAM12,MICALL1,CDH13,ADM,PTHLH	0.019193468687160497	0	0
12	CORDENONSI YAP CONSERVED SIGNATURE	0.0013154377862511517	4.690484429065744	31.114730676075915	TOP2A,FSCN1,BIRC5,PHGDH,SGK1,ECT2,NDRG1	0.019950806424809134	0	0
13	PRC2 EDD UP.V1 UP	0.0016822185614878515	2.6348364625424376	16.830391483306094	HELLS,JUP,PLK1,IDH2,TRMT2A,KIF23,KLK8,DLK2,RECQL4,BTBD2,RAD54L,MCM5,MVD,MCM2	0.022103889848427132	0	0
14	RB P130 DN.V1 UP	0.0018450954519932045	3.030544924887188	19.077959954384234	UBE2C,FST,ZNF428,POLD2,HMGA2,BIRC5,ATP2A1,SNRPC,LSM4,B4GALT4,SNRPB	0.022103889848427132	0	0
15	LEF1 UP.V1 UP	0.0018527159351049813	2.6054513260636085	16.39116172472142	RYR1,KCNG1,S100A2,AUTS2,CDKN2A,WNT5A,KRT13,PAX6,KRT5,BMP7,ANO1,SLC6A8,STC2,CHST2	0.022103889848427132	0	0
16	MEK UP.V1 UP	0.0019431991075540337	2.5910009430149534	16.17670617369285	EGLN3,GPX2,ST6GALNAC2,ITGB4,TMPRSS4,AKR1C3,AKR1C2,ADM,BMP7,LRP8,ALDH3A1,BCAM,CLDN4,TRIM29	0.022103889848427132	0	0
17	KRAS.LUNG UP.V1 DN	0.0036214625949568553	2.757436684174944	15.499213272503425	TGM1,RYR1,SERPINB13,SH3BP1,KRT15,IGFBP2,KRT13,PLCH2,RHCG,CXCL14,KLK8	0.03877095248718515	0	0
