Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	CD4 receptor binding (GO:0042609)	0.0031960315919264243	407.85714285714283	2343.4840743955892	HLA-DRB1	0.020828533513023238	0	0
2	voltage-gated chloride channel activity (GO:0005247)	0.0039936462613403625	317.1904761904762	1751.8590547314027	ANO1	0.020828533513023238	0	0
3	MHC class II receptor activity (GO:0032395)	0.0039936462613403625	317.1904761904762	1751.8590547314027	HLA-DRB1	0.020828533513023238	0	0
4	metalloendopeptidase inhibitor activity (GO:0008191)	0.0055872022837974	219.54945054945054	1138.8637280375192	FETUB	0.020828533513023238	0	0
5	voltage-gated anion channel activity (GO:0008308)	0.006383144070851652	190.25714285714287	961.5775796687342	ANO1	0.020828533513023238	0	0
6	MHC class II protein complex binding (GO:0023026)	0.00678090602009761	178.35714285714286	890.6521752159383	HLA-DRB1	0.020828533513023238	0	0
7	intracellular calcium activated chloride channel activity (GO:0005229)	0.00678090602009761	178.35714285714286	890.6521752159383	ANO1	0.020828533513023238	0	0
8	intracellular chloride channel activity (GO:0061778)	0.00678090602009761	178.35714285714286	890.6521752159383	ANO1	0.020828533513023238	0	0
9	calcium activated cation channel activity (GO:0005227)	0.0075760122063041925	158.52380952380952	774.0350338275504	ANO1	0.020828533513023238	0	0
10	pyridoxal phosphate binding (GO:0030170)	0.008370561681605555	142.65714285714284	682.3340060288631	PLPBP	0.020828533513023238	0	0
11	disordered domain specific binding (GO:0097718)	0.009164554745730224	129.67532467532467	608.4900471331728	FN1	0.020828533513023238	0	0
12	ion gated channel activity (GO:0022839)	0.010354501736256563	114.09714285714286	521.4620402892078	ANO1	0.021571878617201175	0	0
13	inorganic anion transmembrane transporter activity (GO:0015103)	0.011543198536568492	101.85714285714286	454.4518266085444	ANO1	0.022198458724170176	0	0
14	peptidase inhibitor activity (GO:0030414)	0.015891074726793453	73.08791208791209	302.7299612299731	FETUB	0.02837691915498831	0	0
15	endopeptidase regulator activity (GO:0061135)	0.018255584335152574	63.32380952380952	253.50320962011816	FETUB	0.03042597389192096	0	0
16	chloride channel activity (GO:0005254)	0.025319318033677134	45.19047619047619	166.12866893112047	ANO1	0.03953380011235363	0	0
17	anion channel activity (GO:0005253)	0.026882984076400464	42.48400852878465	153.63329523076956	ANO1	0.03953380011235363	0	0
