Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	cadherin binding (GO:0045296)	8.218406452419476e-06	5.28806677193774	61.91868364943032	LAD1,LDHA,CDH3,PKM,JUP,PRDX1,MICALL1,SCRIB,SLC3A2,ALDOA,YWHAZ,S100A11	0.0013786968878677338	0	0
2	protein homodimerization activity (GO:0042803)	9.284154127055446e-06	3.8262040223829925	44.33499686627389	TBX1,GSTM3,NTRK2,HSP90AA1,TENM2,GSTM1,TPI1,JUP,TENM4,SHMT2,HSPB1,SLC51A,ANO1,DDIT3,MAP3K13,S100A11,UGT1A6	0.0013786968878677338	0	0
3	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor (GO:0016655)	0.0002374000832195512	30.10931174089069	251.28520171916048	NQO1,AKR1C1,AKR1C2	0.014188478693728291	0	0
4	cysteine-type endopeptidase inhibitor activity (GO:0004869)	0.00025521264922218734	14.57615894039735	120.59458930735974	SERPINB13,PTTG1,BIRC5,NOL3	0.014188478693728291	0	0
5	carboxylic acid binding (GO:0031406)	0.000281108370377884	14.181492751029175	115.95880878265906	GCLC,SHMT2,AKR1C1,AKR1C2	0.014188478693728291	0	0
6	alcohol dehydrogenase (NADP+) activity (GO:0008106)	0.0002866359332066321	27.957236842105264	228.05550303216273	ALDH3A1,AKR1C1,AKR1C2	0.014188478693728291	0	0
7	ketosteroid monooxygenase activity (GO:0047086)	0.0005876843981730204	86.45751633986929	643.1851729913229	AKR1C1,AKR1C2	0.019393585139709672	0	0
8	L-leucine transmembrane transporter activity (GO:0015190)	0.0005876843981730204	86.45751633986929	643.1851729913229	SLC7A5,SLC3A2	0.019393585139709672	0	0
9	syndecan binding (GO:0045545)	0.0005876843981730204	86.45751633986929	643.1851729913229	GPNMB,TNC	0.019393585139709672	0	0
10	glutathione transferase activity (GO:0004364)	0.0011648833522799914	16.30016447368421	110.10980051937487	GSTM3,GSTM1,GSTP1	0.032983530062373895	0	0
11	branched-chain amino acid transmembrane transporter activity (GO:0015658)	0.0012216122245323664	51.869281045751634	347.9175491110241	SLC7A5,SLC3A2	0.032983530062373895	0	0
12	androsterone dehydrogenase activity (GO:0047023)	0.0016205364010698363	43.22222222222222	277.70269447868986	AKR1C1,AKR1C2	0.039981342590488717	0	0
13	monocarboxylic acid binding (GO:0033293)	0.001750025096553378	13.96875	88.67537319272091	AKR1C1,AKR1C2,UGT1A6	0.039981342590488717	0	0
14	aromatic amino acid transmembrane transporter activity (GO:0015173)	0.002072961198846839	37.04575163398693	228.8974441857843	SLC7A5,SLC3A2	0.041044631737167415	0	0
15	bile acid binding (GO:0032052)	0.002072961198846839	37.04575163398693	228.8974441857843	AKR1C1,AKR1C2	0.041044631737167415	0	0
16	protease binding (GO:0002020)	0.0022706527731905673	5.820648967551622	35.434294426962225	COL1A1,NTRK2,SERPINB13,FN1,NOL3	0.0421489921023499	0	0
17	aldo-keto reductase (NADP) activity (GO:0004033)	0.002578044209687154	32.41339869281046	193.20733082812885	ALDH3A1,AKR1C1	0.04458759214512905	0	0
18	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)	0.002702278311826003	11.849282296650717	70.07262725109973	AKR1C1,AKR1C2,CYP4F11	0.04458759214512905	0	0
19	alditol:NADP+ 1-oxidoreductase activity (GO:0004032)	0.0031349527155465568	28.81045751633987	166.0963552659853	AKR1C1,AKR1C2	0.04900426086933302	0	0
