Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Cell adhesion molecules	1.0984263821838664e-06	5.934221287533591	81.42720050071483	CADM1,ITGB2,ICAM2,PTPRM,CDH5,CLDN5,HLA-DMA,PTPRC,PECAM1,ESAM,HLA-DOA,ITGA9,HLA-DQB1	0.00026362233172412796	0	0
2	Complement and coagulation cascades	1.1129920213901023e-05	7.228480078701426	82.44712981779038	CFH,ITGB2,ITGAX,SERPING1,C4BPA,VSIG4,TFPI,A2M,CD55	0.0011832530213741078	0	0
3	ECM-receptor interaction	1.4790662767176346e-05	6.952916124452857	77.32695728958929	TNXB,COL4A2,LAMA2,COL4A1,LAMA4,COL4A3,NPNT,HSPG2,ITGA9	0.0011832530213741078	0	0
4	Osteoclast differentiation	4.958730224800667e-05	5.222489316239316	51.76414301193664	CSF1R,SOCS3,SPI1,TYROBP,IL1R1,FOSB,CYBA,FYN,FOS,JUNB	0.0027354224961356885	0	0
5	Viral myocarditis	5.698796866949351e-05	8.021438168117296	78.3908712578066	HLA-DMA,LAMA2,ITGB2,FYN,HLA-DOA,CD55,HLA-DQB1	0.0027354224961356885	0	0
6	Transcriptional misregulation in cancer	8.697076163833579e-05	4.085953878406708	38.2034177585329	CSF1R,MEF2C,DDX5,MEIS1,SPI1,HPGD,ID2,JMJD1C,ERG,FLI1,DUSP6,RUNX1T1	0.0034788304655334317	0	0
7	Amoebiasis	0.00028830471759277965	5.174045196246861	42.17619107736897	COL4A2,LAMA2,IL1R1,COL4A1,LAMA4,COL4A3,ITGB2,SERPINB6	0.009884733174609589	0	0
8	Hypertrophic cardiomyopathy	0.0007235475218556565	5.114289977246447	36.98319183285563	EDN1,DES,LAMA2,TNNC1,CACNA1D,ITGA9,TTN	0.021706425655669694	0	0
9	Dilated cardiomyopathy	0.0010614269763773046	4.768045361255087	32.65224727180368	PLN,DES,LAMA2,TNNC1,CACNA1D,ITGA9,TTN	0.02447636949451801	0	0
10	Human T-cell leukemia virus 1 infection	0.0010775170821482262	3.2264588859416445	22.046702928938952	STAT5A,EGR1,HLA-DMA,ZFP36,SPI1,IL1R1,ITGB2,FOS,HLA-DOA,B2M,HLA-DQB1	0.02447636949451801	0	0
11	Adherens junction	0.0011218336018320755	5.585470085470085	37.9409297423505	PTPRB,PTPRM,LMO7,FYN,SORBS1,FGFR1	0.02447636949451801	0	0
12	Hematopoietic cell lineage	0.0012713354521853898	4.611858931215507	30.750433657814284	CSF1R,CSF3,HLA-DMA,IL1R1,HLA-DOA,CD55,HLA-DQB1	0.025426709043707797	0	0
13	Leishmaniasis	0.0017103805978871765	5.111893583724569	32.568075233039714	HLA-DMA,ITGB2,CYBA,FOS,HLA-DOA,HLA-DQB1	0.028119818165403716	0	0
14	Antigen processing and presentation	0.001827689094845559	5.040637860082304	31.779724133410795	CD74,CIITA,HLA-DMA,HLA-DOA,B2M,HLA-DQB1	0.028119818165403716	0	0
15	Parathyroid hormone synthesis, secretion and action	0.0018876274000292094	4.284235544297464	26.872587187261583	SLC34A2,EGR1,AKAP13,MEF2C,PDE4D,FOS,FGFR1	0.028119818165403716	0	0
16	Focal adhesion	0.0019261877448347102	3.187009162303665	19.92585849415964	TNXB,COL4A2,LAMA2,COL4A1,LAMA4,COL4A3,ILK,FYN,PPP1R12B,ITGA9	0.028119818165403716	0	0
17	Th17 cell differentiation	0.0019918204533827632	4.241176470588235	26.37463065776743	STAT5A,HLA-DMA,IL1R1,FOS,HLA-DOA,IL6ST,HLA-DQB1	0.028119818165403716	0	0
18	Fluid shear stress and atherosclerosis	0.002192427577324452	3.7056564411360298	22.688792656784635	CDH5,MEF2C,EDN1,IL1R1,PECAM1,CYBA,FOS,ARHGEF2	0.02923236769765936	0	0
19	Arachidonic acid metabolism	0.00331586478922924	5.388461538461539	30.762925314392405	GPX3,TBXAS1,PLAAT3,LTA4H,PTGDS	0.0418846078639483	0	0
