Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	CRX DN.V1 DN	4.8453823985317645e-08	7.2178270042194095	121.56736701632995	CADPS2,EGR1,PPP1R14A,STEAP4,RNASE4,GNG11,SEL1L3,SOCS3,COL4A2,GLIPR2,SERPING1,RGL3,JUNB,TGM2	8.088579086509979e-06	0	0
2	ATF2 S UP.V1 DN	9.088291108438178e-08	5.8104071218385664	94.20816221914032	ITIH5,LAMA2,IL1R1,ADH1B,CELF2,PDE4DIP,C4BPA,ABCA8,FOS,SORBS1,PLN,DES,NFIB,SERPING1,SLIT3,A2M	8.088579086509979e-06	0	0
3	CAMP UP.V1 DN	2.2947593396291624e-07	5.3962891165882025	82.49559543938867	RERE,CD83,DST,RALGAPA1,STXBP1,CELF2,FRY,SEL1L3,ZFP36,PTPRC,MYO15B,ID2,EPB41L3,TIMP2,FOSB,PAM	1.3615572081799697e-05	0	0
4	ESC V6.5 UP LATE.V1 UP	3.473324606284249e-06	4.907149021864211	61.68481783464473	FARP1,PARM1,GPX3,TNNC1,CYBA,SEL1L3,COL4A2,COL4A1,PODXL,PLAGL1,CTSH,RGL3,SLIT3,CD55	0.0001237094616891748	0	0
5	RPS14 DN.V1 UP	3.925080094303701e-06	4.851514720523396	60.392255862217255	PDE4D,ITGB2,TNFAIP2,FRY,DCN,HLA-DMA,TYROBP,ITGAX,SH3BP5,CTSH,MNDA,CD69,PTGDS,HLA-DQB1	0.0001237094616891748	0	0
6	EGFR UP.V1 UP	4.169981854691285e-06	4.8241637790821015	59.759805795607136	CADPS2,EDN1,IL1R1,MAOA,TFPI,DUSP6,PAPSS2,SEL1L3,SDCBP,RCAN1,CRISPLD2,PLAGL1,A2M,JUNB	0.0001237094616891748	0	0
7	ESC J1 UP EARLY.V1 DN	9.074140395936504e-06	4.81836494241952	55.94161162731335	EGR1,EDN1,WSB1,ANXA5,CIRBP,RNASE4,DUSP6,CNN1,SOCS3,ZFP36,TRPS1,LUC7L3,JUNB	0.0002307424272109568	0	0
8	ATF2 UP.V1 DN	1.4520640661240753e-05	4.594945429493455	51.18741375431195	ITIH5,CFH,IL1R1,LIMCH1,CELF2,PDE4DIP,RNASE4,ABCA8,FOS,FRY,PLN,NFIB,SLIT3	0.000311146032655628	0	0
9	ERB2 UP.V1 UP	1.8191976220430918e-05	4.490766667848155	49.0146071963482	CADPS2,EDN1,PARM1,IL1R1,LIMCH1,MAOA,LMO3,PDE4D,DUSP6,PAPSS2,PNRC1,SDCBP,MXRA7	0.000311146032655628	0	0
10	ESC J1 UP LATE.V1 UP	1.8191976220430918e-05	4.490766667848155	49.0146071963482	FARP1,PARM1,CITED2,GPX3,LMO7,SEL1L3,COL4A2,COL4A1,PODXL,ID2,CTSH,RGL3,CD55	0.000311146032655628	0	0
11	IL2 UP.V1 UP	1.922812561355004e-05	4.465449482755583	48.49092535594583	EGR1,CD52,LMO3,HEG1,AATK,FOS,DUSP6,CLDN5,RGS3,KIF1C,CD69,JUNB,ITGA9	0.000311146032655628	0	0
12	MEL18 DN.V1 DN	3.580987435047365e-05	4.916435942612635	50.33096518515596	EGR1,SH3BGRL,PLN,IL1R1,ID2,STK17B,AK1,EPB41L3,FRMD4B,FOS,A2M	0.0005311798028653592	0	0
13	KRAS.KIDNEY UP.V1 UP	0.0001506141351424353	4.5219907407407405	39.797088124448244	MEF2C,LIMCH1,LMO3,EPB41L3,PECAM1,AQP4,ANK2,SORBS1,A2M,DUSP6	0.002062255081181037	0	0
14	LTE2 UP.V1 UP	0.00033051213889967175	3.754767867462917	30.093965713598113	UNC13B,SDCBP,RCAN1,DIAPH2,EDN1,IL1R1,MAOA,GPX3,PLAGL1,SASH1,PNRC1	0.004089889280817292	0	0
15	CORDENONSI YAP CONSERVED SIGNATURE	0.0003446535910801089	7.123819898329702	56.79800752939359	PDLIM2,ITGB2,COL4A3,PMP22,TNS1,TGM2	0.004089889280817292	0	0
16	RAF UP.V1 DN	0.00039462539424260634	3.671942717166007	28.77912134504012	SELENBP1,SH3BGRL,EPB41L2,ID2,TSC22D3,TRPS1,MGP,PMP22,JMJD1C,FOS,TFPI	0.004131960010304937	0	0
17	HOXA9 DN.V1 UP	0.00039462539424260634	3.671942717166007	28.77912134504012	HLA-DMA,TYROBP,CRISPLD2,FCGRT,PECAM1,FYN,MNDA,FOS,FAM98A,FRY,SAMHD1	0.004131960010304937	0	0
18	GCNP SHH UP EARLY.V1 DN	0.0005157956792654845	3.8347091194968552	29.02798048425811	CNN1,EGR1,IL1R1,CITED2,SLC43A3,ANKRD44,ID2,MGP,C4BPA,CYBA	0.005100646161625346	0	0
19	ESC V6.5 UP EARLY.V1 DN	0.0005918443404930723	3.763117283950617	27.96849201531268	SOCS3,WSB1,COL4A2,COL4A1,ANXA5,MGP,TIMP2,PMP22,B2M,JUNB	0.005544646979356151	0	0
20	BMI1 DN MEL18 DN.V1 DN	0.0007634272347266964	3.968305566842747	28.483278068038477	FCGRT,IL1R1,GPX3,LMO3,ID2,AK1,CTSH,FOS,A2M	0.0067945023890675985	0	0
21	AKT UP MTOR DN.V1 UP	0.0009947927280913988	3.5014367816091956	24.20534898294247	MSR1,EDN1,PARM1,IL1R1,PLAGL1,JUNB,VAMP5,CD55,CXCL16,HLA-DQB1	0.008432052647631857	0	0
22	TGFB UP.V1 UP	0.00137145575364067	3.3461538461538463	22.057453012213347	CDK17,CSF1R,EDN1,PMP22,JMJD1C,RAPGEF2,TBC1D2B,RNASE4,JUNB,LMCD1	0.01103414174325098	0	0
23	E2F1 UP.V1 DN	0.0014257598881728796	3.327698087431694	21.80657312496835	TNXB,IL1R1,LAMA4,CIRBP,PDE4DIP,TCF4,IL6ST,SASH1,RUNX1T1,TGM2	0.01103414174325098	0	0
24	MEK UP.V1 UP	0.0015992519859344932	3.273521505376344	21.07564922961453	CADPS2,SDCBP,MEF2C,EDN1,PARM1,LIMCH1,MAOA,GPX3,TIMP2,MXRA7	0.011386674139853592	0	0
