Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	GTPase activator activity (GO:0005096)	4.290700848803417e-11	4.253941507634834	101.55003183992521	NRP1,DOCK4,DOCK9,DOCK8,LRRK2,RGPD5,ASAP1,DENND3,IQGAP1,RASGRP2,DOCK10,PREX1,ABR,AKAP13,DOCK11,FGD5,RGS3,RASGEF1B,CHN1,SH3BP5,RABGAP1L,RALGAPA1,RALGAPA2,TSC2,TBC1D2B,ARAP1,ARHGAP26,ARHGAP45,ALDH1A1,RAPGEF2,RIN3,ARHGEF2,RAPGEF5,DOCK2	2.128187621006495e-08	0	0
2	guanyl-nucleotide exchange factor activity (GO:0005085)	1.1997337968175372e-07	5.077926816808489	80.92182121122228	DOCK4,DOCK9,DOCK8,DENND3,RASGRP2,DOCK10,DOCK11,PREX1,ABR,AKAP13,FGD5,RASGEF1B,SH3BP5,RAPGEF2,RIN3,ARHGEF2,DOCK2,RAPGEF5	2.9753398161074923e-05	0	0
3	GTPase regulator activity (GO:0030695)	2.064263679473199e-05	3.2733107745192824	35.312973765750634	NRP1,RABGAP1L,RALGAPA1,RALGAPA2,LRRK2,RGPD5,TSC2,TBC1D2B,ASAP1,IQGAP1,ARAP1,ARHGAP26,ARHGAP45,PREX1,ABR,RGS3,CHN1,ALDH1A1,RAPGEF2	0.003412915950062356	0	0
4	protein tyrosine kinase activity (GO:0004713)	3.582486064066662e-05	4.575378071833648	46.83754354137407	EPHA4,CSF1R,HCK,FER,PEAK1,NTRK3,AATK,FYN,FGFR4,HIPK3,FGFR1,TTN	0.0044422827194426605	0	0
5	MAP-kinase scaffold activity (GO:0005078)	0.00015018291775350376	20.699122106943335	182.22796202171654	AKAP13,KSR1,IQGAP1,SH3RF1	0.014898145441147573	0	0
6	kinase inhibitor activity (GO:0019210)	0.00022656410750525435	8.071443406022846	67.73944848515798	CDKN1C,SOCS3,TAOK3,GMFG,SH3BP5,TRIB1	0.018729299553767693	0	0
7	protein kinase regulator activity (GO:0019887)	0.0003205869860799318	4.145480225988701	33.351867985581144	CDKN1C,SOCS3,CCND3,APC,TAOK3,CCNH,KIDINS220,GMFG,SH3BP5,TRIB1	0.022715877870806596	0	0
8	MHC class II protein complex binding (GO:0023026)	0.0009518786631183374	11.142243231628706	77.51739939024529	CD74,HLA-DMA,ANXA11,HLA-DOA	0.04490319383211157	0	0
9	small GTPase binding (GO:0031267)	0.000980812014751951	2.9328119154508046	20.315968649869404	UNC13B,RABGAP1L,DOCK4,LRRK2,TSC2,BRAF,IQGAP1,AKAP13,FGD5,FMNL1,MLPH,RIN3,ARHGEF2	0.04490319383211157	0	0
10	protein kinase inhibitor activity (GO:0004860)	0.0009923849697610753	5.886941146754231	40.71054957789427	CDKN1C,SOCS3,TAOK3,GMFG,SH3BP5,TRIB1	0.04490319383211157	0	0
11	CD4 receptor binding (GO:0042609)	0.0009958369599863451	21.695910780669145	149.96055170047455	CD74,IL16,CD22	0.04490319383211157	0	0
12	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	0.0011387112801008428	4.799731467740796	32.53189886440872	NRP1,EPHA4,CSF1R,NTRK3,CRIM1,FGFR4,FGFR1	0.04538527941261417	0	0
13	GTPase binding (GO:0051020)	0.0011895335329919036	2.7378055586561	18.436913869727316	UNC13B,RABGAP1L,DOCK4,LRRK2,TSC2,BRAF,IQGAP1,AKAP13,FGD5,FMNL1,MLPH,RIN3,ARHGEF2,SPTBN1	0.04538527941261417	0	0
