Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Viral myocarditis	5.291855200161232e-07	8.221409318444358	118.815205392556	HLA-DMA,CASP8,LAMA2,ITGB2,DMD,FYN,ITGAL,HLA-DOA,CD55,HLA-DPA1,HLA-DQB1	7.507836831657012e-05	0	0
2	Cell adhesion molecules	5.561360616042231e-07	4.786667443622166	68.93879486789659	CADM1,ITGB2,ICAM2,PTPRM,ITGAL,CD2,CDH5,CLDN5,HLA-DMA,PTPRC,PECAM1,ESAM,HLA-DOA,CD22,HLA-DPA1,ITGA9,HLA-DQB1	7.507836831657012e-05	0	0
3	Focal adhesion	2.4473321402911608e-06	3.8552376742031913	49.81164482147243	TNXB,PPP1R12A,VWF,LAMA2,HGF,LAMA4,BRAF,IGF1,RHOA,MYLK,CCND3,COL4A2,COL4A1,COL4A3,COL6A3,ITGA7,FYN,PPP1R12B,ITGA9	0.0001602283157367835	0	0
4	Hematopoietic cell lineage	2.656531541312525e-06	5.5463574700493306	71.20685057766389	CSF1R,CSF3,IL1R1,IL11RA,CD2,HLA-DMA,IL7,CD37,HLA-DOA,CD22,CD55,HLA-DPA1,HLA-DQB1	0.0001602283157367835	0	0
5	Complement and coagulation cascades	2.9671910321626572e-06	6.024082657896781	76.6738905356044	C3,SERPINA1,VWF,CFH,ITGB2,ITGAX,SERPING1,C4BPA,VSIG4,TFPI,A2M,CD55	0.0001602283157367835	0	0
6	Transcriptional misregulation in cancer	5.0410656113166165e-06	3.81453154875717	46.52924793401155	CSF1R,MEF2C,DDX5,SPI1,KMT2A,HPGD,JMJD1C,IGF1,FLI1,PBX1,AFF1,MEIS1,ID2,REL,ATM,ERG,H3-3A,RUNX1T1	0.00022684795250924774	0	0
7	Adherens junction	2.0256158380744328e-05	5.988700564971752	64.72019658001801	FER,PTPRB,CTNNA1,PTPRM,LMO7,FYN,IQGAP1,SORBS1,RHOA,FGFR1	0.000781308966114424	0	0
8	ECM-receptor interaction	2.497781705291436e-05	5.2242587601078165	55.36419946809852	TNXB,VWF,COL4A2,LAMA2,COL4A1,LAMA4,COL4A3,ITGA7,COL6A3,NPNT,ITGA9	0.0008430013255358597	0	0
9	Human T-cell leukemia virus 1 infection	3.050555919633839e-05	3.297508632744499	34.28618110913315	STAT5A,EGR1,NRP1,SPI1,IL1R1,ITGB2,FOS,ITGAL,ETS2,NFKBIA,HLA-DMA,CCND3,ZFP36,ATM,HLA-DOA,B2M,HLA-DPA1,HLA-DQB1	0.0009151667758901517	0	0
10	Dilated cardiomyopathy	5.6667029934037784e-05	4.730610432852386	46.25741314182714	PLN,DES,LAMA2,TNNC1,CACNA2D2,ITGA7,CACNA1D,DMD,IGF1,ITGA9,TTN	0.00153000980821902	0	0
