Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	4.700117061849391e-10	5.330478032605692	114.48941184393462	CPM,RBM47,VWF,PDE4D,ITGB2,CRIM1,TNFAIP2,EMP1,PTPN22,FRY,ITGAL,AIF1,DCN,HCK,HLA-DMA,TYROBP,ITGAX,SH3BP5,CTSH,ST3GAL6,MNDA,CD69,PTGDS,HLA-DQB1	8.601214223184385e-08	0	0
2	CAMP UP.V1 DN	2.7040413637911016e-08	4.591608754952263	80.01306785128129	RERE,USP36,CD83,ATP8A1,DST,RALGAPA1,STXBP1,CELF2,FOXN3,FRY,ETS2,SEL1L3,ZFP36,PTPRC,MYO15B,ID2,EPB41L3,TIMP2,IDS,FOSB,SVEP1,MYH10	2.474197847868858e-06	0	0
3	ATF2 S UP.V1 DN	1.8416869026484968e-07	4.434585722987806	68.76895541408435	ITIH5,DGKD,LAMA2,IL1R1,ADH1B,CELF2,PDE4DIP,C4BPA,ABCA8,FOS,SORBS1,SMAD6,PLN,DES,NFIB,SERPING1,SVEP1,ST3GAL6,SLIT3,A2M	1.123429010615583e-05	0	0
4	HOXA9 DN.V1 UP	3.3526055787994675e-07	4.254638515674984	63.42967339802117	RBM47,USP15,FOS,FRY,ARHGAP26,SAMHD1,KLF4,GNS,N4BP2L2,CLK4,HLA-DMA,TYROBP,ATXN1,CRISPLD2,FCGRT,PECAM1,COL6A3,ST3GAL6,FYN,MNDA	1.5338170523007564e-05	0	0
5	CRX DN.V1 DN	7.063661753752479e-07	4.995254237288136	70.74844549546602	CADPS2,EGR1,PPP1R14A,STEAP4,KSR1,RNASE4,GNG11,SEL1L3,SOCS3,COL4A2,GLIPR2,SERPING1,MAP3K8,RGL3,JUNB,TGM2	2.5853002018734075e-05	0	0
6	EGFR UP.V1 UP	1.3304857058867837e-06	4.034163473818646	54.582096615952494	CADPS2,MBNL2,IL1R1,ARAP2,TFPI,KLF4,PAPSS2,ETS2,SEL1L3,SOCS2,SDCBP,ATXN1,CRISPLD2,PLAGL1,MGAT4A,A2M,JUNB,TNS3,MGLL	4.05798140295469e-05	0	0
7	ATF2 UP.V1 DN	3.4714664755207327e-06	3.9284057610282055	49.38372733878508	ITIH5,DGKD,CFH,IL1R1,LIMCH1,CELF2,PDE4DIP,RNASE4,ABCA8,FOS,FRY,SMAD6,AFF1,MFAP4,PLN,NFIB,SVEP1,SLIT3	9.075405214575629e-05	0	0
8	ESC V6.5 UP LATE.V1 UP	4.349435222389807e-06	3.859286762417182	47.64468793387505	PARM1,EPB41,GPX3,TNNC1,CYBA,SH3RF1,SEL1L3,SGCE,DAB2,COL4A2,COL4A1,PODXL,PLAGL1,CTSH,RGL3,SLIT3,ZNF521,CD55	9.949333071216684e-05	0	0
9	STK33 NOMO UP	5.70406063817304e-06	3.1438259556340737	37.9595991059291	PPP1R15A,NRP1,DOCK4,CADM1,IL1R1,EMP1,FOS,GNG11,ZEB2,ZFP36,DAB2,SYNJ1,STK17B,HMOX1,OLR1,COL6A3,HBP1,MAP3K8,A2M,TPSAB1,IL6ST,JUNB,CPEB4	0.00011598256630951847	0	0
10	STK33 UP	1.726578667327503e-05	3.0013437706631403	32.915087832757884	PPP1R15A,EGR1,NRP1,DOCK4,EMP1,FOS,TFPI,GNG11,ZEB2,ZFP36,TYROBP,ATXN1,SYNJ1,HMOX1,OLR1,COL6A3,HBP1,VSIG4,TRIB1,IL6ST,JUNB,CPEB4	0.00030263461470773396	0	0
11	ESC J1 UP LATE.V1 UP	1.819115170374357e-05	3.5957379134860052	39.24595204401977	PARM1,CITED2,GPX3,CRIM1,ARAP2,SHROOM3,LMO7,SEL1L3,SGCE,DAB2,COL4A2,COL4A1,PODXL,ID2,CTSH,RGL3,CD55	0.00030263461470773396	0	0
12	ERB2 UP.V1 UP	6.639127921508554e-05	3.3583020408163264	32.30668041299156	CADPS2,PARM1,SERPINA1,IL1R1,LIMCH1,LMO3,PDE4D,PAPSS2,PNRC1,DOCK10,SDCBP,SLC6A6,DAB2,ATXN1,MGAT4A,FGFR4	0.0009749788386442304	0	0
13	ESC V6.5 UP EARLY.V1 DN	7.063191138807171e-05	3.5059698239325763	33.510159542597314	WSB1,SERPINF1,EMP1,KLF4,PBX1,BMP4,SOCS3,COL4A2,COL4A1,MGP,TIMP2,PMP22,CD37,B2M,JUNB	0.0009749788386442304	0	0
14	E2F1 UP.V1 DN	7.516157601713263e-05	3.3200107613666936	31.526391965714748	TNXB,PLXND1,IL1R1,LAMA4,CIRBP,PDE4DIP,ANKHD1,C3,DAB2,FER,ALDH1A1,TCF4,IL6ST,SASH1,RUNX1T1,TGM2	0.0009749788386442304	0	0
15	PRC2 EDD UP.V1 DN	7.991629824952708e-05	3.3011878009630817	31.1451577962588	CDKN1C,RABGAP1L,RBM47,MCTP1,PCGF3,AATK,FPR3,BAZ2B,N4BP2L2,ATXN1,TSPAN13,TRPS1,IRF8,DMD,PTGDS,TRIB1	0.0009749788386442304	0	0
16	SNF5 DN.V1 UP	9.773453138162343e-05	3.396880721025208	31.364268002292693	CSF1R,CD52,USP15,SPI1,FNBP1,ELN,ITGB2,FBLN1,AIF1,SLC6A6,PTPRC,ID2,ABI3BP,EVL,VAMP5	0.001117838702677318	0	0
17	CORDENONSI YAP CONSERVED SIGNATURE	0.00014013260014588474	5.9455527051345864	52.7544220683356	DAB2,ITGB2,COL4A3,CRIM1,PMP22,ASAP1,TNS1,TGM2	0.0015084862250998182	0	0
18	KRAS.KIDNEY UP.V1 UP	0.00016050615675441081	3.604955808080808	31.49714150124767	MEF2C,LIMCH1,LMO3,EMP1,AQP4,ANK2,SORBS1,EPB41L3,ALDH1A1,PECAM1,SPARCL1,ST3GAL6,A2M	0.0016286359107252192	0	0
19	ESC J1 UP LATE.V1 DN	0.00016982141954632193	3.2165966246414515	27.922513435715526	EGR1,GFPT2,CIRBP,AOAH,RASGRP2,RNPC3,KLF4,ACACB,SOCS2,SOCS3,HCK,NXF1,TRPS1,STAT4,ANKRD10	0.0016286359107252192	0	0
20	BMI1 DN MEL18 DN.V1 DN	0.0001840617390667959	3.5507830167345094	30.537583711020655	EPHA4,IL1R1,GPX3,LMO3,AK1,FOS,SOCS2,FCGRT,ID2,CTSH,ITGA7,PDE5A,A2M	0.0016286359107252192	0	0
21	MEL18 DN.V1 DN	0.0001969123673838614	3.5242985409652077	30.07196459161359	EGR1,IL1R1,AK1,FOS,SOCS2,SH3BGRL,PLN,ID2,STK17B,EPB41L3,PDE5A,DMD,A2M	0.0016286359107252192	0	0
22	LTE2 UP.V1 UP	0.00021442161050290042	3.142422596414992	26.545823347103216	UNC13B,SERPINA1,IL1R1,GPX3,ASRGL1,PNRC1,SDCBP,DIAPH2,DAB2,PLAGL1,MGAT4A,NUMB,FGFR4,TNS3,SASH1	0.0016286359107252192	0	0
23	IL15 UP.V1 DN	0.00021442161050290042	3.142422596414992	26.545823347103216	CDKN1C,SNRPN,ATP8A1,VWF,TSC22D3,TNFAIP2,LRP2BP,PNRC1,MYLK,FSTL3,MMP19,HBP1,PTGDS,TNS3,PRKG1	0.0016286359107252192	0	0
24	LEF1 UP.V1 DN	0.00021442161050290042	3.142422596414992	26.545823347103216	MEF2C,RBM47,KDM5D,ATP8A1,LIMCH1,TNNC1,PAPSS2,PLAC8,SELENBP1,SH3BGRL,STAT4,CTSH,OLR1,TNS3,KIAA0319L	0.0016286359107252192	0	0
25	P53 DN.V1 DN	0.0002402905442053602	3.1065927692208546	25.88929338324179	IL1R1,PTPRM,ITGAL,FBLN5,SOCS3,NR4A1,NAV3,EPB41L3,ALDH1A1,STAT4,HMOX1,ST3GAL6,VIM,DOCK2,MGLL	0.0016286359107252192	0	0
26	IL2 UP.V1 UP	0.0002402905442053602	3.1065927692208546	25.88929338324179	EGR1,USP36,CD52,LMO3,HEG1,AATK,FOS,FOSL2,SOCS2,CLDN5,RGS3,CD69,TRIB1,JUNB,ITGA9	0.0016286359107252192	0	0
27	TGFB UP.V1 UP	0.0002402905442053602	3.1065927692208546	25.88929338324179	CDK17,EPHA4,CSF1R,JMJD1C,TBC1D2B,RNASE4,SMAD6,KLF4,ETS2,SLC7A6,PMP22,RAPGEF2,TRIB1,JUNB,LMCD1	0.0016286359107252192	0	0
28	MEK UP.V1 UP	0.00030020458245882405	3.0373085729890974	24.635750688254998	CADPS2,MEF2C,PARM1,ACSL1,LIMCH1,GPX3,NEDD9,KLF4,SGCE,SLC6A6,SDCBP,ATXN1,TIMP2,NUMB,TNS3	0.0018943944341367174	0	0
29	RAF UP.V1 UP	0.00030020458245882405	3.0373085729890974	24.635750688254998	CCR1,ZNF331,HPGD,ACSL1,HEG1,PDE4D,CRIM1,TBC1D2B,ARHGAP26,SOCS2,SGCE,SDCBP,CRISPLD2,GJA5,FYN	0.0018943944341367174	0	0
30	P53 DN.V2 UP	0.0007077597389629159	3.223006783053486	23.377776330887226	NFKBIA,CD83,NFIX,PRKCE,INPP5D,NTRK3,C4BPA,FPR3,IKZF1,CD69,APOL3,FOSL2	0.004317334407673787	0	0
31	PRC2 EZH2 UP.V1 DN	0.0008447009845474929	2.8453088762386676	20.134907526386428	MCTP1,GFPT2,AATK,FPR3,KLF4,PTPRB,ATXN1,TSPAN13,TBXAS1,IDS,IRF8,DMD,TRIB1,KIAA0319L	0.004986460650715845	0	0
32	HINATA NFKB IMMU INF	0.0009518786631183374	11.142243231628706	77.51739939024529	NFKBIA,CD83,TNFAIP2,OLR1	0.005443556104707992	0	0
33	ESC J1 UP EARLY.V1 DN	0.0012063057154477036	2.8615484665936473	19.230157165705695	EGR1,WSB1,CIRBP,RNASE4,PTPN22,KLF4,BMP4,CNN1,SOCS3,ZFP36,TRPS1,LUC7L3,JUNB	0.006689513512937266	0	0
34	CAHOY ASTROGLIAL	0.0015581790327229446	3.6005948938279766	23.275100269434926	C3,CNN1,ATP8A1,GLIPR2,SEMA3B,SERPING1,HMOX1,TBC1D2B,FBLN5	0.008386669499655849	0	0
35	BMI1 DN.V1 DN	0.001884375193000482	3.0158320329124697	18.921809618281937	SOCS2,EPHA4,GPR162,EGR1,SH3BGRL,IL1R1,GPX3,LMO3,TRPS1,PDE5A,FOS	0.009852590294831091	0	0
36	KRAS.600 UP.V1 UP	0.0022075654100009823	2.3057181227028556	14.101460755253626	NRP1,CSF3,DOCK4,LIMCH1,LMO3,NTRK3,ITGB2,LAPTM5,EMP1,TFPI,RNASE1,GNG11,NAV3,MGAT4A,ST3GAL6,A2M,TGM2	0.01122179083417166	0	0
37	MTOR UP.N4.V1 DN	0.0023621674881060587	2.6370686026936028	15.949454121470257	CD52,TFPI,CLK4,FBLN5,PNRC1,CLN5,SENP6,REL,ECHDC2,HBP1,TPP1,SPRY1,TNRC6B	0.01168315271144348	0	0
38	RAF UP.V1 DN	0.0024711570432415166	2.6223631341034657	15.74222631120645	TSC22D3,PCGF3,JMJD1C,FOS,TFPI,MYLK,SELENBP1,SH3BGRL,EPB41L2,ID2,TRPS1,MGP,PMP22	0.011900572076663092	0	0
39	CAMP UP.V1 UP	0.003215001623584245	2.537433155080214	14.564682133847663	PPP1R15A,CD74,ELN,PDE4DIP,CYBA,FOS,SELENBP1,UFM1,STAT4,SPOP,RAPGEF2,COL6A3,CPEB4	0.015085776849126074	0	0
