Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Glycolysis / Gluconeogenesis	1.0625067576213902e-09	15.402817302219693	318.2627896545955	GPI,ALDH3A1,LDHA,TPI1,PKM,PGAM1,PGM2,ENO2,ALDOA,GAPDH,HK2	2.4650156776816254e-07	0	0
2	Pathways of neurodegeneration	1.767541479753702e-05	3.306241426611797	36.181310426562604	COX8A,APP,PRNP,GPX2,HSPA5,FZD6,NDUFA10,SEPTIN5,ATP2A2,ATXN2L,SEM1,TUBA1C,UCHL1,PSMC6,PSMD4,NDUFS6,DDIT3,PPIF,HRAS	0.0020503481165142943	0	0
3	Protein processing in endoplasmic reticulum	8.910418443035664e-05	4.825248940155772	44.99884460297926	ERO1A,PDIA3,BCAP31,NSFL1C,HSPA5,TUSC3,DDIT3,HYOU1,HSPBP1,CRYAB	0.006724037158268169	0	0
4	Parkinson disease	0.00011593167514255464	3.9495696202531647	35.79301239317671	COX8A,SEM1,TUBA1C,UCHL1,PSMC6,PSMD4,HSPA5,NDUFS6,DDIT3,NDUFA10,SEPTIN5,PPIF	0.006724037158268169	0	0
5	Central carbon metabolism in cancer	0.00031028269415367865	7.204833984375	58.20084172284221	LDHA,PKM,PGAM1,SLC2A1,HRAS,HK2	0.01405492694859718	0	0
6	Alzheimer disease	0.0003881331889844178	3.082258064516129	24.208554185063907	COX8A,APP,FZD6,NDUFA10,ATP2A2,SEM1,TUBA1C,PSMC6,PSMD4,NDUFS6,DDIT3,PPIF,HRAS,GAPDH	0.01405492694859718	0	0
7	Human papillomavirus infection	0.0004508647395585878	3.1883508878280415	24.564149404474563	BCAP31,LAMB3,HDAC1,ITGB4,FZD6,FN1,TNC,SCRIB,COL1A1,PKM,RHEB,PARD3,HRAS	0.01405492694859718	0	0
8	Metabolism of xenobiotics by cytochrome P450	0.0004846526533999028	6.585267857142857	50.25927860937171	ALDH3A1,GSTM3,GSTP1,AKR1C1,CBR3,UGT1A6	0.01405492694859718	0	0
9	Glutathione metabolism	0.0008919684432580088	7.365309787488775	51.719793105418944	GSTM3,GPX2,GCLC,GSTP1,GSR	0.02287096688830875	0	0
10	Prion disease	0.0009952779833767708	3.257747635412548	22.519142999060463	COX8A,SEM1,TUBA1C,PRNP,PSMC6,PSMD4,HSPA5,NDUFS6,DDIT3,NDUFA10,PPIF	0.02287096688830875	0	0
11	Amyotrophic lateral sclerosis	0.0010843992921180873	2.8836828796668152	19.6861218099728	COX8A,GPX2,HSPA5,NDUFA10,ATXN2L,SEM1,TUBA1C,PSMC6,PSMD4,NDUFS6,DDIT3,HNRNPA1,PFN2	0.02287096688830875	0	0
12	Diabetic cardiomyopathy	0.0014738236128611188	3.583717044945194	23.365459409000568	COL1A1,COX8A,NDUFS6,GSR,NDUFA10,PPIF,SLC2A1,ATP2A2,GAPDH	0.02849392318198163	0	0
13	Glycine, serine and threonine metabolism	0.0018157274595743352	8.484926787252368	53.550656141175885	GAMT,SHMT2,PGAM1,PHGDH	0.032403751586249675	0	0
14	One carbon pool by folate	0.002148216753327206	13.436974789915967	82.54491092178196	SHMT2,MTHFD2,TYMS	0.03482830536225109	0	0
15	Amoebiasis	0.002251830088076579	4.79541015625	29.232877957624197	COL1A1,SERPINB13,LAMB3,PRDX1,FN1,HSPB1	0.03482830536225109	0	0
16	Huntington disease	0.002452338270442949	2.8884192045377812	17.361459767605538	COX8A,SEM1,TUBA1C,GPX2,PSMC6,PSMD4,NDUFS6,HDAC1,NDUFA10,PPIF,POLR2H	0.03555890492142276	0	0
17	HIF-1 signaling pathway	0.0031398891187514326	4.467915655339806	25.751134769315733	LDHA,SLC2A1,ENO2,ALDOA,GAPDH,HK2	0.04285025150296073	0	0
