Gene Symbol	Name
CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7
EIF3E	eukaryotic translation initiation factor 3, subunit E
EXT1	multiple exostoses type 1 gene
HEY1	hairy/enhancer-of-split related with YRPW motif 1
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)
NBN	nibrin
NCOA2	nuclear receptor coactivator 2 (TIF2)
NDRG1	N-myc downstream regulated 1
PLAG1	pleiomorphic adenoma gene 1
PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2
RAD21	RAD21 homolog (S. pombe)
RECQL4	RecQ protein-like 4
RSPO2	R-spondin 2
RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
TCEA1	transcription elongation factor A (SII), 1
UBR5	ubiquitin protein ligase E3 component n-recognin 5
