Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	PRC2 EZH2 UP.V1 DN	2.013357576642184e-05	4.444146277295449	48.05509455071105	ABLIM3,CDADC1,CDH13,COL13A1,DMD,EDN1,IL1RL1,KCNA2,KLF4,PTPRB,SEMA3A,TMEM100,TTLL7	0.0034629750318245565	0	0
2	BMI1 DN MEL18 DN.V1 UP	0.0001433571253455546	4.550896808758444	40.27621796872162	ABLIM3,ADM,ADRB2,CDH13,COL13A1,EDN1,LSAMP,TEK,WEE1,ZEB2	0.012328712779717695	0	0
3	ESC J1 UP LATE.V1 UP	0.00032831405131327764	3.757658604977217	30.14220855872497	ARAP2,CA4,COL4A2,CRYAB,GADD45B,GPX3,LMO7,PTPN21,RAMP2,SGCE,SLCO2A1	0.018823338941961254	0	0
4	KRAS.KIDNEY UP.V1 UP	0.0006627419049412585	4.052738336713996	29.66249818373193	A2M,ALDH1A1,ASPA,CRYAB,EMP1,EPB41L3,HEY1,PLCL1,TMEM100	0.023089631433566262	0	0
5	MEL18 DN.V1 DN	0.0007676268139701283	3.9646602467242507	28.435363427939897	A2M,DMD,EGR1,EPB41L3,FOS,NDRG2,PPARGC1A,SOCS2,VPS8	0.023089631433566262	0	0
6	RELA DN.V1 UP	0.0008054522593104509	3.936139722346619	28.041479074845284	EGR1,FOS,FOSB,GADD45B,LMO7,PPP1R15A,PRKG1,PTGS2,ZFP36	0.023089631433566262	0	0
7	KRAS.600.LUNG.BREAST UP.V1 UP	0.000997209058285514	2.9109494949494947	20.116262389311007	A2M,CLDN5,CSF3,DOCK4,GNG11,GPRC5D,IL1RL1,LPL,NELL2,PPP1R15A,PTGS2,SEMA3A,SLIT2	0.02450285114644406	0	0
8	STK33 UP	0.0011654900190247832	2.8582312925170066	19.306248141050983	ADM,CD36,DOCK4,EGR1,EMP1,FABP4,FOS,GNG11,PPP1R15A,TTLL7,WDR19,ZEB2,ZFP36	0.025050803761868322	0	0
9	TGFB UP.V1 UP	0.0013107978712605518	3.3675444052802543	22.35079384850378	CRYAB,EDN1,GADD45B,HS3ST2,IL1RL1,JAM2,KLF4,PLEKHA1,SLCO2A1,TBC1D2B	0.025050803761868322	0	0
10	CSR LATE UP.V1 DN	0.002020909580931762	3.419050215152164	21.212497265788446	ACVRL1,APOL3,CLEC3B,PRKG1,SGIP1,SVEP1,TBC1D2B,TNXB,TSPAN9	0.034759644792026305	0	0
11	MEL18 DN.V1 UP	0.002308515130020467	3.6727443609022554	22.29778472528776	ABLIM3,ADM,CDH13,COL13A1,EDN1,LPL,SLCO2A1,TEK	0.03609678203304731	0	0
12	ATM DN.V1 DN	0.003245230003387696	3.4629432624113474	19.84463548847447	ACVRL1,CLEC3B,F10,GRM8,MS4A2,PPARGC1A,SEMA3A,TEK	0.04651496338189031	0	0
13	STK33 NOMO UP	0.0035274145652387477	2.6110961486668463	14.745356305664481	A2M,DENND1B,DOCK4,EMP1,FABP4,FOS,GNG11,MAP3K8,PPP1R15A,WDR19,ZEB2,ZFP36	0.04667040809392804	0	0
14	ATF2 S UP.V1 DN	0.003822911758954941	3.0898171955901517	17.20021795487442	A2M,ABCA8,ADH1B,DES,FOS,ITIH5,PTGS2,SLIT3,SVEP1	0.04696720161001785	0	0
15	ESC V6.5 UP LATE.V1 UP	0.004242161244317498	3.038137134345936	16.59637828955757	CA4,COL4A2,GPX3,HEY1,PLAGL1,RAMP2,SGCE,SLIT3,TNNC1	0.04864344893484064	0	0
