Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	IL15 UP.V1 DN	0.0008307295147838415	3.5886681383370127	25.455163482396934	ADAMTS2,CYB5R2,FSTL3,LYVE1,MMP19,MYLK,PLCL1,PRKG1,TOM1,VWF	0.036261320632873933	0	0
2	PTEN DN.V1 UP	0.0008647952850420693	3.568658300098789	25.169810311917345	ADRA2C,CYB5R2,EDN1,KALRN,KANK3,MEFV,MMRN2,NFASC,PCDHB12,SCEL	0.036261320632873933	0	0
3	EGFR UP.V1 UP	0.0009363741806783458	3.5292946838924473	24.611520228156113	A2M,ACTG2,ADM,CTNNAL1,EDN1,EPAS1,KLF4,PLAGL1,SDCBP,SOCS2	0.036261320632873933	0	0
4	MEK UP.V1 UP	0.0010527983850170226	3.4718365021719007	23.80396487022487	ADM,EDN1,EPAS1,FHL1,GPX3,KLF4,MYO5A,SDCBP,SGCE,ST6GALNAC2	0.036261320632873933	0	0
5	PKCA DN.V1 DN	0.0012695781596089154	3.6715127208923426	24.485577513135024	ABI3BP,ADM,DENND1B,KANK2,LPL,PSPC1,SLC14A1,SLIT3,ZEB2	0.036261320632873933	0	0
6	ESC V6.5 UP EARLY.V1 DN	0.0015579398738389079	3.5579784972362267	23.000163905911656	AHNAK,CAV1,COL4A1,COL4A2,EMP1,KLF4,SOCS3,TINAGL1,TUBB6	0.036261320632873933	0	0
7	BMI1 DN MEL18 DN.V1 UP	0.0020174708266156908	3.7554744525547443	23.30613878107681	ADM,ADRB2,EDN1,LSAMP,SLC6A9,STC2,TEK,ZEB2	0.036261320632873933	0	0
8	KRAS.KIDNEY UP.V1 UP	0.0020174708266156908	3.7554744525547443	23.30613878107681	A2M,ALDH1A1,ASPA,CRYAB,EMP1,EPB41L3,PLCL1,SCN1B	0.036261320632873933	0	0
9	MEL18 DN.V1 DN	0.0022928541173564084	3.674436090225564	22.333067855265536	A2M,DMD,EGR1,EPB41L3,FOS,NDRG2,PPARGC1A,SOCS2	0.036261320632873933	0	0
10	ATF2 S UP.V1 DN	0.0027500777496928903	3.255645789298031	19.195698094642587	A2M,ABCA8,ADH1B,DES,FOS,ITIH5,SLIT3,ST6GALNAC2,SVEP1	0.036261320632873933	0	0
11	CYCLIN D1 UP.V1 UP	0.0028498409352068223	3.2372918856131423	18.972123516068027	COL4A2,EGR1,HBA2,HSPG2,KLF4,NKG7,PTPN21,SLC12A4,SLC6A9	0.036261320632873933	0	0
12	LTE2 UP.V1 UP	0.0030579443967587577	3.2011924949401016	18.534944094895668	ACTG2,EDN1,EPAS1,GPX3,GTDC1,MYO5A,PLAGL1,SASH1,SDCBP	0.036261320632873933	0	0
13	ESC V6.5 UP LATE.V1 UP	0.0030579443967587577	3.2011924949401016	18.534944094895668	COL4A1,COL4A2,GPX3,PKDCC,PLAGL1,SGCE,SLIT3,TINAGL1,TNNC1	0.036261320632873933	0	0
14	ESC J1 UP LATE.V1 UP	0.003166397094990058	3.1834403220541834	18.321211270768966	COL4A1,COL4A2,CRYAB,GADD45B,GPX3,LMO7,PTPN21,SGCE,TINAGL1	0.036261320632873933	0	0
15	P53 DN.V1 DN	0.0032778594922371917	3.1658821619866906	18.11063362450221	ADAM23,ADRA2C,ALDH1A1,CDH19,CRYAB,EPB41L3,FBLN5,MYO5A,SOCS3	0.036261320632873933	0	0
16	TGFB UP.V1 UP	0.0032778594922371917	3.1658821619866906	18.11063362450221	CRYAB,EDN1,GADD45B,HS3ST2,IL1RL1,KLF4,LMCD1,PLEKHA1,TBC1D2B	0.036261320632873933	0	0
