Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	ESC J1 UP LATE.V1 UP	1.3995370910339138e-06	4.969464480130648	66.98524558570756	RAMP2,GADD45B,GPX3,ARAP2,PTPN21,LMO7,PTH1R,SGCE,TGFBR3,COL4A2,COL4A1,SLCO2A1,CA4,PCDH1,CRYAB	0.00015146554353703324	0	0
2	PRC2 EZH2 UP.V1 DN	1.7018600397419466e-06	4.88542468136353	64.89694948973091	SLC14A1,EDN1,COL13A1,SEMA3A,KCNA2,KLF4,TTLL7,TMEM100,IL1RL1,PTPRB,ABLIM3,KYNU,CDH13,DMD,PAMR1	0.00015146554353703324	0	0
3	MEL18 DN.V1 UP	7.008186795438023e-06	5.388724035608309	63.9557023589163	TGFBR3,EDN1,COL13A1,ABLIM3,STC2,SLCO2A1,CDH13,ADM,VLDLR,ITGA5,TEK,IL7R	0.00041558201794363855	0	0
4	BMI1 DN MEL18 DN.V1 UP	9.33892175154244e-06	5.2255862207447406	60.51918493785633	EDN1,ZEB2,COL13A1,ABLIM3,STC2,CDH13,ADM,ADRB2,VLDLR,ITGA5,TEK,IL7R	0.00041558201794363855	0	0
5	TGFB UP.V1 UP	3.4430173641960064e-05	4.208832136206438	43.252388526528115	CDK17,EDN1,GADD45B,PLEKHA1,TBC1D2B,KLF4,HS3ST2,IL1RL1,SLCO2A1,ITGA5,LMCD1,CRYAB,JAM2	0.0012257141816537783	0	0
6	STK33 NOMO UP	0.00021963881866227537	3.118279569892473	26.266909325645162	PPP1R15A,DENND1B,DOCK4,EPAS1,EMP1,FOS,GNG11,ZEB2,ZFP36,FABP4,CFL2,KYNU,MAP3K8,A2M,IL7R	0.00651595162031417	0	0
7	GCNP SHH UP LATE.V1 DN	0.0003345321110375615	3.751654353839151	30.023655748041	CNN1,EDN1,TNNC1,S1PR1,AMOTL2,ADRB2,PTH1R,HSPG2,AGER,CX3CL1,KANK3	0.00850667368066942	0	0
8	KRAS.600.LUNG.BREAST UP.V1 UP	0.0005724929882234041	2.9554199803900207	22.063717625436283	PPP1R15A,CSF3,DOCK4,SEMA3A,DNAH9,PTGS2,GNG11,HIC1,NELL2,CLDN5,IL1RL1,SLIT2,A2M,GPRC5D	0.012737968987970742	0	0
9	STK33 UP	0.0006777333892525943	2.9017065211576525	21.173046147279702	PPP1R15A,EGR1,DOCK4,EMP1,ADM,FOS,GNG11,TTLL7,ZEB2,ZFP36,FABP4,CFL2,KYNU,CD36	0.013404060365217976	0	0
10	KRAS.KIDNEY UP.V1 UP	0.001026513439850117	3.7983347750865053	26.138572078571602	TMEM100,GPM6A,HEY1,PLCL1,EPB41L3,EMP1,A2M,CRYAB,ASPA	0.017019632928223914	0	0
11	BMI1 DN.V1 UP	0.001130575026437412	3.742902813299233	25.395703768368527	EDN1,COL13A1,STC2,SLCO2A1,ADRB2,VLDLR,ITGA5,TEK,IL7R	0.017019632928223914	0	0
12	ATM DN.V1 DN	0.0012430068992523083	3.6890546218487397	24.680594080356006	ACVRL1,CLEC3B,SULT1E1,F10,SEMA3A,GRM8,DNAH9,TEK,PPARGC1A	0.017019632928223914	0	0
13	RELA DN.V1 UP	0.0012430068992523083	3.6890546218487397	24.680594080356006	PPP1R15A,EGR1,ZFP36,GADD45B,FOSB,LMO7,FOS,PTGS2,PRKG1	0.017019632928223914	0	0
