Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Complement and coagulation cascades	4.0481154715883355e-08	8.260204747000522	140.60875120017425	C1QB,SERPINA1,VWF,F10,ITGB2,FGG,F11,C4BPA,TFPI,C2,SERPING1,VSIG4,A2M	1.0444137916697906e-05	0	0
2	Cell adhesion molecules	1.7084195561433212e-07	5.567447524894334	86.75490106589884	SELPLG,CADM1,ITGB2,ICAM2,CDH5,CLDN5,HLA-DMA,PECAM1,ESAM,NCAM2,HLA-DOA,CD34,HLA-DQA1,JAM2,HLA-DPA1,ITGA9	2.2038612274248844e-05	0	0
3	Hypertrophic cardiomyopathy	4.4049264834710126e-06	6.338045664261209	78.16576709788185	EDN1,ACE,DES,SGCA,TNNC1,CACNA2D2,CACNA1D,CACNA2D4,TNF,ITGA9,TTN	0.00037882367757850706	0	0
4	Malaria	1.2096907321467818e-05	8.626229145950724	97.6710033871219	HGF,ITGB2,PECAM1,HBB,ACKR1,TNF,TLR4,THBS1	0.0007802505222346743	0	0
5	Rheumatoid arthritis	3.728893193380258e-05	5.470272699188362	55.77935327761114	HLA-DMA,ANGPT1,ITGB2,TNFSF13,FOS,HLA-DOA,TNF,TLR4,HLA-DQA1,HLA-DPA1	0.0016107883360955918	0	0
6	Pertussis	4.2258190836364046e-05	6.089760499826449	61.33431607727998	C1QB,SFTPA2,ITGB2,SERPING1,C4BPA,FOS,TNF,TLR4,C2	0.0016107883360955918	0	0
7	Staphylococcus aureus infection	4.4856579474721095e-05	5.341011929247223	53.474426575167236	C1QB,HLA-DMA,SELPLG,ITGB2,FGG,FPR3,HLA-DOA,HLA-DQA1,HLA-DPA1,C2	0.0016107883360955918	0	0
8	Asthma	4.994692515025091e-05	10.828267898383372	107.24911662583729	HLA-DMA,FCER1G,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1	0.0016107883360955918	0	0
9	Hematopoietic cell lineage	6.39798643616269e-05	5.099918807783976	49.249620863099246	HLA-DMA,MME,IL1R1,IL7,HLA-DOA,TNF,CD34,HLA-DQA1,EPOR,HLA-DPA1	0.0018340894450333046	0	0
10	Osteoclast differentiation	0.00011404619737123245	4.308229938768934	39.11401874000319	SOCS3,SPI1,TYROBP,IL1R1,FOSB,PPARG,PIK3R1,FOS,GAB2,TNF,SIRPB1	0.0029423918921777973	0	0
11	Focal adhesion	0.00014970523975705539	3.4128468071720666	30.05640350685478	PDGFRA,TNXB,VWF,HGF,CAV1,LAMA4,PIK3R1,THBS1,MYLK,CCND3,COL4A2,COL4A3,PIP5K1B,ITGA9	0.0035112683506654807	0	0
12	Vascular smooth muscle contraction	0.00017205716849379854	4.0950857974567185	35.49490866820123	PPP1R14A,EDN1,PTGIR,PRKCH,CALCRL,AGTR1,CACNA1D,MYH10,ADRA1A,PRKG1,MYLK	0.0036992291226166686	0	0
13	Dilated cardiomyopathy	0.00026155183737096993	4.685004009623095	38.64602680117284	DES,SGCA,TNNC1,CACNA2D2,CACNA1D,CACNA2D4,TNF,ITGA9,TTN	0.00519079800320848	0	0
14	Leishmaniasis	0.00028302485826576086	5.24348498604526	42.83914557884949	HLA-DMA,ITGB2,FOS,HLA-DOA,TNF,TLR4,HLA-DQA1,HLA-DPA1	0.005215743816611878	0	0
15	Viral myocarditis	0.0003313676586625298	5.964185883997205	47.78673948790594	HLA-DMA,SGCA,CAV1,ITGB2,HLA-DOA,HLA-DQA1,HLA-DPA1	0.005699523728995512	0	0
16	Amoebiasis	0.00041171705434757416	4.381395348837209	34.1537400088239	COL4A2,IL1R1,LAMA4,COL4A3,ITGB2,PIK3R1,TNF,TLR4,SERPINB6	0.006638937501354633	0	0
17	Inflammatory bowel disease	0.0005438070649953621	5.4486350574712645	40.95693222664803	HLA-DMA,RORC,HLA-DOA,TNF,TLR4,HLA-DQA1,HLA-DPA1	0.00825307192757667	0	0
18	Intestinal immune network for IgA production	0.0006078055345551014	6.43978884856483	47.69085816656574	HLA-DMA,TNFSF13,HLA-DOA,CCR10,HLA-DQA1,HLA-DPA1	0.00871187932862312	0	0
19	ECM-receptor interaction	0.0007013890627119508	4.519953596287703	32.82592711424373	TNXB,VWF,COL4A2,LAMA4,COL4A3,NPNT,THBS1,ITGA9	0.009524125167351754	0	0
20	Human T-cell leukemia virus 1 infection	0.0011542347465317848	2.867211358767492	19.39472857733186	NRP1,MAP3K3,SPI1,IL1R1,ITGB2,PIK3R1,FOS,TNF,HLA-DMA,CCND3,HLA-DOA,HLA-DQA1,HLA-DPA1	0.014889628230260025	0	0
21	Allograft rejection	0.0013760591631366624	6.81748359167714	44.917205693988045	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1	0.016905869718536137	0	0
22	Arrhythmogenic right ventricular cardiomyopathy	0.0015004590430867143	4.511805555555555	29.335688385914494	DES,SGCA,ACTN2,CACNA2D2,CACNA1D,CACNA2D4,ITGA9	0.017596292414380557	0	0
23	Antigen processing and presentation	0.0016178855431144216	4.448030777256129	28.585871175271368	CD74,HLA-DMA,IFI30,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1	0.01798889773334172	0	0
24	Platelet activation	0.001673385835659695	3.539211324570273	22.62584622716421	PTGIR,FCER1G,VWF,TBXAS1,FGG,PIK3R1,PRKG1,MYLK,FERMT3	0.01798889773334172	0	0
25	Phagosome	0.0019742115656340925	3.187727765192554	19.85184933661109	MSR1,HLA-DMA,SFTPA2,ITGB2,OLR1,HLA-DOA,TLR4,THBS1,HLA-DQA1,HLA-DPA1	0.020373863357343834	0	0
26	Graft-versus-host disease	0.002170742802649312	6.079212853406402	37.28190273419004	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1	0.020809942313828145	0	0
27	PI3K-Akt signaling pathway	0.0022513695422820596	2.298001603217686	14.009115434143483	PDGFRA,TNXB,VWF,ANGPT1,HGF,LAMA4,PIK3R1,GNG11,THBS1,EPOR,CCND3,COL4A2,IL7,COL4A3,FGFR4,TLR4,ITGA9	0.020809942313828145	0	0
28	MAPK signaling pathway	0.002258443351888326	2.4449685534591197	14.89738773545111	MAP3K3,PDGFRA,ANGPT1,IL1R1,HGF,RASGRF2,CACNA2D2,CACNA1D,ARRB1,CACNA2D4,FOS,TNF,DUSP6,RPS6KA2,FGFR4	0.020809942313828145	0	0
29	Type I diabetes mellitus	0.002412795700013994	5.91893039049236	35.67321093734646	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1	0.021346549244529715	0	0
30	Th17 cell differentiation	0.002482156888898804	3.6489254493894867	21.888544121134593	HLA-DMA,IL1R1,RORC,FOS,HLA-DOA,IL6ST,HLA-DQA1,HLA-DPA1	0.021346549244529715	0	0
31	Type II diabetes mellitus	0.0032564478970080954	5.4849949421153195	31.413214797578622	SOCS2,SOCS3,CACNA1D,PIK3R1,TNF	0.02710205023961576	0	0
32	Pyruvate metabolism	0.003579629849432454	5.354125521176212	30.15708992793593	ALDH2,ADH1B,LDHD,ME3,ACACB	0.028380899101283448	0	0
33	Fluid shear stress and atherosclerosis	0.0036301150013269526	3.1284257602862255	17.577031823169154	CDH5,EDN1,IL1R1,CAV1,PECAM1,PIK3R1,FOS,TNF,GSTM5	0.028380899101283448	0	0
34	Influenza A	0.004797165359439626	2.7913033468589026	14.904806459337836	SOCS3,TPSD1,CCND3,HLA-DMA,PIK3R1,HLA-DOA,TNF,TLR4,HLA-DQA1,HLA-DPA1	0.036402019492218336	0	0
35	Coronavirus disease	0.0053837626332660475	2.470640834575261	12.907536359861822	C1QB,NRP1,ACE,VWF,FGG,AGTR1,PIK3R1,FOS,IL6ST,TLR4,TNF,C2	0.03968602169664686	0	0
36	Adrenergic signaling in cardiomyocytes	0.005962107386097612	2.8827313211281544	14.766304795366453	TNNC1,AGTR1,CACNA2D2,SCN7A,CACNA1D,CACNA2D4,ADRB2,ADRA1A,SCN1B	0.042728436267032883	0	0
37	AGE-RAGE signaling pathway in diabetic complications	0.006510777440395809	3.3919753086419755	17.076209110299782	EDN1,COL4A2,COL4A3,AGTR1,PIK3R1,TNF,AGER	0.04539947512492212	0	0
38	Pathways in cancer	0.007156629654566005	1.8766816774556712	9.27027474825225	PDGFRA,EDN1,SPI1,EPAS1,HGF,DAPK2,LAMA4,FOS,PIK3R1,GNG11,ESR1,EPOR,CCND3,COL4A2,IL7,COL4A3,AGTR1,PPARG,IL6ST,FGFR4,GSTM5	0.04858974870731656	0	0
