Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	KRAS.600 UP.V1 UP	2.427246060570769e-08	4.243455953089926	74.40443179267413	NRP1,DOCK4,RTN1,SYT1,PCDH9,LIMCH1,NTRK3,ITGB2,LAPTM5,TFPI,RNASE1,GNG11,DUSP6,DNM3,NAV3,SLCO4A1,MGAT4A,ST3GAL6,A2M,TLR4,SCN1B,KCNK3,CCNJL,TGM2	4.296225527210261e-06	0	0
2	CORDENONSI YAP CONSERVED SIGNATURE	4.025071324518551e-07	9.678123295144571	142.5157177154663	DAB2,PDLIM2,ITGB2,COL4A3,PMP22,AMOTL2,SLIT2,THBS1,TNS1,TGM2	3.5621881221989175e-05	0	0
3	KRAS.KIDNEY UP.V1 UP	3.90752701827247e-06	4.885855410866637	60.84163172149447	GPM6A,RTN1,SYT1,PCDH9,LIMCH1,AQP4,ANK2,DUSP6,DNM3,PECAM1,ST3GAL6,A2M,ASPA,SCN1B	0.00023054409407807574	0	0
4	RPS14 DN.V1 UP	5.559154043181063e-06	4.166129378895336	50.41043466568865	CPM,VWF,SLC31A2,ITGB2,PTPN22,DCN,PTPRE,HLA-DMA,TYROBP,SPTLC3,SH3BP5,CTSH,ST3GAL6,MNDA,CD69,PTGDS	0.00024599256641076204	0	0
5	P53 DN.V2 UP	2.3958622258827365e-05	4.391201530168666	46.71879354319848	NTRK3,RORC,C4BPA,FPR3,HS3ST2,CLEC1A,CA3,CCL4,ME3,CD69,CD68,APOL3,KCNK3	0.0007347795454286785	0	0
6	EGFR UP.V1 UP	2.4907781200972153e-05	3.852355840576638	40.836244363586715	EDN1,PCDH9,IL1R1,EPAS1,FGG,TFPI,DUSP6,PAPSS2,RND1,SOCS2,PTPRE,CRISPLD2,MGAT4A,SLCO2A1,A2M	0.0007347795454286785	0	0
7	ATF2 S UP.V1 DN	6.937925029217734e-05	3.6916967018021083	35.35140233063232	ITIH5,IL1R1,ADH1B,CELF2,C4BPA,ABCA8,FOS,SMAD6,DES,SERPING1,SVEP1,ST3GAL6,SLIT3,A2M	0.0014900669059207123	0	0
8	ESC V6.5 UP LATE.V1 UP	8.23549614065402e-05	3.628208556149733	34.12138525166074	PARM1,GPX3,TNNC1,HNF1B,PTH1R,DAB2,COL4A2,PODXL,CA4,CTSH,RGL3,SLIT3,ZNF521,LPIN2	0.0014900669059207123	0	0
9	ERB2 UP.V1 UP	8.7125873593593e-05	3.6075240943835163	33.72370039636179	VIPR1,EDN1,PARM1,SERPINA1,IL1R1,LIMCH1,EPAS1,DUSP6,PAPSS2,PTPRE,DAB2,MUC1,MGAT4A,FGFR4	0.0014900669059207123	0	0
10	ESC J1 UP LATE.V1 UP	8.7125873593593e-05	3.6075240943835163	33.72370039636179	PDGFRA,PARM1,CITED2,GPX3,LMO7,HNF1B,PTH1R,DAB2,COL4A2,PODXL,SLCO2A1,CA4,CTSH,RGL3	0.0014900669059207123	0	0
11	KRAS.300 UP.V1 UP	9.350801201530631e-05	4.074312279352651	37.79928319584095	DNM3,DOCK4,RTN1,SYT1,NAV3,ITGB2,ST3GAL6,A2M,TFPI,RNASE1,SCN1B,DUSP6	0.0014900669059207123	0	0
12	CSR LATE UP.V1 DN	0.00010102148514716694	3.7715977393020546	34.699368054897406	ACVRL1,ANKRD29,SFTPB,BTBD19,TNXB,MME,SGIP1,TBC1D2B,CLEC3B,SVEP1,PDE5A,PRKG1,APOL3	0.0014900669059207123	0	0
13	ATF2 UP.V1 DN	0.00026060642264867884	3.4001268145270087	28.05954397984195	ITIH5,IL1R1,LIMCH1,CELF2,RNASE4,ABCA8,FOS,SMAD6,AFF1,SLCO4A1,SVEP1,SLIT3,CD68	0.0035482566776012425	0	0
