Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Proteoglycans in cancer	1.6370068167367422e-05	3.794434646286498	41.81488229962169	CD63,PPP1R12A,CAV2,CAMK2A,ITPR1,MSN,IQGAP1,CBL,HSPG2,FGF2,MRAS,ERBB4,FAS,ARHGEF1,PPP1R12B,TLR2	0.003961556496502916	0	0
2	Regulation of actin cytoskeleton	0.00012571185491473623	3.3019146975505977	29.656206738386242	PPP1R12A,MSN,IQGAP1,SSH2,ITGAL,FGF2,SSH1,DIAPH1,ACTR3C,MRAS,APC,ITGAX,ARHGEF1,ITGB6,PPP1R12B	0.015211134444683083	0	0
3	Dilated cardiomyopathy	0.00030358135955113494	4.586835283952556	37.15272782801572	RYR2,CACNG8,CACNB4,PLN,LAMA2,TPM2,DMD,ITGB6,SLC8A1	0.017259943255307632	0	0
4	Arrhythmogenic right ventricular cardiomyopathy	0.000324252227824118	5.1338603425559945	41.245376821900585	RYR2,TCF7L2,CACNG8,CACNB4,LAMA2,DMD,ITGB6,SLC8A1	0.017259943255307632	0	0
5	Calcium signaling pathway	0.00035661039783693455	2.975673595073133	23.62347599821345	RYR2,LHCGR,CAMK2A,ITPR1,FGF2,MCOLN2,SLC8A1,CACNA1H,PLN,P2RX4,ADORA2A,HRH2,ERBB4,P2RX1,PLCB2	0.017259943255307632	0	0
6	Protein digestion and absorption	0.0005122482063276885	4.24373576309795	32.15351815602708	SLC7A7,COL24A1,COL25A1,KCNQ1,ELN,COL6A3,ATP1A2,KCNN4,SLC8A1	0.019936801616164245	0	0
7	Adrenergic signaling in cardiomyocytes	0.0005766843442692138	3.51551619116606	26.219477364359342	RYR2,CACNG8,CACNB4,PLN,TPM2,KCNQ1,CAMK2A,ATP1A2,PLCB2,SLC8A1,PIK3R5	0.019936801616164245	0	0
8	Hypertrophic cardiomyopathy	0.0009282370269249108	4.317073170731708	30.142769488532373	RYR2,CACNG8,CACNB4,LAMA2,TPM2,DMD,ITGB6,SLC8A1	0.027815536462673356	0	0
9	MAPK signaling pathway	0.0010344620998514885	2.56781241673328	17.65081823188049	MEF2C,GADD45B,FLT3LG,ARRB2,RASGRP2,FGF2,CACNA1H,NR4A1,CACNG8,MRAS,CACNB4,TAOK3,ERBB4,RAPGEF2,FAS,MAP3K8	0.027815536462673356	0	0
10	Gastric acid secretion	0.0015606370246681112	4.48194156889809	28.965269841798914	CA2,HRH2,KCNQ1,CAMK2A,ITPR1,ATP1A2,PLCB2	0.03776741599696829	0	0
11	Cell adhesion molecules	0.0018795844012677377	3.211898616901595	20.160138790465883	CD2,NFASC,PTPRC,CD6,SDC3,NRXN3,SIGLEC1,ITGAL,PVR,CD22	0.04135085682789023	0	0
12	Oxytocin signaling pathway	0.0025167017497388427	3.0771182141045155	18.415955748011125	RYR2,MEF2C,CACNG8,CACNB4,PPP1R12A,CAMK2A,ITPR1,PPP1R12B,PLCB2,PIK3R5	0.04935343987446422	0	0
13	Parathyroid hormone synthesis, secretion and action	0.0026512178444960117	3.6092764378478663	21.412884908572554	EGR1,MEF2C,PDE4D,ITPR1,PDE4B,ARHGEF1,ARRB2,PLCB2	0.04935343987446422	0	0
