Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	ERB2 UP.V1 UP	0.00010788294619361976	3.531073446327684	32.25446239460011	CADPS2,LMO3,PDE4D,RFTN1,KRT7,PNRC1,DOCK10,SDCBP,ANXA6,PDE4B,ITGB6,KCNN4,PCDH1,ABCG1	0.006956371493222247	0	0
2	P53 DN.V1 DN	0.00011403887693806963	3.5110547299746284	31.876764571188104	GRAMD1B,TFPI2,ITGAL,NCALD,GLS,NR4A1,CA2,APOC1,PDE4B,NDN,FAS,VIM,MGLL,SLC19A2	0.006956371493222247	0	0
3	RPS14 DN.V1 UP	0.00011403887693806963	3.5110547299746284	31.876764571188104	RBM47,ANXA3,PDE4D,LST1,CRIM1,TNFAIP2,ITGAL,TM6SF1,CACNB4,CDC42EP3,ANXA6,ITGAX,ARHGEF3,FLVCR2	0.006956371493222247	0	0
4	AKT UP.V1 DN	0.000316605295839751	3.3282335843572466	26.818422575266258	STAT5A,CAV2,ZDHHC6,AXIN2,HIC1,KLF2,PDLIM3,CSDC2,PDE4B,FAS,KCNN4,PDZRN3,SASH1	0.013496666888068188	0	0
5	MTOR UP.N4.V1 DN	0.0004288983482103422	3.216296296296296	24.940096194023955	RYR2,CRBN,TRAT1,TPM2,PLCL1,ANXA5,CLK4,PNRC1,ELF2,ADORA2A,DMXL1,SPRY1,SRGAP2	0.013496666888068188	0	0
6	MEK UP.V1 UP	0.0004966851137141623	3.163080208529615	24.063304462761877	CADPS2,MEF2C,IL4R,CHKA,RFTN1,KRT7,SDCBP,TIMP2,FLVCR2,KCNN4,PCDH1,TNS3,ABCG1	0.013496666888068188	0	0
7	ESC V6.5 UP EARLY.V1 DN	0.0005162659465381274	3.3357798165137615	25.248145575097993	TAGLN,YES1,MRAS,ANXA3,ANXA5,MGP,TIMP2,TFEB,CD37,GPCPD1,FGF2,B2M	0.013496666888068188	0	0
8	ATF2 S UP.V1 DN	0.001077818054859269	3.0474967234600263	20.82298620360958	PDLIM3,IL4R,SLC7A7,PLN,LAMA2,WT1,SDC3,ITPR1,SLC1A3,PDE4DIP,CD302,SORBS1	0.022947731505051652	0	0
9	CYCLIN D1 UP.V1 UP	0.0011285769592648354	3.030025020850709	20.56416704837882	STAT5A,EGR1,SMTN,TAGLN,TFPI2,MSN,PTPN21,HBA2,NEK3,MSLN,HSPG2,SYN1	0.022947731505051652	0	0
10	EGFR UP.V1 UP	0.0014130733282148465	2.945562370115059	19.328745754285553	CADPS2,SDCBP,IL4R,SGMS1,RNF19A,IRF1,FNDC3B,PDE4B,KRT7,ITGB6,TNS3,MGLL	0.025512979128703168	0	0
11	GCNP SHH UP EARLY.V1 DN	0.001533567051452103	3.08973727659821	20.021988359936362	CNN1,EGR1,WIPF1,SLC43A3,ANKRD44,WWC2,UIMC1,MGP,TERF2IP,CYBA,ETS1	0.025512979128703168	0	0
12	CAHOY ASTROGLIAL	0.0018366242245764436	3.8458498023715415	24.22818478078405	C3,CNN1,PSTPIP1,TAGLN,ATP8A1,MSN,FAS,CAPS2	0.026867506118408286	0	0
13	CAMP UP.V1 DN	0.0019086206532202608	2.834862385321101	17.75013496230476	ZFP36,CD83,IL4R,PTPRC,ATP8A1,DST,MYO15B,CD160,TIMP2,UBE2E2,KCNN4,GLS	0.026867506118408286	0	0
14	NRL DN.V1 UP	0.003587301657067034	3.135705701935322	17.655136235569334	MEF2C,TAOK3,CSDC2,STK17B,RFX2,TNFAIP2,ZDHHC6,BBS9,KCNN4	0.046514648181637475	0	0
15	LEF1 UP.V1 DN	0.0038126760804620885	2.724301036779464	15.172787449628965	MEF2C,RBM47,SH3BGRL,ATP8A1,ERAP2,KCNQ1,EFHD1,TNS3,CLEC2D,CXCL5,CNN3	0.046514648181637475	0	0
16	KRAS.DF.V1 UP	0.004289515316313948	2.6789800588427592	14.604678214200863	INPP4B,SMTN,DPYSL2,TFPI2,ARHGEF3,BBS9,COL6A3,FAR2,PITPNC1,CXCL5,TLR2	0.04906133143034078	0	0
