Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Malaria	3.4392432282299596e-09	9.914342629482071	193.21085174702495	CSF3,HGF,HBB,HBA2,ITGAL,TNF,THBS1,SELE,SELP,IL6,PECAM1,CCL2,ACKR1,TLR4	4.820120869634059e-07	0	0
2	Dilated cardiomyopathy	3.4552837775154542e-09	6.319258281825126	123.12039192285029	LAMA2,TNNC1,ADCY4,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,TNF,SLC8A1,ADCY5,TTN,CACNG6,SLC8A3,PLN,DES,SGCA,MYL3,DMD,ITGA9	4.820120869634059e-07	0	0
3	Hypertrophic cardiomyopathy	7.487657417869565e-09	6.395527369826436	119.66038008307193	ACE,LAMA2,TNNC1,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,TNF,SLC8A1,TTN,CACNG6,SLC8A3,IL6,DES,SGCA,MYL3,DMD,ITGA9	6.963521398618695e-07	0	0
4	Adrenergic signaling in cardiomyocytes	2.9343080647263937e-07	4.1688384562628595	62.706100486411735	TNNC1,PPP2R5B,ADCY4,CACNA2D2,CACNA1D,ATP1A2,CACNA2D4,ADRB2,CACNA1C,ADRA1A,SLC8A1,ADCY5,KCNE1B,CACNG6,SLC8A3,PLN,KCNQ1,MYL3,AGTR1,SCN7A,PLCB2	2.0466798751466597e-05	0	0
5	Hematopoietic cell lineage	1.08338007613821e-06	4.915534307670095	67.51695136301517	CSF1R,CSF3,CSF3R,IL1R1,IL5RA,TNF,EPOR,FCER2,IL6,HLA-DMA,IL7,CD37,HLA-DOA,CD34,CD55,HLA-DPA1	6.0452608248512114e-05	0	0
6	Cell adhesion molecules	4.0052887044752915e-06	3.761721178957841	46.750275432737354	SELPLG,CADM1,ICAM2,PTPRM,ITGAL,SELE,SELP,CDH5,CLDN5,HLA-DMA,NFASC,PTPRC,PECAM1,ESAM,NCAM2,HLA-DOA,CD34,HLA-DPA1,ITGA9	0.00018624592475810104	0	0
7	Arrhythmogenic right ventricular cardiomyopathy	6.673208356011939e-06	5.1640625	61.54224904939736	LAMA2,ACTN2,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,SLC8A1,CACNG6,SLC8A3,DES,SGCA,DMD,ITGA9	0.00026597501876104724	0	0
8	Parathyroid hormone synthesis, secretion and action	1.2557311521455044e-05	4.195844049567453	47.35097061396981	SLC34A2,EGR1,MEF2C,PDE4D,PDE4C,ADCY4,ARRB1,ARRB2,PTH1R,FOS,ADCY5,NR4A2,AKAP13,PDE4B,PLCB2	0.00043793623931074466	0	0
9	Calcium signaling pathway	1.8758690579261597e-05	2.8438761776581427	30.95233144909126	CHRM1,TNNC1,HGF,NTRK3,ADCY4,CACNA1D,ADRB2,CACNA1C,ADRA1A,SLC8A1,CACNA1H,MYLK,SLC8A3,HRH1,EDNRB,PLN,ADORA2A,ERBB4,P2RX1,AGTR1,PTK2B,FGFR4,PLCB2,FGF10	0.0005523860911904339	0	0
10	Complement and coagulation cascades	2.0240014329680464e-05	4.588362068965517	49.59032442420486	C1QB,SERPINA1,VWF,CFH,F10,PROS1,C4BPA,TFPI,ITGAX,SERPING1,VSIG4,A2M,CD55	0.0005523860911904339	0	0
