Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	ATF2 S UP.V1 DN	2.243749151050733e-07	3.7790750480971687	57.85744041889672	ITIH5,SERPINA3,CCL11,LAMA2,IL1R1,ADH1B,CELF2,C4BPA,ABCA8,FOS,SORBS1,SMAD6,EFEMP1,SLC7A7,PLN,DES,NFIB,SERPING1,CCL2,SVEP1,CCIN,SLIT3,CD302,A2M	4.1284984379333485e-05	0	0
2	KRAS.KIDNEY UP.V1 UP	7.137240790041577e-07	4.092744310575636	57.923666413183774	GPM6A,MEF2C,VIPR2,RTN1,PCDH9,LIMCH1,LMO3,PLCL1,ANK2,ETV1,ATP1A2,SORBS1,SOBP,TMEM100,DNM3,EPB41L3,PECAM1,SPARCL1,A2M,ASPA	6.56626152683825e-05	0	0
3	LTE2 UP.V1 UP	1.1327931142122984e-06	3.5293767304101475	48.32007632543153	UNC13B,SERPINA1,PCDH9,IL1R1,EPAS1,GPX3,PROS1,SECISBP2L,C4ORF19,ACTG2,PNRC1,SDCBP,DIAPH2,DAB2,ACOX2,DPYSL2,PLAGL1,MGAT4A,ANXA6,KIF13B,CD302,FGFR4,SASH1	6.947797767168764e-05	0	0
4	ATF2 UP.V1 DN	3.106708392913275e-06	3.4126174496644297	43.27863290045119	ITIH5,SERPINA3,CCL11,CFH,IL1R1,LIMCH1,CELF2,RNASE4,ABCA8,FOS,FRY,SMAD6,AFF1,EFEMP1,PLN,SLCO4A1,NFIB,CCL2,SVEP1,SLIT3,CD302,CD68	0.0001374637700202799	0	0
5	CRX DN.V1 DN	3.7354285331597804e-06	3.9605220754108927	49.497210840315944	CADPS2,EGR1,SERPINA3,PPP1R14A,MYOCD,STEAP4,RNASE4,FMN1,GNG11,SOCS3,RBP4,COL4A2,GLIPR2,GDAP1L1,TRIM13,SERPING1,RGL3,TGM2	0.0001374637700202799	0	0
6	KRAS.600 UP.V1 UP	6.229631855173506e-06	2.7757012763778666	33.27009209495541	NRP1,CSF3,DOCK4,RTN1,CTNND2,SEMA3A,ATP1A2,TFPI,CXCL5,A2M,TGM2,PCDH9,LIMCH1,LMO3,NTRK3,PDE2A,LAPTM5,ETV1,GNG11,DNM3,RBP4,NAV3,ACOX2,SLCO4A1,MGAT4A,TLR4,KCNK3,CCNJL	0.00019104204355865418	0	0
7	BMI1 DN MEL18 DN.V1 DN	1.3867144963060346e-05	3.5589778619554755	39.81068432316462	IL1R1,GPX3,LMO3,AK1,UNC5C,FOS,SOCS2,RBP4,ACOX2,FCGRT,ID2,PDE4B,EFHD1,CTSH,PDE5A,PDE7B,A2M,PPARGC1A	0.0002963683189603184	0	0
8	ESC J1 UP LATE.V1 UP	1.4870303416293719e-05	3.1566235609525313	35.08948329823402	PARM1,CITED2,GPX3,CRIM1,APOA2,GKN2,LMO7,HNF1B,PTH1R,RBP4,DAB2,COL4A2,PODXL,ID2,HNF4A,SLCO2A1,MYL3,CA4,CTSH,RGL3,CD55	0.0002963683189603184	0	0
9	MEL18 DN.V1 DN	1.523264012940515e-05	3.5314162473040978	39.17071641021373	EGR1,IL1R1,AK1,UNC5C,FOS,SOCS2,RBP4,SH3BGRL,PLN,ID2,EPB41L3,PDE4B,EFHD1,PDE5A,DMD,PDE7B,A2M,PPARGC1A	0.0002963683189603184	0	0
10	RPS14 DN.V1 UP	1.6106973856539045e-05	3.137999153379427	34.631768953876836	CPM,VWF,CD300A,PDE4D,CRIM1,TNFAIP2,PTPN22,FRY,ITGAL,DCN,PTPRE,HLA-DMA,TYROBP,ENPP2,ANXA6,ITGAX,SH3BP5,CTSH,CCL2,CD69,PTGDS	0.0002963683189603184	0	0
11	ERB2 UP.V1 UP	4.7664636011947694e-05	2.984569858380892	29.700412165758124	CADPS2,VIPR1,PARM1,SERPINA1,IL1R1,LIMCH1,EPAS1,LMO3,PDE4D,PAPSS2,PNRC1,DOCK10,SLC9A3R2,SDCBP,PTPRE,DAB2,MGAT4A,ANXA6,PDE4B,FGFR4	0.0007820437048862935	0	0
12	JNK DN.V1 UP	5.133414723807501e-05	2.967062046636157	29.30612991653757	MYOM1,STARD13,BEAN1,ELN,TNNC1,HNF1B,PTPN22,CACNA1H,PAPSS2,SYNE1,TBX2,MRAS,SLC7A7,SLCO2B1,PDE4B,PECAM1,S1PR1,EFHD1,CD37,TEK	0.0007820437048862935	0	0
13	EGFR UP.V1 UP	5.525308784522726e-05	2.949756637339338	28.918193848200406	CADPS2,PCDH9,IL1R1,EPAS1,FHOD1,TFPI,PAPSS2,ACTG2,RND1,SOCS2,SDCBP,PTPRE,CRISPLD2,PLAGL1,MGAT4A,SLCO2A1,PDE4B,CCL2,A2M,MGLL	0.0007820437048862935	0	0
14	IL15 UP.V1 DN	0.00013517641977041757	2.8315508021390374	25.226087376743564	CDKN1C,ARHGEF10,ATP8A1,VWF,ACTN2,TSC22D3,PLCL1,TNFAIP2,LYVE1,LRP2BP,PNRC1,MYLK,FSTL3,CHIT1,SELP,KCNQ1,MMP19,PTGDS,PRKG1	0.001776604374125488	0	0
15	CORDENONSI YAP CONSERVED SIGNATURE	0.00029539907739262194	4.745629947229552	38.568604507873395	DAB2,AXL,COL4A3,CRIM1,PMP22,AMOTL2,THBS1,TNS1,TGM2	0.0036235620160161627	0	0
16	LEF1 UP.V1 DN	0.0003908571591841759	2.6632253857856987	20.898778053474498	MEF2C,KDM5D,ATP8A1,LIMCH1,PROS1,TNNC1,HNF1B,CXCL5,PAPSS2,SELENBP1,RBP4,SH3BGRL,KCNQ1,STAT4,EFHD1,CTSH,OLR1,VILL	0.004494857330618023	0	0
17	P53 DN.V1 DN	0.00044348936876241506	2.6323373693660512	20.32384704116539	ARHGEF10,IL1R1,PTPRM,MITF,ITGAL,FBLN5,CYP27A1,SOCS3,NR4A1,NAV3,EPB41L3,APOC1,PDE4B,STAT4,CAPN3,ST3GAL5,VIM,MGLL	0.004800120226604964	0	0
18	PRC2 EZH2 UP.V1 DN	0.0005021426785509391	2.6021513533195777	19.767571299048285	MCTP1,COL13A1,PCDH9,GFPT2,SEMA3A,KCNA2,VWA5A,AATK,ETV1,NR4A2,TMEM100,PTPRB,ABLIM3,TBXAS1,FXYD6,DMD,TRIB1,CCNJL	0.005133014047409599	0	0
19	NRL DN.V1 DN	0.0006421153716008185	2.96128818061089	21.767667073120183	MYOCD,PLEKHH2,RASGRF2,RNASE4,ABCC9,ADRB2,SLC8A3,SOCS3,NR4A1,ALDH2,ARHGDIB,PECAM1,CCL2,RGL3	0.006218380440765821	0	0
20	CSR LATE UP.V1 DN	0.0008649459559822722	2.6394590762100747	18.61569187261727	ACVRL1,ANKRD29,BTBD19,TNXB,CCL11,CFH,SGIP1,TSC22D3,TBC1D2B,CLEC3B,FGGY,DAAM2,CCL2,SVEP1,PDE5A,PRKG1	0.007957502795036903	0	0
21	ESC V6.5 UP LATE.V1 UP	0.0010669587675179362	2.4972639691714837	17.088634874091564	PARM1,GPX3,TNNC1,HNF1B,PTH1R,RBP4,DAB2,COL4A2,PODXL,PLAGL1,MYL3,CA4,CTSH,RGL3,SLIT3,ZNF521,CD55	0.009348591105871442	0	0
22	KRAS.KIDNEY UP.V1 DN	0.0011382426664634708	2.7750456507304118	18.810007924243447	SEMA5A,ITIH5,CSF1R,EGFL7,ACE,ABCA3,IFI30,ETS1,CNN1,IL6,CLEC3B,TYROBP,EFHD1,VILL	0.0095198477558763	0	0
23	BMI1 DN.V1 DN	0.0013031794472935041	2.732066605373378	18.148977134482504	EGR1,IL1R1,GPX3,LMO3,ETV1,FOS,ARHGAP15,SOCS2,GPR162,SH3BGRL,PDE4B,EFHD1,PDE5A,PPARGC1A	0.010425435578348033	0	0
24	KRAS.300 UP.V1 UP	0.0014876443074187356	2.690389955330194	17.51594902602646	CSF3,DOCK4,RTN1,LMO3,SEMA3A,PDE2A,ETV1,ATP1A2,TFPI,CXCL5,DNM3,RBP4,NAV3,A2M	0.01140527302354364	0	0
25	KRAS.600.LUNG.BREAST UP.V1 UP	0.0017592187872058672	2.1056365746581216	13.355811570020101	PPP1R15A,CSF3,DOCK4,SEMA3A,PDE2A,LPL,TFPI,GNG11,ETS1,CXCL5,LAT2,CLDN5,RBP4,NAV3,SLCO4A1,ID2,TRIM46,CD37,A2M,FBP1,CCR10,MGLL	0.012947850273835184	0	0
26	PKCA DN.V1 DN	0.001972870811901494	2.503980613101904	15.595456145598467	KANK2,ARHGEF10,PARM1,CFH,COL25A1,TRPV2,LPL,ZEB2,CA3,ABI3BP,RHOJ,APOC1,SLIT3,TRIB1,FERMT3	0.013961854976533648	0	0
27	GCNP SHH UP EARLY.V1 DN	0.0022163324883968	2.4712023348991434	15.103745211661701	EGR1,IL1R1,CITED2,ANKRD44,WWC2,C4BPA,ETS1,NR4A2,LAT2,CNN1,NR5A2,ID2,MGP,CCL2,AMOTL2	0.015103895476481896	0	0
28	IL2 UP.V1 UP	0.0030448696902003335	2.306863575838276	13.36665309693533	EGR1,CD52,LMO3,AATK,LRRC6,PTH1R,FOS,SOCS2,CNKSR2,CLDN5,RGS3,SLCO4A1,CD69,TRIB1,ASPA,ITGA9	0.019319173206788325	0	0
29	TGFB UP.V1 UP	0.0030448696902003335	2.306863575838276	13.36665309693533	CDK17,CSF1R,PHLDB1,TAGLN,PLEKHA1,JMJD1C,TBC1D2B,RNASE4,SMAD6,HS3ST2,HRH1,SLCO2A1,PMP22,RAPGEF2,TRIB1,LMCD1	0.019319173206788325	0	0
30	HINATA NFKB IMMU INF	0.003425459088653834	7.75078132876298	43.99746349037411	IL6,TNFAIP2,CCL2,OLR1	0.019875676450172686	0	0
31	KRAS.PROSTATE UP.V1 DN	0.0036649525311864472	2.5140826533298237	14.101338495235069	CD96,ACSS3,TAGLN,SH2D3C,KCNA2,AATK,HBA2,PTH1R,TTC21B,SLC19A3,CD48,CCR10,VGLL3	0.019875676450172686	0	0
32	VEGF A UP.V1 UP	0.003730112425171675	2.2551264980026633	12.609126911159526	SEMA5A,SERPINA3,TAGLN,TNFSF12,FAM189A2,NEDD9,DENND3,HLA-DMA,RGS3,PTPRC,DLG2,ADORA2A,ID2,ENPP2,CCL2,KANK3	0.019875676450172686	0	0
33	MEK UP.V1 UP	0.003730112425171675	2.2551264980026633	12.609126911159526	CADPS2,MEF2C,PARM1,PCDH9,LIMCH1,EPAS1,GPX3,FHL1,NEDD9,ARRB1,SDCBP,PTPRE,ARHGDIB,TIMP2,PPARG,CCNJL	0.019875676450172686	0	0
34	BMI1 DN MEL18 DN.V1 UP	0.0038887193054685694	2.4949059561128526	13.845918217300445	TAGLN,COL13A1,GFPT2,LSAMP,ADRB2,GAB2,ZEB2,ABLIM3,CRISPLD2,PODXL,TNIP3,TEK,MGLL	0.019875676450172686	0	0
