Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	1.3596337886502086e-07	5.947446393762183	94.03436278764829	GSTM4,CBR1,GSTM3,GSTM2,UGT1A1,GSTP1,AKR1C1,ADH7,ALDH3A1,UGT1A5,UGT1A3,UGT2A1,UGT1A9,UGT1A7,CBR3,UGT1A6	1.8426030414025603e-05	0	0
2	Glycolysis / Gluconeogenesis	1.4151454463996743e-07	6.428715851905104	101.38639912746837	GPI,TPI1,PDHA1,PGAM1,ENO1,ENO2,ADH7,ALDH3A1,LDHB,LDHA,PKM,PGM2,ALDOA,DLD,GAPDH	1.8426030414025603e-05	0	0
3	Drug metabolism	1.926065896936474e-07	4.770797067046473	73.76900365213125	GSTM4,GSTM3,GSTM2,RRM1,RRM2,UGT1A1,GSTP1,NME2,ADH7,CYP2C19,ALDH3A1,UGT1A5,UGT1A3,TK1,UGT2A1,UMPS,UGT1A9,UGT1A7,UGT1A6	1.8426030414025603e-05	0	0
4	Steroid hormone biosynthesis	1.747841173207906e-06	6.023042929292929	79.84825797076856	DHRS11,UGT1A1,SRD5A1,AKR1C1,AKR1C3,AKR1C2,HSD17B1,UGT1A5,UGT1A3,UGT2A1,UGT1A9,UGT1A7,UGT1A6	0.00012540760417766725	0	0
5	Huntington disease	4.4989334756439e-06	2.6246052391185195	32.313274095284505	HDAC1,NDUFB5,CLTC,NDUFA10,NDUFA4L2,CACNA1B,COX5A,ATP5MC1,TUBA1C,PSMB7,TUBA3D,KLC3,PSMD4,PSMD2,POLR2D,POLR2E,POLR2H,POLR2I,AP2M1,COX8A,GPX2,TUBB,NDUFC2,SDHC,SDHA,TUBA4A,PSMA4,NDUFS6,VDAC3,PPIF,TBPL1,HAP1	0.00023897381524069908	0	0
6	Glutathione metabolism	4.995968262871757e-06	5.924408226620101	72.31853625427333	GSTM4,GGCT,GSTM3,GPX2,GSTM2,RRM1,GCLC,RRM2,GSTP1,GSS,GSR,PGD	0.00023897381524069908	0	0
7	Parkinson disease	1.2800697521815543e-05	2.7245260663507107	30.69454034621489	NDUFB5,NDUFA10,NDUFA4L2,COX5A,TXN2,ATP5MC1,TUBA1C,PSMB7,UCHL1,TUBA3D,KLC3,PSMD4,PSMD2,COX8A,TUBB,SEPTIN5,NDUFC2,SDHC,SDHA,TUBA4A,PSMA4,NDUFS6,DDIT3,VDAC3,PPIF,CALM1,NFE2L2	0.0005248285983944373	0	0
8	Cell cycle	2.7038477585473445e-05	3.5388605572457266	37.22261867852516	HDAC1,CDKN2A,PLK1,PKMYT1,YWHAZ,CCNB1,WEE1,DBF4,TFDP1,CDC45,PTTG1,CDK4,CDK1,MCM4,MCM5,BUB1,MCM2	0.0009700053833788598	0	0
9	Ascorbate and aldarate metabolism	3.1184237149828825e-05	8.05098493626883	83.53378167608888	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT2A1,UGT1A9,UGT1A7,UGT1A6	0.0009944306735556526	0	0
10	Alzheimer disease	7.904766117166473e-05	2.202554977838391	20.804144019077935	NDUFB5,NDUFA10,NDUFA4L2,ATP2A2,ATP2A1,FZD10,COX5A,ATP5MC1,APH1A,TUBA1C,PSMB7,TUBA3D,KLC3,PSMD4,PSMD2,HRAS,COX8A,TUBB,WNT7B,FZD6,WNT5A,NDUFC2,SDHC,SDHA,TUBA4A,PSMA4,PIK3CA,NDUFS6,DDIT3,VDAC3,PPIF,CALM1,GAPDH	0.002162286822797485	0	0
