Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	2.0980600970545117e-12	3.154844881782151	84.83380398822653	ARHGAP8,HJURP,MCM10,SLC7A11,TSKU,PANX2,UCHL1,TRIM29,PHGDH,CBR1,SREBF1,GPX2,UGT1A1,IGFBP3,NDUFC2,TALDO1,PTGR1,PGD,UGDH,ALDH3A1,DBF4,MTHFD2,PPIF,TKT,BCAT1,CSTA,ABCB6,LRP8,BRIP1,CDC45,PTPRZ1,STC2,SPP1,UGT1A5,GCNT3,UGT1A3,B4GALNT1,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,TXNRD1,AKR1C1,CYP4F3,GSR,STYK1,AKR1C3,CYP4F11,TPD52L1,STXBP5L,FERMT1,GCLC,TMEM237,PNPLA4,RPL22L1,NFE2L2	3.923372381491937e-10	0	0
2	CSR LATE UP.V1 UP	7.131066174775285e-09	4.1883314267037095	78.5680928442671	FEN1,DTYMK,UHRF1,RPF2,FOXM1,PSMD2,NUF2,PBK,PGM2,FAM83D,PRMT5,RRM2,WSB2,UBE2C,IGFBP3,FANCA,IMP4,KIF22,TUBA4A,ANLN,KRT18,FABP5,CDK1,BIRC5,ITGA6,UMPS,EZH2	6.667546873414891e-07	0	0
3	MTOR UP.V1 UP	1.653676278390995e-05	3.1470983024082115	34.64931504336976	HELLS,GPX2,RRM2,HMGCS1,UBE2C,UHRF1,ZNF518B,GSS,TMPRSS4,PPAN,SLC2A1,KRBA1,HSPE1,GABRG2,CYP26A1,DBF4,BDH1,FABP5,CDK1,MCM5,DHCR7	0.0010045706058128881	0	0
4	RPS14 DN.V1 DN	2.2749781284390944e-05	2.97824892029839	31.840325264591932	ARHGAP11A,GCDH,ERCC6L,PLK1,KRT13,PYCR1,GPATCH4,MCM10,KIF23,MYO19,NCAPH,KIF15,SLC6A8,TRIM29,EXO1,PRC1,COBLL1,PBK,KIF2C,MCM5,TK1,BCAT1	0.0010045706058128881	0	0
5	E2F1 UP.V1 UP	2.6860176626013054e-05	2.942270935161479	30.967006713599055	DLX1,SLBP,FEN1,RRM1,ARHGAP8,HMGB3,MCM10,TYMS,NCAPH,AURKB,SLC9A3R1,DBF4,PRC1,UBE2T,TYRO3,MCM4,TK1,GRSF1,THOP1,BUB1,KPNA1,EZH2	0.0010045706058128881	0	0
6	P53 DN.V1 UP	0.0001168844252615798	2.7070792247534854	24.51077491124372	COL17A1,AUTS2,CDKN2A,ITGB4,SULF1,KLK10,TUBA4A,NDC80,PRDX2,UGT8,UCHL1,KRT19,KRT18,CALB1,KLF5,KRT15,CDH13,CD9,CD24,PITX1,DSC2	0.0036428979206525706	0	0
7	GCNP SHH UP LATE.V1 UP	0.00014776202063847567	2.734567055719363	24.118628612593948	NAA30,RRM1,RRM2,SRSF1,MCM10,SMC4,AURKB,PSMC3IP,FRMD6,SIX4,PIK3CA,PRC1,MYB,CDK1,MCM4,KIF2C,MCM5,TK1,DNM1L,THOP1	0.0039473568370564215	0	0
8	RB P130 DN.V1 UP	0.00022209110521305889	3.040855700504823	25.580964058860918	UBE2C,FST,HMGA2,ATP2A1,KIF22,LSM4,AURKB,RUVBL2,POLD2,CDK1,BIRC5,TK1,SNRPC,POLR2I,B4GALT4,SNRPB	0.005191379584355251	0	0
9	PRC2 EDD UP.V1 UP	0.0003017801959868494	2.5751411124620476	20.873608787151706	HELLS,JUP,PLK1,TRMT2A,KIF23,MCM10,ENO2,RANGAP1,KLK8,DLK2,RECQL4,CDC45,BTBD2,TACC3,RAD54L,PACSIN3,MCM5,MVD,ASF1B,MCM2	0.006270321849948982	0	0
10	PRC2 EZH2 UP.V1 UP	0.00034558022989259526	2.5454423367466847	20.287902727618267	HELLS,RFC4,HJURP,MCM10,SULF1,TPD52L1,NCAPH,AURKB,KIF15,HOXA10,CENPF,CDC45,TACC3,RAD54L,KNTC1,PITX1,THOP1,BUB1,EZH2,MCM2	0.006462350298991531	0	0
11	GCNP SHH UP LATE.V1 DN	0.0009012324235498772	2.4706265468281883	17.323409196564615	GRB7,DLX5,PUS1,NDUFA10,SLC2A1,KLK8,MRPL3,VSNL1,WNK2,GJB6,ESRP1,UBE2V2,ADAM7,PPFIA4,S100A11,BCL2L2,MDFI,KPNA1	0.015320951200347913	0	0
12	RB P107 DN.V1 UP	0.0011725346403361114	2.6641121495327105	17.978993988454796	SLBP,GSTM2,FEN1,RRM1,RRM2,PAQR4,GINS4,FANCA,NCAPH,COL1A1,CDC45,PRC1,MCM5,ASF1B,MCM2	0.017088938896079132	0	0
13	RB DN.V1 DN	0.0011880010997274263	2.7737747957992998	18.682713350031616	LAMB3,IGFBP3,KRT8,NKAP,NDRG1,TUBA4A,DUSP14,DDIT3,STC2,ADAM12,CD9,RPS2,CTSC,CDC42SE2	0.017088938896079132	0	0
14	HOXA9 DN.V1 DN	0.002226889702912876	2.2594631112524093	13.79887882745145	FANCI,ARHGAP11A,HELLS,SREBF1,RNASEH2A,HMGCS1,DLX5,FZD6,GINS4,IGFBP2,MCM10,FANCG,CDC45,SPP1,MVD,DHCR7,BCAT1,APOBEC3B	0.029361010916141773	0	0
15	MEK UP.V1 UP	0.002355161303433832	2.246650947745564	13.594813030268982	EGLN3,GPX2,ST6GALNAC2,ITGB4,TMPRSS4,PTOV1,AKR1C3,AKR1C2,SLC7A11,ENO2,BMP7,LRP8,ALDH3A1,CLDN4,TRIM29,PACSIN3,FGFR3,SPTBN2	0.029361010916141773	0	0
16	MEL18 DN.V1 UP	0.0034286604769320547	2.4442341440108786	13.872460173320183	JAG1,LAMB3,DDX11,ABCC5,FZD6,SLC7A11,PTHLH,STC2,COL7A1,ADAM12,TYRO3,SPP1,CDH13,CHST2	0.04007246932414339	0	0
17	ERB2 UP.V1 UP	0.004226976572671408	2.1685307814476835	11.853771067592582	GAMT,NOTCH3,CSTA,EGLN3,ST6GALNAC2,ITGB4,PTOV1,AKR1C2,MIA3,ENO2,NDRG1,HEY1,TNNT1,PACSIN3,MVD,SPTBN2,APOBEC3B	0.04649674229938549	0	0
18	VEGF A UP.V1 DN	0.004693620594544238	2.1436621779859486	11.493354120987417	RFC4,RRM2,KIF23,KIF22,SMC4,LRP8,NDC80,NUDT21,CCNB1,DBF4,CDC45,EXO1,BIRC5,MCM4,BUB1,TMPO,CDKN3	0.0487615028433207	0	0
