Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Staphylococcus aureus infection	5.7902628682940695e-08	6.673138786764706	111.20454168514527	IL10,CFD,ITGB2,FGG,CFI,DEFA3,FPR3,FPR2,C2,C3,FCGR3B,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DQB1	1.5517904487028105e-05	0	0
2	Hematopoietic cell lineage	3.7973038851049902e-06	5.358527131782946	66.88095197261327	GYPA,CR1,MME,FLT3,ITGB3,ITGA1,CD1C,CD36,HLA-DQA1,CD22,HLA-DRB1,CD33,HLA-DQB1	0.0005088387206040687	0	0
3	Leishmaniasis	5.478882958139879e-05	5.267107087513254	51.680982335947164	IL10,C3,NFKBIA,FCGR3B,CR1,ITGB2,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.004894468775938292	0	0
4	Complement and coagulation cascades	0.00012803240843304217	4.703339404978749	42.15709938080289	CFD,C3,CR1,ITGB2,FGG,CFI,F11,F13A1,C8B,C2	0.008578171365013825	0	0
5	Cell adhesion molecules	0.0002702694435746113	3.404938271604938	27.975283224863396	NLGN3,ITGB2,NRXN3,SPN,CD226,SIGLEC1,TIGIT,NECTIN3,HLA-DQA1,CD22,HLA-DRB1,JAM2,HLA-DQB1	0.014486442175599166	0	0
6	Malaria	0.0004520345828579724	5.720677451971689	44.059238265169576	IL10,GYPA,CR1,CD81,ITGB2,KLRC4-KLRK1,CD36	0.020190878034322766	0	0
7	Tuberculosis	0.0005546409689841453	2.982756714933127	22.362292492123558	IL10,CR1,FCER1G,ITGB2,CAMK2A,C3,TLR1,FCGR3B,CLEC4E,CTSD,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.021234825669678707	0	0
8	Osteoclast differentiation	0.0008819896859607702	3.3440567581172917	23.519855373829945	NFKBIA,LILRA6,CALCR,FCGR3B,ITGB3,BTK,NFATC1,PIK3R1,JUNB,FCGR2C,OSCAR	0.0295466544796858	0	0
9	cAMP signaling pathway	0.0011527981733429643	2.6393766461808603	17.85686923864817	EDN1,PPP1R12A,CAMK2A,NPY1R,ATP1A4,NFATC1,PIK3R1,NFKBIA,CREB3L1,FXYD1,PDE4A,CACNA1S,VIP,CFTR,RAPGEF3	0.03432776782843494	0	0
10	Asthma	0.0015594709498720288	6.739447375728965	43.55980246408373	IL10,FCER1G,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.041793821456570374	0	0
11	B cell receptor signaling pathway	0.0019032349716982474	3.85212440643413	24.130478569410528	LILRA6,NFKBIA,CD81,BTK,NFATC1,PIK3R1,SOS2,CD22	0.04636972476501185	0	0
12	Inflammatory bowel disease	0.0021992915765793124	4.237912293853073	25.934412751698183	IL10,IL18RAP,NFATC1,IL12RB1,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.049117511876937976	0	0
