Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	2.6377608470496996e-13	2.968875287479121	85.98954136365568	HJURP,IDE,SLC7A11,TSKU,PANX2,UCHL1,TRIM29,PHGDH,NRCAM,CBR1,SREBF1,GPX2,G6PD,ABCC2,UGT1A1,IGFBP3,NDUFC2,TALDO1,PTGR1,PGD,ALDH3A1,NEIL3,DBF4,MTHFD2,MPPED2,MCM3,TKT,PFN2,CSTA,ABCB6,DNAH8,MGST1,CPLX2,LRP8,ADH6,NT5DC1,BRIP1,CDC45,PTPRZ1,PTPMT1,STC2,GPC1,TSPAN7,SPP1,UGT1A5,GCNT3,UGT1A3,B4GALNT1,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,TXNRD1,AKR1C1,CYP4F3,GSR,STYK1,OSGIN1,AKR1C3,NR0B1,CYP4F11,TPD52L1,STXBP5L,FERMT1,GCLC,TMEM237,PNPLA4,RPL22L1	4.958990392453435e-11	0	0
2	CSR LATE UP.V1 UP	4.220656083292978e-06	3.0231994932872985	37.4136657085956	CXCL6,FEN1,DTYMK,UHRF1,YEATS4,RPF2,FOXM1,NUF2,PBK,PGM2,GINS2,RRM2,UBE2C,IGFBP3,FANCA,NETO2,KIF22,ZWINT,ANLN,KRT18,CDK1,MCM3,BIRC5,ITGA6,UMPS,EZH2	0.0003967416718295399	0	0
3	VEGF A UP.V1 DN	1.2122627992038398e-05	2.7607799619530753	31.253234994624187	MRPL19,BUB1B,TTK,HMMR,CENPA,LRP8,CCNB1,ATIC,CDC45,EXO1,BUB1,TMPO,PLK4,SERPINB2,RFC4,RRM2,SPAG5,KIF23,KIF22,NDC80,NUDT21,DBF4,CD8B,CCNE1,BIRC5,MCM4,CDKN3	0.0007596846875010729	0	0
4	E2F1 UP.V1 UP	6.473973324236462e-05	2.5830406062212794	24.91377646798707	TOP2A,DLX1,FEN1,HMGB3,TYMS,NCAPH,AURKB,DNAJC21,BUB1,KPNA1,TPD52,PLK4,RRM1,KLHL21,UCK2,DBF4,PRC1,UBE2T,TYRO3,MCM4,DNA2,GRSF1,SSX2IP,EZH2,CDK5R1	0.003042767462391137	0	0
5	PRC2 EZH2 UP.V1 UP	0.0001079499083916037	2.491075234441603	22.75309071440644	HJURP,TTK,HMMR,THBS2,NPAS1,NCAPH,AURKB,KIF15,HOXA10,CDC45,LGALS7,PITX1,BUB1,PSPH,HELLS,RFC4,SULF1,TPD52L1,CENPF,DEPDC1,TACC3,DNA2,EZH2,MCM2,NUP37	0.003154465375281474	0	0
6	E2F3 UP.V1 UP	0.0001172412802319383	2.4763751165352996	22.414355953019324	RYR1,RTN4R,L3MBTL3,FEN1,ZDHHC23,TMEM97,SLC4A3,NPAS1,RASGRP1,RECQL4,UGT8,HEY1,MYB,SAC3D1,ATRNL1,GAD1,FANCA,SYNGR3,CCNE1,EEF1A2,TMEM106C,ANKRD18A,FGFR3,CHST2,CDK5R1	0.003154465375281474	0	0
7	RB P107 DN.V1 UP	0.00011745349801579955	2.818004207995191	25.501439085264774	FKBP10,GSTM2,FEN1,RRM1,RRM2,PAQR4,MCM7,FANCA,NCAPH,COL1A1,CDC45,CENPH,CCNE1,PRC1,RPA3,CENPK,MCM5,DNA2,MCM2,TCFL5	0.003154465375281474	0	0
8	RPS14 DN.V1 DN	0.00036802041718634834	2.37210007497905	18.757078045824823	ARHGAP11A,GINS2,ERCC6L,CDCA3,SRD5A3,PLK1,KRT13,PYCR1,KIF23,NCAPH,NLE1,KIF15,SLC6A8,TRIM29,EXO1,PRC1,PES1,ZNF74,PBK,DEPDC1,KIF2C,MCM5,SLC29A2	0.008648479803879186	0	0
9	HOXA9 DN.V1 DN	0.0006673665009024008	2.2608025989318308	16.531375621912723	PLK4,FANCI,ARHGAP11A,HELLS,SREBF1,TIPIN,DLX5,FZD6,IGFBP2,ADM,TEX15,FANCG,COCH,SQLE,CDC45,TBL1XR1,ZIC1,TMEM106C,SPP1,MVD,APOBEC3B,SLC29A2,TMEM45A	0.013940544685516816	0	0
10	MEL18 DN.V1 UP	0.0009951088137850354	2.469495730060811	17.07078056564255	CA12,HS3ST3A1,JAG1,WNT5B,LAMB3,DDX11,ABCC5,FZD6,ADM,SLC7A11,PTHLH,SLC7A5,STC2,COL7A1,ADAM12,TYRO3,SPP1,CHST2	0.018708045699158668	0	0
