Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	KRAS.600 UP.V1 UP	1.0140149744003444e-08	3.5393812636165576	65.14855233817325	NRP1,CSF3,DOCK4,RTN1,CTNND2,FLT4,ITGB2,TFPI,HSD11B1,ST3GAL6,A2M,SCN1B,TGM2,SYT1,PCDH9,LIMCH1,MMD,NTRK3,LAPTM5,ETV1,RNASE1,GNG11,DUSP6,DNM3,FABP3,NAV3,ACOX2,SLCO4A1,MGAT4A,TLR4,KCNK3,CCNJL	1.8455072534086268e-06	0	0
2	RPS14 DN.V1 UP	3.345674981684364e-07	3.8050797605453477	56.73536471980657	CPM,VWF,SLC31A2,CD300A,ITGB2,PTPN22,PILRA,AIF1,DCN,PTPRE,HCK,HLA-DMA,TYROBP,SPTLC3,ENPP2,SH3BP5,CTSH,CCL2,ST3GAL6,MNDA,CD69,PTGDS,HLA-DQB1	3.0445642333327712e-05	0	0
3	ESC J1 UP LATE.V1 UP	1.1759170228985679e-06	3.6343281648166545	49.62116247416651	PDGFRA,RAMP2,PARM1,CITED2,GPX3,APOA2,GKN2,LMO7,HNF1B,PTH1R,TGFBR3,DAB2,COL4A2,COL4A1,PODXL,ID2,SLCO2A1,CA4,CHST15,CTSH,RGL3,HLA-DRB1	7.133896605584644e-05	0	0
4	KRAS.KIDNEY UP.V1 UP	1.4982470134963046e-05	3.6889153079710146	40.97879414332731	GPM6A,RTN1,SYT1,PCDH9,LIMCH1,AQP4,ANK2,ETV1,DUSP6,TMEM100,DNM3,EPB41L3,PECAM1,ST3GAL6,A2M,ASPA,SCN1B	0.0006817023911408186	0	0
5	CORDENONSI YAP CONSERVED SIGNATURE	2.746098411848489e-05	5.87502671021704	61.70390341064804	DAB2,PDLIM2,ITGB2,COL4A3,PMP22,AMOTL2,SLIT2,THBS1,TNS1,TGM2	0.0009995798219128499	0	0
6	CSR LATE UP.V1 DN	3.425464005899109e-05	3.2898365289129936	33.825074492586495	ACVRL1,ANKRD29,SFTPB,BTBD19,TNXB,MME,SGIP1,MRGPRF,NTN4,TBC1D2B,CLEC3B,SCML1,DAAM2,CCL2,SVEP1,PDE5A,PRKG1,APOL3	0.0010390574151227297	0	0
7	TGFB UP.V1 UP	5.3486030514396696e-05	3.0521575480575347	30.021296489598292	CDK17,KDM6B,CSF1R,PHLDB1,EDN1,PLEKHA1,MMD,FLT4,JMJD1C,TBC1D2B,RNASE4,LTBP2,SMAD6,HS3ST2,HRH1,SLCO2A1,PMP22,LMCD1,JAM2	0.0013369431444663718	0	0
8	KRAS.300 UP.V1 UP	6.0871165946338275e-05	3.41320271624179	33.13110874578352	CSF3,DOCK4,RTN1,SYT1,ITGB2,ETV1,TFPI,RNASE1,DUSP6,HSD11B1,DNM3,FABP3,NAV3,ST3GAL6,A2M,SCN1B	0.0013369431444663718	0	0
9	BMI1 DN MEL18 DN.V1 DN	6.611257307800739e-05	3.3869709791098197	32.596722222670984	IL1R1,GPX3,AK1,UNC5C,SEMA3E,FOS,SLC4A4,SOCS2,ACOX2,ID2,PENK,CTSH,PDE5A,PDE7B,A2M,PPARGC1A	0.0013369431444663718	0	0
10	ESC V6.5 UP LATE.V1 UP	0.00014569769311602264	2.904259628041989	25.656161820972425	RAMP2,PARM1,GPX3,TNNC1,HNF1B,PTH1R,SH3RF1,DAB2,COL4A2,COL4A1,PODXL,CA4,CHST15,CTSH,RGL3,SLIT3,ZNF521,LPIN2	0.0026516980147116118	0	0
