Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	9.55736151187049e-12	2.418915576895237	61.376860958297634	ARHGAP8,HJURP,MCM10,IDE,SLC7A11,ELAVL1,TSKU,PANX2,UCHL1,TRIM29,PHGDH,NRCAM,XYLB,WDHD1,CBR1,SREBF1,GPX2,G6PD,ABCC2,UGT1A1,EIF1AX,GPT2,IGFBP3,NDUFC2,TALDO1,ESCO2,PTGR1,PGD,UGDH,ALDH3A1,IMPACT,NEIL3,DBF4,MTHFD2,PALLD,PPIF,TKT,BCAT1,PFN2,CSTA,DDC,ABCB6,FECH,DBF4B,CPLX2,LRP8,CAMKK1,PARL,TM9SF3,NT5DC1,BRIP1,CDC45,PTPRZ1,STC2,GPC1,TSPAN7,SPP1,UGT1A5,GCNT3,UGT1A3,B4GALNT1,KRTAP4-1,UGT1A9,RIMKLA,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,CCDC138,TXNRD1,AKR1C1,IDH1,CYP4F3,GSR,STYK1,OSGIN1,AKR1C3,NR0B1,CYP4F11,TPD52L1,EIF2S2,STXBP5L,FERMT1,GCLC,TMEM237,PNPLA4,RPL22L1,SFTPA1,NFE2L2	1.7872266027197816e-09	0	0
2	CSR LATE UP.V1 UP	1.279458966042397e-07	2.9331602855288774	46.554117923511335	FEN1,DTYMK,UHRF1,GMNN,MAZ,YEATS4,MT1X,RPF2,FOXM1,PSMD2,POLD1,NUF2,PBK,PGM2,FAM83D,PRMT5,GINS2,RRM2,WSB2,UBE2C,IGFBP3,FANCA,IMP4,NETO2,KIF22,TUBA4A,ZWINT,ANLN,KRT18,FABP5,HAT1,CDK1,BIRC5,ITGA6,SNRPA1,UMPS,DCTPP1,EZH2	7.674110665433585e-06	0	0
3	RPS14 DN.V1 DN	1.5208191563408622e-07	2.815687557955599	44.203046884307525	ARHGAP11A,GCDH,ERCC6L,CDCA3,GPATCH4,MCM10,IPO4,NCAPH,KIF15,TBRG4,ALAD,TRIM29,EXO1,COBLL1,PES1,POLD1,PBK,TK1,ECT2,DLGAP5,GINS2,SRD5A3,PLK1,KRT13,PYCR1,MRPS2,KIF23,MYO19,NLE1,SLC6A8,PC,TLX2,PRC1,NMU,DEPDC1,KIF2C,MCM5,KIF20A,BCAT1,SLC29A2	7.674110665433585e-06	0	0
4	RB P107 DN.V1 UP	1.7174942439695925e-07	3.1856257097312484	49.6232220082737	SLBP,FKBP10,FEN1,NAA40,MCM7,GMNN,NCAPH,IPO9,ORC6,CDC45,HAUS8,POLD1,STMN1,TCFL5,WDHD1,GSTM2,RRM1,RRM2,PAQR4,RFC2,GINS4,FANCA,COL1A1,CENPH,CCNE1,PRC1,POLE2,RPA3,CENPK,MCM5,DNA2,ASF1B,MCM2	7.674110665433585e-06	0	0
5	E2F1 UP.V1 UP	2.051901247442135e-07	2.7775855839233685	42.772953815399816	TOP2A,DLX1,SLBP,FEN1,ARHGAP8,HMGB3,MCM10,TYMS,ELAVL1,NCAPH,AURKB,CLN6,SLC9A3R1,DNAJC21,TK1,BUB1,DLGAP5,KPNA1,TPD52,PLK4,WDHD1,STIL,RRM1,CNOT7,DBF4,PITPNM1,TLX2,KIFC1,PRC1,GRWD1,UBE2T,TYRO3,MCM4,TAF6,DNA2,GRSF1,THOP1,SSX2IP,DCTPP1,EZH2	7.674110665433585e-06	0	0
6	VEGF A UP.V1 DN	2.6578274126817994e-06	2.532819074333801	32.51633515417581	RIF1,MRPL19,TWF1,MT1X,TTK,HMMR,SMC4,CENPA,LRP8,CCNB1,CDC45,EXO1,MEST,BUB1,DLGAP5,TMPO,PLK4,SLC30A9,SERPINB2,RFC4,RRM2,SPAG5,CACNA2D1,PHKA1,KIF23,VRK1,KIF22,UCHL3,NDC80,NUDT21,EIF2S3,DBF4,CCNE1,CCDC86,BIRC5,MCM4,ATP13A3,CDKN3	8.283562102858276e-05	0	0
7	PRC2 EZH2 UP.V1 UP	8.71304411743023e-06	2.4175550585868235	28.166182928968187	HJURP,MCM10,TTK,HMMR,THBS2,NPAS1,NCAPH,AURKB,KIF15,HOXA10,CDC45,RAD54L,KNTC1,ECT2,LGALS7,PITX1,BUB1,DLGAP5,PSPH,CDT1,HELLS,RFC4,PILRB,SULF1,PUS7,TPD52L1,WDR76,CDC25A,CENPF,DEPDC1,TACC3,DNA2,THOP1,LRP12,EZH2,MCM2,NUP37	0.0002327627499942076	0	0
8	GCNP SHH UP LATE.V1 UP	1.2603657521720139e-05	2.439957090156976	27.52643326777003	TOP2A,SRSF1,CDCA7,MCM10,SMC4,NPAS1,ELAVL2,AURKB,TM9SF3,UNG,PSMC3IP,SIX4,MYB,NUSAP1,TK1,DNM1L,DLGAP5,NAA30,RRM1,RRM2,IDH2,MBD2,CDC25A,SFRP1,FRMD6,PIK3CA,KIFC1,PRC1,PSME4,CDK1,MCM4,KIF2C,MCM5,THOP1,SSX2IP	0.00029461049457020825	0	0
9	P53 DN.V1 UP	1.9038014072902135e-05	2.350871609403255	25.551794752886057	YAP1,COL17A1,ITGB4,ADM,OLFML2A,PRDX2,UGT8,UCHL1,CALB1,PLAU,PRSS2,PITX1,MEST,SUN1,AUTS2,CDKN2A,THOC1,LSR,SULF1,KLK10,TUBA4A,NDC80,MTAP,KRT19,KRT18,KLF5,IFI27,PTK7,LPCAT4,KRT15,RBP1,NMU,CDH13,CD9,CD24,DSC2	0.00039556762573696657	0	0
10	HOXA9 DN.V1 DN	2.1375752196464716e-05	2.335956873315364	25.1191360811023	ARHGAP11A,RNASEH2A,DLX5,ADM,ALOX12,MCM10,SLC1A5,COCH,EXOSC5,CDC45,ZIC1,SPP1,PLK4,FANCI,CDT1,HELLS,SREBF1,TIPIN,HMGCS1,FZD6,GINS4,IGFBP2,NME4,STAM,TEX15,MEX3D,FANCG,TBL1XR1,TMEM106C,ALDOC,MVD,DHCR7,BCAT1,APOBEC3B,SLC29A2,TMEM45A	0.00039972656607389017	0	0
