Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Antigen processing and presentation	4.683201856997039e-06	11.877877018206801	145.75970663925858	NFYB,IFI30,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0006328784290199098	0	0
2	Asthma	6.114767430144056e-06	22.941380908248377	275.4067772146043	HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0006328784290199098	0	0
3	Allograft rejection	1.721115878883187e-05	18.068638189120115	198.21210480120237	HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0009429459925446125	0	0
4	Inflammatory bowel disease	1.9464578300256964e-05	12.184899845916796	132.16856367174654	HLA-DOA,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0009429459925446125	0	0
5	Tuberculosis	2.5286079023861312e-05	6.386614684860299	67.6039549244601	CAMK2D,NFYB,HLA-DOA,TLR4,CTSD,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DPA1	0.0009429459925446125	0	0
6	Graft-versus-host disease	2.8374360630726097e-05	16.11201563008792	168.69320024838453	HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0009429459925446125	0	0
7	Type I diabetes mellitus	3.188706254981781e-05	15.68722257450856	162.41468138268255	HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0009429459925446125	0	0
8	Leishmaniasis	5.134150282848989e-05	10.11933418693982	99.94877619902738	HLA-DOA,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0012603858690691482	0	0
9	Intestinal immune network for IgA production	5.47993856117021e-05	13.859624544690389	135.9883017327008	HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0012603858690691482	0	0
10	Autoimmune thyroid disease	8.872925128269564e-05	12.41277610441767	115.81021976599405	HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0018366955015517998	0	0
11	Th1 and Th2 cell differentiation	0.00013894772624357108	8.347991543340381	74.14195866144512	NOTCH2,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0025442047618609515	0	0
12	Rheumatoid arthritis	0.000147490131122374	8.251619644723093	72.79371975924818	HLA-DOA,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0025442047618609515	0	0
13	Viral myocarditis	0.00016092360893620063	10.829134720700985	94.58795204135467	HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.0025623990038302715	0	0
14	Aldosterone synthesis and secretion	0.00019664546778864564	7.801185770750988	66.57616272607021	NR4A2,NR4A1,CAMK2D,AGTR1,CACNA1D,PLCB2	0.0029075437023035463	0	0
15	Transcriptional misregulation in cancer	0.0002526475683574314	5.240064017071219	43.40614915268399	SPI1,HPGD,ID2,REL,PPARG,ERG,FLI1,RUNX1T1	0.003486536443332554	0	0
16	Cell adhesion molecules	0.0002873182062189567	5.959868534855561	48.60225244682386	CADM1,PTPRM,HLA-DOA,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.003644964926574816	0	0
17	Adrenergic signaling in cardiomyocytes	0.0003117693213660552	5.875916766160668	47.437727394127705	CAMK2D,TNNC1,AGTR1,CACNA1D,ADRB2,PLCB2,SLC8A1	0.003644964926574816	0	0
18	Th17 cell differentiation	0.00031695347187607096	7.102790279027903	57.22544515216226	HLA-DOA,IL6ST,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.003644964926574816	0	0
