Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Parkinson disease	1.588662214186258e-09	3.3651500484027106	68.17919703107417	COX7B,NDUFA13,PSMD12,PSMD11,NDUFA12,NDUFB5,NDUFA10,COX7A2,COX5A,GNAI1,ATP5MC1,PSMD8,TUBA1C,UCHL1,TUBA3D,KLC3,ATP5F1B,PSMD4,PSMD2,COX8A,NDUFA9,TUBB,SEPTIN5,NDUFA1,NDUFC2,SDHC,SDHA,SEM1,PSMA4,PSMC6,NDUFS8,PSMA1,PSMA2,NDUFS6,DDIT3,VDAC3,CALM1,NFE2L2,SLC25A6	4.654780287565736e-07	0	0
2	Huntington disease	7.008404885832969e-09	2.965687089610423	55.68420258218484	COX7B,NDUFA13,PSMD12,PSMD11,NDUFA12,HDAC1,NDUFB5,CLTC,NDUFA10,CACNA1B,COX7A2,COX5A,ATP5MC1,PSMD8,TUBA1C,TUBA3D,KLC3,ATP5F1B,PSMD4,PSMD2,POLR2I,AP2M1,COX8A,NDUFA9,GPX2,DNAH17,TUBB,NDUFA1,NDUFC2,SDHC,SDHA,ATG13,SOD1,SEM1,PSMA4,PSMC6,NDUFS8,PSMA1,PSMA2,NDUFS6,VDAC3,HAP1,SLC25A6	1.02673131577453e-06	0	0
3	Prion disease	2.2177179018963587e-08	3.016134236850597	53.15695919689787	RYR1,COX7B,NDUFA13,PSMD12,PSMD11,NDUFA12,NDUFB5,NDUFA10,CACNA1B,COX7A2,COX5A,ATP5MC1,PSMD8,TUBA1C,STIP1,TUBA3D,KLC3,ATP5F1B,PSMD4,PSMD2,COX8A,NDUFA9,CSNK2A1,TUBB,NDUFA1,NDUFC2,SDHC,SDHA,SOD1,SEM1,PSMA4,PSMC6,NDUFS8,PSMA1,PSMA2,NDUFS6,DDIT3,VDAC3,SLC25A6	2.1659711508521103e-06	0	0
4	Alzheimer disease	3.2989036465542036e-08	2.6495440084835633	45.64393457419398	COX7B,NDUFA13,PSMD12,PSMD11,NDUFA12,NDUFB5,NDUFA10,ATP2A2,COX7A2,ATP2A1,FZD10,IDE,COX5A,ATP5MC1,PSMD8,TUBA1C,TUBA3D,KLC3,ATP5F1B,PSMD4,PSMD2,HRAS,COX8A,NDUFA9,CSNK2A1,WNT5B,TUBB,WNT7B,FZD6,WNT5A,NDUFA1,NDUFC2,SDHC,SDHA,ATG13,SEM1,PSMA4,PSMC6,NDUFS8,PSMA1,PSMA2,NDUFS6,DDIT3,VDAC3,CALM1,GAPDH,SLC25A6	2.1760068181483802e-06	0	0
5	Cell cycle	3.713322215270273e-08	4.31175572519084	73.76876711447734	SMAD4,CDKN2C,MCM7,PRKDC,HDAC1,CDKN2A,PLK1,TTK,PKMYT1,SMC1A,YWHAZ,GADD45G,CCNB1,WEE1,DBF4,CDC45,PTTG1,CCNE2,ESPL1,CDK4,MDM2,MCM4,BUB1,MCM2	2.1760068181483802e-06	0	0
6	Pathways of neurodegeneration	1.5260238532818554e-07	2.3318462450242428	36.59932971234599	RYR1,COX7B,NDUFA13,NDUFA12,NDUFA10,ATP2A2,ATP2A1,FZD10,PSMD8,TUBA1C,UCHL1,PSMD4,PSMD2,HRAS,COX8A,GPX2,CSNK2A1,WNT5B,TUBB,WNT5A,NDUFC2,SDHC,SDHA,ATG13,PSMA4,NDUFS8,PSMA1,PSMA2,NDUFS6,DDIT3,VDAC3,HAP1,SLC25A6,PSMD12,PSMD11,NDUFB5,CACNA1B,COX7A2,COX5A,ATP5MC1,TUBA3D,KLC3,ATP5F1B,NDUFA9,DNAH17,WNT7B,FZD6,SEPTIN5,NDUFA1,SOD1,SEM1,PSMC6,CALM1,TARDBP	7.45208315019306e-06	0	0
7	Amyotrophic lateral sclerosis	4.0168633735146514e-07	2.488910505836576	36.6556641994517	COX7B,NDUFA13,PSMD12,PSMD11,NDUFA12,NDUFB5,NDUFA10,COX7A2,COX5A,ATP5MC1,PSMD8,TUBA1C,TUBA3D,KLC3,ATP5F1B,PSMD4,PSMD2,HNRNPA1,RAE1,COX8A,NDUFA9,GPX2,DNAH17,TUBB,ALYREF,NDUFA1,CHCHD10,NDUFC2,SDHC,SDHA,ATG13,SOD1,NUP93,SEM1,PSMA4,PSMC6,NDUFS8,PSMA1,PSMA2,NDUFS6,DDIT3,HAP1,TARDBP,NUP37	1.6813442406282754e-05	0	0
8	DNA replication	1.7337856390341373e-06	7.839132893496701	103.98769160233468	FEN1,POLA2,RNASEH2A,RNASEH1,RFC4,MCM7,RFC2,RPA3,POLD2,MCM4,MCM2	6.349989902962528e-05	0	0
9	Metabolism of xenobiotics by cytochrome P450	2.1476263572046387e-06	4.764646464646464	62.184103059833234	GSTM4,CBR1,GSTM3,GSTM2,UGT1A1,GSTP1,AKR1C1,ADH7,ALDH3A1,CYP2S1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,CBR3,UGT1A6	6.991716918455101e-05	0	0
10	Glutathione metabolism	7.56928213035457e-06	5.26852090308181	62.12330231573579	GSTM4,GSTM3,G6PD,GPX2,GSTM2,RRM1,RRM2,GSTP1,GSS,GSR,TXNDC12,PGD,GCLC	0.00022177996641938892	0	0
