Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	1.7961861189649339e-09	4.095034357578115	82.4641648731215	CPM,RBM47,LST1,ITGB2,TNFAIP2,PTPN22,ITGAL,HLA-DMA,SPTLC3,ANXA6,ITGAX,SH3BP5,FLVCR2,CTSH,ST3GAL6,PTGDS,VWF,SLC31A2,ANXA3,PDE4D,CRIM1,TM6SF1,DCN,PTPRE,TYROBP,CACNB4,CDC42EP3,ARHGEF3,MNDA,CD69	3.3049824588954785e-07	0	0
2	ERB2 UP.V1 UP	2.6039234419881284e-08	3.789539841590664	66.17924073188408	VIPR1,PARM1,SERPINA1,EPAS1,PAPSS2,DOCK10,SDCBP,MUC1,ANXA6,PDE4B,ITGB6,KCNN4,PCDH1,CADPS2,EDN1,IL1R1,LIMCH1,LMO3,PDE4D,RFTN1,KRT7,DUSP6,PNRC1,PTPRE,DAB2,MGAT4A,FGFR4,ABCG1	2.395609566629078e-06	0	0
3	KRAS.KIDNEY UP.V1 UP	1.0477329033226985e-07	4.143831587735276	66.59745245334194	GPM6A,MEF2C,RTN1,SYT1,PCDH9,LIMCH1,LMO3,PLCL1,SLC1A3,AQP4,ANK2,ATP1A2,SORBS1,DUSP6,DNM3,CA2,PECAM1,SPARCL1,NDN,ST3GAL6,A2M,ASPA,SCN1B	4.909070258929247e-06	0	0
4	EGFR UP.V1 UP	1.2355092988900613e-07	3.583419725413281	57.00006856026404	SGMS1,EPAS1,TFPI,PAPSS2,RND1,SOCS2,SDCBP,RNF19A,PDE4B,ITGB6,A2M,TNS3,CADPS2,EDN1,IL4R,PCDH9,IL1R1,FGG,FNDC3B,KRT7,DUSP6,PTPRE,CRISPLD2,IRF1,MGAT4A,SLCO2A1,MGLL	4.909070258929247e-06	0	0
5	CORDENONSI YAP CONSERVED SIGNATURE	1.333986483404687e-07	7.112070113748368	112.58352821619253	GADD45B,ITGB2,CRIM1,FGF2,THBS1,GLS,DAB2,PDLIM2,COL4A3,PMP22,AMOTL2,SLIT2,TNS1,TGM2	4.909070258929247e-06	0	0
6	ATF2 S UP.V1 DN	2.384346292378046e-07	3.5546706487473037	54.20577934660988	ITIH5,LAMA2,ADH1B,CELF2,SDC3,ITPR1,SLC1A3,C4BPA,PDLIM3,PLN,SVEP1,ST3GAL6,SLIT3,A2M,IL4R,IL1R1,PDE4DIP,ABCA8,FOS,SORBS1,SMAD6,SLC7A7,DES,WT1,SERPING1,CD302	7.3119952966260085e-06	0	0
7	MEK UP.V1 UP	6.044747744398131e-07	3.3648835143813622	48.18145039810692	PARM1,EPAS1,FHL1,ARRB1,SDCBP,ARHGDIB,TIMP2,FLVCR2,KCNN4,PCDH1,TNS3,CADPS2,MEF2C,EDN1,PRKCH,IL4R,CHKA,PCDH9,LIMCH1,GPX3,RFTN1,KRT7,PTPRE,PPARG,ABCG1,CCNJL	1.5889051213846515e-05	0	0
8	P53 DN.V2 UP	2.421002200066241e-06	3.6251932134349256	46.878566027327935	CD83,NTRK3,RORC,RFX2,C4BPA,FPR3,IKZF1,CXCL5,SYN1,POU6F1,HS3ST2,CLEC1A,CA3,CCL4,ME3,CD69,XAF1,PCDH1,CD68,APOL3,KCNK3	5.568305060152354e-05	0	0
9	ESC J1 UP LATE.V1 UP	1.36232155343204e-05	3.001922123015873	33.632740545135135	PDGFRA,PARM1,GADD45B,CITED2,GPX3,CRIM1,KRT7,PTPN21,LMO7,HNF1B,PTH1R,DAB2,P2RX4,COL4A2,PODXL,HNF4A,SLCO2A1,CA4,FLVCR2,CTSH,RGL3,PCDH1,CD55	0.0002482621998953271	0	0
10	P53 DN.V1 DN	1.484176195026412e-05	2.9840017532325223	33.17632723540676	GRAMD1B,IL1R1,TFPI2,FGG,ITGAL,RENBP,FBLN5,NCALD,GLS,SOCS3,NR4A1,NAV3,CA2,APOC1,PDE4B,CAPN3,ST3GAL5,NDN,FAS,ST3GAL6,VIM,MGLL,SLC19A2	0.0002482621998953271	0	0
