Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Focal adhesion	4.2765396815882355e-06	16.434095634095634	203.16431104009757	CAV1,COL4A2,LAMA4,MYLK,PIK3R1,TNXB	0.0005645032379696471	0	0
2	Small cell lung cancer	4.5100966545277806e-05	23.157342657342657	231.72642436966632	COL4A2,GADD45B,LAMA4,PIK3R1	0.002976663791988335	0	0
3	Transcriptional misregulation in cancer	0.0007580682126606341	10.785051827605018	77.48776291930619	ERG,GADD45B,MAF,MEIS1	0.029515489696115824	0	0
4	ECM-receptor interaction	0.0008944087786701765	17.534117647058824	123.07806733345828	COL4A2,LAMA4,TNXB	0.029515489696115824	0	0
5	Amoebiasis	0.00137050998311595	15.043939393939393	99.17825900331809	COL4A2,LAMA4,PIK3R1	0.03618146355426108	0	0
6	Leukocyte transendothelial migration	0.0018853406860438778	13.409459459459459	84.12621161107936	CDH5,CLDN5,PIK3R1	0.04147749509296531	0	0
7	FoxO signaling pathway	0.0027989345685764232	11.6185546875	68.2998648026715	GADD45B,PIK3R1,TNFSF10	0.046182420381510984	0	0
8	Natural killer cell mediated cytotoxicity	0.0027989345685764232	11.6185546875	68.2998648026715	ICAM2,PIK3R1,TNFSF10	0.046182420381510984	0	0
9	Fluid shear stress and atherosclerosis	0.003308495761949921	10.930698529411766	62.42807926923724	CAV1,CDH5,PIK3R1	0.046375293165168904	0	0
10	Apoptosis	0.0035132797852400685	10.6931654676259	60.4292730013482	GADD45B,PIK3R1,TNFSF10	0.046375293165168904	0	0
11	Cell adhesion molecules	0.00394577714372787	10.247586206896552	56.721510223368384	CDH5,CLDN5,ICAM2	0.04734932572473444	0	0
