Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RELA DN.V1 UP	2.7500400968768863e-06	8.558252895752895	109.57897202302529	EGR1,FOS,FOSB,GADD45B,JUNB,LMO7,PPP1R15A,PRKG1,ZFP36	0.0001227613023007546	0	0
2	ESC J1 UP LATE.V1 UP	2.7700591091874706e-06	7.3897846431390235	94.56442778850555	COL4A1,COL4A2,CRIM1,CRYAB,GADD45B,GPX3,LMO7,RAMP2,SGCE,SLCO2A1	0.0001227613023007546	0	0
3	TGFB UP.V1 UP	2.902783853179713e-06	7.348807654930104	93.69612423135175	CRYAB,EDN1,GADD45B,JUNB,KLF4,LMCD1,PLEKHA1,SLCO2A1,SMAD6,TBC1D2B	0.0001227613023007546	0	0
4	STK33 UP	3.5922550022556544e-06	5.761295864523254	72.22781311373775	CD36,CFL2,DOCK4,EGR1,EMP1,FABP4,FOS,GNG11,JUNB,PPP1R15A,ZEB2,ZFP36	0.0001227613023007546	0	0
5	STK33 NOMO UP	3.72003946365923e-06	5.74057226705796	71.76735020896291	A2M,CFL2,DOCK4,EMP1,EPAS1,FABP4,FOS,GNG11,JUNB,PPP1R15A,ZEB2,ZFP36	0.0001227613023007546	0	0
6	CORDENONSI YAP CONSERVED SIGNATURE	5.543582596699855e-06	15.420335021425789	186.6303037692293	AMOTL2,ASAP1,CRIM1,GADD45B,SLIT2,TNS1	0.000152448521409246	0	0
7	ESC V6.5 UP EARLY.V1 DN	8.881529842252578e-06	7.342065992372741	85.39951031037035	AHNAK,CAV1,COL4A1,COL4A2,EMP1,JUNB,KLF4,SOCS3,TUBB6	0.00020935034628166794	0	0
8	ATF2 S UP.V1 DN	1.7358380728857497e-05	6.718228059520194	73.64142105672855	A2M,ABCA8,ADH1B,DES,FOS,ITIH5,SLIT3,SMAD6,SVEP1	0.00035801660253268586	0	0
9	CRX DN.V1 DN	9.161782615138248e-05	7.244724409448819	67.36061221754251	COL4A2,EGR1,GNG11,JUNB,PPP1R14A,SOCS3,TUBB6	0.0016796601461086787	0	0
10	CAMP UP.V1 DN	0.000186268814593844	5.4952460850111855	47.19493014149896	DST,FOSB,MYH10,MYO15B,NDRG4,SVEP1,TJP1,ZFP36	0.0030734354407984258	0	0
11	CSR LATE UP.V1 DN	0.0003965751340451066	5.634355828220859	44.13190924087836	ACVRL1,APOL3,CLEC3B,PRKG1,SVEP1,TBC1D2B,TNXB	0.005948627010676599	0	0
12	ESC J1 UP EARLY.V1 DN	0.000540122813619452	5.337093023255814	40.15476156047568	CNN1,EDN1,EGR1,JUNB,KLF4,SOCS3,ZFP36	0.007426688687267464	0	0
13	ESC V6.5 UP LATE.V1 UP	0.0007687166494691726	5.013479052823315	35.95059604483386	COL4A1,COL4A2,GPX3,RAMP2,SGCE,SLIT3,TNNC1	0.007608810390065051	0	0
14	IL15 UP.V1 UP	0.0008174646065921299	4.958774774774775	35.253432138751315	ACVRL1,EGR1,FOS,GADD45B,HEG1,JUNB,SOCS2	0.007608810390065051	0	0
15	IL2 UP.V1 UP	0.0008174646065921299	4.958774774774775	35.253432138751315	CLDN5,EGR1,FOS,GADD45B,HEG1,JUNB,SOCS2	0.007608810390065051	0	0
16	E2F1 UP.V1 DN	0.0008427378909101593	4.931863799283154	34.911946606486026	ALDH1A1,LAMA4,NDRG4,RUNX1T1,SASH1,TCF4,TNXB	0.007608810390065051	0	0
17	EGFR UP.V1 UP	0.0008427378909101593	4.931863799283154	34.911946606486026	A2M,EDN1,EPAS1,JUNB,KLF4,SLCO2A1,SOCS2	0.007608810390065051	0	0
18	CYCLIN D1 KE .V1 DN	0.0008686245498781463	4.90524064171123	34.57507710013477	A2M,ADH1B,ALDH1A1,CAV1,EML1,PIP4K2A,RAPGEF5	0.007608810390065051	0	0
19	LEF1 UP.V1 UP	0.0008951350745687556	4.878900709219858	34.24273992544489	ARHGAP4,EMP1,FHL1,GNG11,GZMB,HBA2,RAMP2	0.007608810390065051	0	0
20	RAF UP.V1 UP	0.0009222800472806123	4.852839506172839	33.914853309684304	CRIM1,EPAS1,GJA5,HEG1,SGCE,SOCS2,TBC1D2B	0.007608810390065051	0	0
21	BMI1 DN.V1 DN	0.0009728360196503163	5.673769075727037	39.34926241925958	CES1,EGR1,FOS,GPX3,NDRG2,SOCS2	0.007643711582966771	0	0
22	MEL18 DN.V1 DN	0.001120921765915715	5.5128252961477475	37.45195158009283	A2M,DMD,EGR1,FOS,NDRG2,SOCS2	0.008406913244367861	0	0
23	KRAS.600.LUNG.BREAST UP.V1 UP	0.0020190092764019816	3.751294343240652	23.277337885977428	A2M,CLDN5,DOCK4,GNG11,HIC1,PPP1R15A,SEMA3B,SLIT2	0.01448419698288378	0	0
24	STK33 SKM UP	0.002107632915916408	3.724308629634918	22.949896657135504	CD36,CFL2,EGR1,FABP4,FOS,GNG11,JUNB,ZFP36	0.014489976296925305	0	0
25	GCNP SHH UP EARLY.V1 DN	0.0022012431923872037	4.797464754398082	29.35440586479629	AMOTL2,CNN1,EGR1,EMP1,PHLDB2,SLC6A4	0.014528205069755544	0	0
26	GCNP SHH UP LATE.V1 DN	0.003012562399640545	4.491664763644668	26.07395345143009	ADRB2,AGER,AMOTL2,CNN1,EDN1,TNNC1	0.019118184459257302	0	0
