Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	2.9388695941553703e-08	5.395253493474997	93.56802390436118	ADH4,ADH7,AKR1C1,ALDH3A1,CBR1,CBR3,CYP2S1,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,MGST1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	8.904774870290772e-06	0	0
2	Drug metabolism	8.072893558863451e-07	3.8645513605121926	54.218046680429616	ADH4,ADH7,ALDH3A1,CYP2C19,FMO1,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,MGST1,RRM1,RRM2,UCK2,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1,UMPS	0.00012230433741678128	0	0
3	Glutathione metabolism	1.5634747174820048e-06	5.377559236254888	71.8904374950627	G6PD,GCLC,GGCT,GPX2,GSR,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,MGST1,PGD,RRM1,RRM2,TXNDC12	0.00015791094646568248	0	0
4	Steroid hormone biosynthesis	3.942580879608709e-06	4.908895190086116	61.084696371760316	AKR1C1,AKR1C2,AKR1C3,CYP19A1,DHRS11,HSD17B1,HSD17B2,SRD5A1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.0002986505016303597	0	0
5	DNA replication	8.064631080273538e-06	6.609887640449438	77.52091156941003	DNA2,FEN1,MCM2,MCM3,MCM4,MCM5,MCM7,POLD2,RFC4,RNASEH2A,RPA3	0.0004449109484441359	0	0
6	Cell cycle	8.810117790972989e-06	3.2555529094228786	37.89336537952157	BUB1,BUB1B,CCNB1,CCNE1,CCNE2,CDC45,CDK4,CDKN2A,DBF4,ESPL1,GADD45G,MCM2,MCM3,MCM4,MCM5,MCM7,PKMYT1,PLK1,PTTG1,RB1,TTK,YWHAZ	0.0004449109484441359	0	0
7	Fanconi anemia pathway	2.2066834405664993e-05	4.766802603717355	51.10696323563005	BLM,BRCA1,BRIP1,FAAP24,FANCA,FANCD2,FANCG,FANCI,PALB2,PMS2,RAD51,RPA3,UBE2T	0.0009551786892737846	0	0
8	Pentose and glucuronate interconversions	0.00018604718505092036	5.399423076923077	46.37839977343699	SORD,UGDH,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.007046537133803609	0	0
9	Glycolysis / Gluconeogenesis	0.00023590799585715923	3.6167232344885076	30.20712084019321	ADH4,ADH7,ALDH3A1,ALDOA,DLD,GAPDH,GPI,HK2,PDHA1,PGAM1,PGM2,PKM,TPI1	0.00794223586052436	0	0
10	Ascorbate and aldarate metabolism	0.0004010339100800687	5.450469466482277	42.630653824368814	UGDH,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.011046661341296438	0	0
11	Pentose phosphate pathway	0.0004010339100800687	5.450469466482277	42.630653824368814	ALDOA,G6PD,GPI,PGD,PGM2,PRPS1,TALDO1,TKT	0.011046661341296438	0	0
12	Homologous recombination	0.000835213194758313	4.2167217548076925	29.887379726483818	BLM,BRCA1,BRIP1,PALB2,POLD2,RAD51,RBBP8,RPA3,TOPBP1	0.020106083538000495	0	0
13	Hepatocellular carcinoma	0.0008626372475049718	2.269058843103544	16.00938163996167	CDK4,CDKN2A,DPF1,EGFR,FZD10,FZD6,GADD45G,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,HRAS,KEAP1,MGST1,NQO1,RB1,TGFA,TXNRD1,WNT5A,WNT5B,WNT7B	0.020106083538000495	0	0
14	Retinol metabolism	0.000989856039797082	3.216351118760757	22.250559566250423	ADH4,ADH7,CYP2S1,PNPLA4,RDH10,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.02142331286132256	0	0
15	RNA transport	0.0014623612578979343	2.124568712650764	13.868553240066326	CLNS1A,EEF1A2,EIF2B5,EIF2S3,EIF4G1,EIF5B,FXR1,MAGOHB,NUP37,PABPC1,POP4,RAE1,RAN,RANGAP1,RPP38,SAP18,SENP2,STRAP,SUMO2,TACC3,THOC1,THOC3,THOC5	0.02953969740953827	0	0
16	p53 signaling pathway	0.0018723191666854754	2.9519257357298043	18.539798122625786	CCNB1,CCNE1,CCNE2,CDK4,CDKN2A,COP1,GADD45G,IGFBP3,RRM2,SESN3,SIAH1,TNFRSF10A	0.03545704421910619	0	0
