Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Malaria	3.6372812677323307e-11	11.785593610812471	283.2926651416269	ACKR1,CCL2,CD36,CSF3,GYPA,HBB,HGF,IL6,ITGB2,KLRC4-KLRK1,PECAM1,SELP,THBS1,TLR2,TLR4,TNF	1.0366251613037143e-08	0	0
2	Hematopoietic cell lineage	1.8940498872991247e-10	6.7714545638330135	151.59345795890945	CD33,CD34,CD36,CD55,CSF1R,CSF3,EPOR,GYPA,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL1R1,IL6,IL7,ITGA1,MME,TNF	2.6990210894012527e-08	0	0
3	Inflammatory bowel disease	2.7651038706754955e-09	8.171364629402674	161.02644463269468	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL12RB2,IL18R1,IL6,NFATC1,RORC,STAT4,TLR2,TLR4,TNF	2.6268486771417206e-07	0	0
4	Hypertrophic cardiomyopathy	6.314103848812713e-08	5.828006088280061	96.61607244631647	ACE,CACNA1D,CACNA2D2,CACNA2D4,CACNB4,DES,EDN1,IL6,ITGA1,ITGA9,LAMA2,LMNA,SGCA,SLC8A1,TNF,TNNC1,TTN	4.140321902393278e-06	0	0
5	Cell adhesion molecules	7.263722635777681e-08	4.386215538847118	72.09968240776686	CADM1,CD226,CD34,CDH5,CLDN5,ESAM,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ICAM2,ITGA9,ITGB2,JAM2,NCAM2,PECAM1,PTPRM,SELP,SELPLG	4.140321902393278e-06	0	0
6	Rheumatoid arthritis	1.044372287818695e-07	5.597076023391812	89.97120392698754	ANGPT1,CCL2,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,ITGB2,TEK,TLR2,TLR4,TNF,TNFSF13	4.960768367138802e-06	0	0
7	Staphylococcus aureus infection	1.4432962909156686e-07	5.452991452991453	85.89097391310152	C1QB,C2,CAMP,DEFA3,FCGR2A,FGG,FPR3,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ITGB2,SELP,SELPLG	5.7611441331405165e-06	0	0
8	Complement and coagulation cascades	1.617163265442952e-07	5.796798728573051	90.64698859001571	A2M,C1QB,C2,C4BPA,C8B,CD55,F10,F11,FGG,ITGAX,ITGB2,SERPINA1,SERPING1,TFPI,VSIG4,VWF	5.7611441331405165e-06	0	0
9	ECM-receptor interaction	2.6671488341210696e-07	5.554395126196693	84.07735448977071	CD36,CD47,COL4A1,COL4A2,COL4A3,COL6A1,COL6A5,HSPG2,ITGA1,ITGA9,LAMA2,LAMA4,NPNT,THBS1,TNXB,VWF	8.445971308050054e-06	0	0
10	Graft-versus-host disease	4.2946498843011277e-07	8.830467344462575	129.46105879722148	FASLG,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,KIR2DL1,TNF	1.2239752170258215e-05	0	0
11	PPAR signaling pathway	8.967040337615466e-07	5.820572916666666	81.04880028781365	ACOX2,APOA2,CD36,CYP27A1,FABP1,FABP3,FABP4,LPL,ME3,OLR1,PLIN2,PPARG,RXRG,SORBS1	2.3232786329276436e-05	0	0
12	Asthma	1.8946941206038581e-06	10.159002704927673	133.8596231555072	FCER1G,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,TNF	4.4998985364341633e-05	0	0
13	Viral myocarditis	2.9191866620972034e-06	6.224025974025974	79.32026618016613	CAV1,CD55,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ITGB2,LAMA2,SGCA	6.399755374597715e-05	0	0
14	PI3K-Akt signaling pathway	3.8952797032308e-06	2.5937012589995385	32.30648167081549	ANGPT1,CCND3,CHRM1,COL4A1,COL4A2,COL4A3,COL6A1,COL6A5,CREB3L1,CSF1R,CSF3,EPOR,FASLG,FGF2,FGFR4,FLT4,GNG11,HGF,IL6,IL7,ITGA1,ITGA9,LAMA2,LAMA4,MAGI1,PDGFRA,PIK3R1,TEK,THBS1,TLR2,TLR4,TNXB,VWF	7.929676538719843e-05	0	0
15	Dilated cardiomyopathy	4.570735172796553e-06	4.620454874692163	56.81235767948135	ADCY4,CACNA1D,CACNA2D2,CACNA2D4,CACNB4,DES,ITGA1,ITGA9,LAMA2,LMNA,SGCA,SLC8A1,TNF,TNNC1,TTN	8.684396828313452e-05	0	0
16	Leishmaniasis	8.217010424100103e-06	5.059370936280884	59.24171290030459	FCGR2A,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ITGB2,TLR2,TLR4,TNF	0.0001463654981792831	0	0
17	Allograft rejection	1.1982242031544883e-05	7.704019271088906	87.30259994977446	FASLG,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,TNF	0.00020087876347001717	0	0
18	Intestinal immune network for IgA production	1.3381863636534074e-05	6.538041996182165	73.36735893363225	CCR10,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,TNFSF13	0.00020980023033415044	0	0
19	MAPK signaling pathway	1.3986682022276696e-05	2.645818791009354	29.573388091726805	ANGPT1,ARRB1,CACNA1D,CACNA1H,CACNA2D2,CACNA2D4,CACNB4,CSF1R,DUSP6,FASLG,FGF2,FGFR4,FLT4,FOS,GADD45B,HGF,IL1R1,MAP3K3,MAP3K8,MEF2C,MRAS,NFATC1,PDGFRA,PTPN5,RASGRF2,RPS6KA2,TEK,TNF	0.00020980023033415044	0	0
20	Type I diabetes mellitus	3.4792108022729225e-05	6.569363062171829	67.44186937436851	FASLG,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,TNF	0.0004944568312921229	0	0
21	Osteoclast differentiation	3.6433661253103795e-05	3.595511961047209	36.746194986993835	CALCR,CSF1R,FCGR2A,FOS,FOSB,GAB2,IL1R1,MITF,NFATC1,PIK3R1,PPARG,SIRPB1,SOCS3,SPI1,TNF,TYROBP	0.0004944568312921229	0	0
22	Arrhythmogenic right ventricular cardiomyopathy	4.172564651205633e-05	4.592127872127872	46.30882948836521	ACTN2,CACNA1D,CACNA2D2,CACNA2D4,CACNB4,DES,ITGA1,ITGA9,LAMA2,LMNA,SGCA,SLC8A1	0.0005270524553652582	0	0
23	Amoebiasis	4.25340578014068e-05	3.962772253787879	39.88611685787145	C8B,COL4A1,COL4A2,COL4A3,IL1R1,IL6,ITGB2,LAMA2,LAMA4,PIK3R1,SERPINB6,TLR2,TLR4,TNF	0.0005270524553652582	0	0
24	Transcriptional misregulation in cancer	6.702417974475131e-05	2.9063663553683696	27.931509209929676	AFF1,CSF1R,DEFA3,DUSP6,ERG,ETV1,FLI1,GADD45B,HPGD,ID2,IL6,JMJD1C,MEF2C,MITF,NFKBIZ,PPARG,PTCRA,RUNX1T1,RXRG,SPI1	0.0007959121344689219	0	0
25	Th17 cell differentiation	7.267288867359005e-05	3.7487399193548385	35.72377512171368	FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL1R1,IL6,IL6ST,NFATC1,RORC,RXRG	0.0008284709308789266	0	0
