Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	8.299516702329911e-09	4.129488260084287	76.83767114202557	AIF1,CACNB4,CCL2,CD300A,CD69,CPM,CTSH,DCN,ENPP2,HCK,HLA-DMA,HLA-DQB1,ITGAX,ITGB2,MNDA,MS4A6A,PILRA,PTGDS,PTPN22,PTPRE,SH3BP5,SLC31A2,SPTLC3,ST3GAL6,TM6SF1,TYROBP,VWF	1.5188115565263738e-06	0	0
2	ESC J1 UP LATE.V1 UP	3.092917247042014e-08	3.9712842712842713	68.66972410361227	APOA2,CA4,CD55,CHST15,CITED2,COL4A1,COL4A2,CTSH,DAB2,GADD45B,GKN2,GPX3,HLA-DRB1,HNF1B,HNF4A,ID2,LMO7,PARM1,PDGFRA,PODXL,PTH1R,PTPN21,RAMP2,RGL3,SLCO2A1,TGFBR3	1.9319701813856643e-06	0	0
3	KRAS.600 UP.V1 UP	3.1671642317797774e-08	3.289488346666947	56.80237200655057	A2M,ACOX2,ALPI,CCNJL,CSF3,CTNND2,DNM3,DOCK4,DUSP6,ETV1,FABP3,FLT4,GNG11,HPN,HSD11B1,ITGB2,KCNK3,LAPTM5,LIMCH1,MGAT4A,NAV3,NRP1,NTRK3,PCDH9,RNASE1,RTN1,SCN1B,SLCO4A1,ST3GAL6,SYT1,TFPI,TGM2,TLR4	1.9319701813856643e-06	0	0
4	KRAS.KIDNEY UP.V1 UP	9.638672086221172e-07	4.009028871391076	55.53431995511101	A2M,ANK2,AQP4,ASPA,DNM3,DUSP6,EPB41L3,ETV1,GPM6A,LIMCH1,MEF2C,PCDH9,PECAM1,RTN1,SCN1B,SORBS1,SPARCL1,ST3GAL6,SYT1,TMEM100	4.409692479446186e-05	0	0
5	CORDENONSI YAP CONSERVED SIGNATURE	1.643083283894339e-06	6.64	88.43773523958049	AMOTL2,COL4A3,DAB2,FGF2,GADD45B,ITGB2,PDLIM2,PMP22,SLIT2,TGM2,THBS1,TNS1	6.0136848190532805e-05	0	0
6	CSR LATE UP.V1 DN	1.1449676096796158e-05	3.3364829396325457	37.96099852321328	ACVRL1,ALPI,ANKRD29,APOL3,BTBD19,CCL2,CLEC3B,DAAM2,MME,MRGPRF,NTN4,PDE5A,PRKG1,SCML1,SFTPB,SGIP1,SVEP1,TBC1D2B,TNXB,VAMP5	0.0003492151209522828	0	0
7	BMI1 DN MEL18 DN.V1 DN	1.7961739835822115e-05	3.486363082917326	38.09641896544003	A2M,ACOX2,AK1,CTSH,ERCC4,FOS,GPX3,ID2,IL1R1,PDE4B,PDE5A,PDE7B,PENK,PPARGC1A,SEMA3E,SLC4A4,SOCS2,UNC5C	0.00046957119856506387	0	0
8	TGFB UP.V1 UP	2.1455765615232416e-05	3.0737257071720037	33.04106722041697	CDK17,CSF1R,EDN1,FLT4,GADD45B,HRH1,HS3ST2,JAM2,JMJD1C,KDM6B,LMCD1,LTBP2,PHLDB1,PLEKHA1,PMP22,RGS12,RNASE4,SLCO2A1,SMAD6,TBC1D2B,TRIB1	0.0004908006384484416	0	0
9	KRAS.BREAST UP.V1 DN	5.3354625949082515e-05	3.314236111111111	32.60727727512496	APOL3,CYP21A2,DPEP2,EGFL7,GJA4,IL18R1,KCNQ3,LAIR1,MAML3,NDNF,P2RX7,PAQR6,SCN7A,SELENBP1,SERPING1,SLC8A1,TSPAN12	0.0009687604131021414	0	0
10	ESC V6.5 UP LATE.V1 UP	5.7831907274963005e-05	2.94086768565694	28.69689837304867	CA4,CD55,CHST15,COL4A1,COL4A2,CTSH,DAB2,GPX3,HNF1B,HPN,LPIN2,PARM1,PODXL,PTH1R,RAMP2,RGL3,SH3RF1,SLIT3,TNNC1,ZNF521	0.0009687604131021414	0	0
11	KRAS.300 UP.V1 UP	5.8231500241112326e-05	3.2883720930232556	32.06519285874853	A2M,CSF3,DNM3,DOCK4,DUSP6,ETV1,FABP3,HPN,HSD11B1,ITGB2,NAV3,RNASE1,RTN1,SCN1B,ST3GAL6,SYT1,TFPI	0.0009687604131021414	0	0
12	CRX DN.V1 DN	7.038102779676154e-05	3.38097977607647	32.327531674554976	CADPS2,COL4A2,CTNNAL1,GLIPR2,GNG11,MAP3K8,PPP1R14A,RGL3,RNASE4,RXRG,SERPING1,SOCS3,STEAP4,TAGLN2,TECTA,TGM2	0.0010733106739006135	0	0
