Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	EGFR UP.V1 UP	5.852289055145901e-12	5.289614768142376	136.81159207895047	A2M,ACTG2,ARAP2,CADPS2,CCL2,COTL1,CRISPLD2,CSGALNACT1,DUSP6,EDN1,EPAS1,ETS2,IL1R1,JUNB,KRT7,MGAT4A,MGLL,PAPSS2,PCDH9,PLAGL1,PTPRE,RCAN1,RND1,RNF19A,SDCBP,SEL1L3,SLCO2A1,SOCS2,SOD2,TFPI	1.0768211861468458e-09	0	0
2	ESC J1 UP LATE.V1 UP	1.2294055905455632e-10	4.922192424966019	112.32108472162348	APOA2,ARAP2,CA4,CD55,CITED2,COL4A1,COL4A2,CRIM1,CTSH,DAB2,GADD45B,GPX3,HLA-DRB1,HNF1B,ID2,KRT7,LMO7,PARM1,PCDH1,PDGFRA,PODXL,PTH1R,RAMP2,RBP4,RGL3,SEL1L3,SHROOM3,SLCO2A1	8.542679656843196e-09	0	0
3	RPS14 DN.V1 UP	1.3928282049200864e-10	4.891923470132905	111.0198284690225	AIF1,ANXA6,CCL2,CD69,CPM,CRIM1,CTSH,DCN,ENPP2,F13A1,HCK,HLA-DMA,HLA-DQB1,ITGAL,ITGAX,ITGB2,LST1,MNDA,PDE4D,PTGDS,PTPN22,PTPRE,RBM47,SH3BP5,ST3GAL6,TNFAIP2,TYROBP,VWF	8.542679656843196e-09	0	0
4	LTE2 UP.V1 UP	2.5610338096837316e-09	4.528940662540954	89.59537565196999	ACTG2,ANXA6,C4ORF19,CD302,CSGALNACT1,DAB2,DIAPH2,DPYSL2,EDN1,EPAS1,FGFR4,GPX3,IL1R1,MGAT4A,NPC2,PCDH9,PLAGL1,PNRC1,PRKCH,PROS1,RCAN1,RFTN1,SASH1,SDCBP,SERPINA1,UNC13B	1.0557811260338686e-07	0	0
5	ERB2 UP.V1 UP	2.868970451178991e-09	4.501257349615559	88.53663789968891	ANXA6,CADPS2,CSGALNACT1,DAB2,DUSP6,EDN1,EPAS1,FGFR4,IL1R1,KRT7,LIMCH1,LMO3,MGAT4A,MUC1,NPC2,PAPSS2,PARM1,PCDH1,PDE4D,PNRC1,PTPRE,RFTN1,SDCBP,SERPINA1,SLC9A3R2,VIPR1	1.0557811260338686e-07	0	0
6	ATF2 S UP.V1 DN	8.399213216243468e-09	4.402402899670659	81.86324454742127	A2M,ABCA8,ADH1B,C4BPA,CCL2,CD302,CELF2,CSGALNACT1,DES,EFEMP1,FOS,IL1R1,ITIH5,LAMA2,NFIB,PDE4DIP,PLN,SERPINA3,SERPING1,SLC7A7,SLIT3,SMAD6,SORBS1,ST3GAL6,SVEP1	2.575758719647997e-07	0	0
7	KRAS.600 UP.V1 UP	8.86437661091654e-08	3.338416237248922	54.2113398713407	A2M,ATP1A2,CCNJL,CSF3,CXCL5,DOCK4,DUSP6,ETV1,GNG11,IL1RL1,ITGB2,KCNK3,LAPTM5,LIMCH1,LMO3,MGAT4A,NAV3,NRP1,NTRK3,PCDH9,PDE2A,RBP4,RNASE1,RTN1,SLCO4A1,ST3GAL6,TFPI,TGM2,TLR4,ZEB1	2.1190645794954305e-06	0	0
8	MEK UP.V1 UP	9.213324258675784e-08	3.972591362126246	64.35609931835373	ARHGDIB,ARRB1,CADPS2,CCNJL,COTL1,CSGALNACT1,EDN1,EPAS1,FHL1,GPX3,KRT7,LIMCH1,MEF2C,NEDD9,NPC2,PARM1,PCDH1,PCDH9,PPARG,PRKCH,PTPRE,RFTN1,SDCBP,TIMP2	2.1190645794954305e-06	0	0
9	ATF2 UP.V1 DN	1.5695185942082996e-07	3.9885115790236654	62.489313981265234	ABCA8,AFF1,CCL2,CD302,CD68,CELF2,CFH,CSGALNACT1,EFEMP1,FOS,IL1R1,ITIH5,LIMCH1,NFIB,PDE4DIP,PLN,RNASE4,SERPINA3,SLCO4A1,SLIT3,SMAD6,SOD2,SVEP1	3.208793570381412e-06	0	0
10	CORDENONSI YAP CONSERVED SIGNATURE	4.824711566685988e-07	7.508382066276803	109.20449688779729	AMOTL2,COL4A3,CRIM1,DAB2,GADD45B,ITGB2,PDLIM2,PMP22,SLIT2,TGM2,THBS1,TNS1	8.877469282702218e-06	0	0
