Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	5.652376483333875e-10	8.989547038327526	191.42139069783516	ADH7,AKR1C1,ALDH3A1,CBR1,CBR3,CYP2S1,GSTM1,GSTM2,GSTM3,GSTP1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9	1.5600559094001495e-07	0	0
2	Glycolysis / Gluconeogenesis	7.521140657097743e-09	8.877030922431866	166.04972825993295	ADH7,ALDH3A1,ALDOA,DLD,ENO1,GAPDH,GPI,HK2,LDHA,LDHB,PDHA1,PGAM1,PKM,TPI1	7.692086102306907e-07	0	0
3	Glutathione metabolism	8.36096315468142e-09	9.91641720497873	184.4423078047957	G6PD,GCLC,GGCT,GPX2,GSR,GSTM1,GSTM2,GSTM3,GSTP1,IDH2,ODC1,PGD,RRM2	7.692086102306907e-07	0	0
4	Central carbon metabolism in cancer	1.1408151787604362e-07	7.6496396971631855	122.28983727059676	FGFR2,G6PD,HK2,HRAS,IDH2,LDHA,LDHB,PDHA1,PGAM1,PIK3CA,PKM,SLC2A1,SLC7A5	7.87162473344701e-06	0	0
5	Steroid hormone biosynthesis	1.808935521791963e-07	8.203234234870418	127.35814077444488	AKR1C1,AKR1C2,AKR1C3,DHRS11,HSD17B1,SRD5A1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9	9.985324080291637e-06	0	0
6	Drug metabolism	6.506394431271267e-07	5.41851332398317	77.18840311740874	ADH7,ALDH3A1,GSTM1,GSTM2,GSTM3,GSTP1,NME2,RRM2,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UMPS	2.992941438384783e-05	0	0
7	Ascorbate and aldarate metabolism	2.1151442494060983e-05	10.120739801625774	108.93764389045378	UGDH,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9	0.0008339711611944045	0	0
8	Retinol metabolism	2.8834584792675986e-05	5.752675386444709	60.13809474100217	ADH7,CYP2S1,PNPLA4,RDH10,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9	0.00091472073916847	0	0
9	Chemical carcinogenesis	2.9827850190276193e-05	3.0747416486421533	32.0390171558261	AKR1C2,BIRC5,CACNA1B,CBR1,GSTM1,GSTM2,GSTM3,GSTP1,HRAS,JAG1,KLF5,KPNA1,KPNA2,PIK3CA,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9	0.00091472073916847	0	0
10	RNA transport	3.858965369689146e-05	3.3778101345560065	34.327084519215404	CLNS1A,EIF2B5,EIF4A2,EIF4G1,EIF5B,FXR1,MAGOHB,PABPC1,PRMT5,RAE1,RAN,SAP18,SENP2,STRAP,SUMO2,TACC3,THOC3	0.0010650744420342042	0	0
