Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	4.022804971491527e-14	3.978922776750873	122.72673721408492	ABCC2,AKR1C1,AKR1C3,ALDH3A1,BCAT1,CBR1,CBR3,CYP4F11,CYP4F3,DBF4,G6PD,GCLC,GPC1,GPX2,GSR,HJURP,IGFBP3,LRP8,MCM10,MTHFD2,NQO1,NRCAM,PANX2,PFN2,PGD,PHGDH,PNPLA4,PPIF,PTGR1,PTPRZ1,RPL22L1,RRM2,SPP1,STC2,TALDO1,TKT,TMEM237,TPD52L1,TRIM29,TSKU,TXNRD1,UCHL1,UGDH,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9	7.321505048114579e-12	0	0
2	CSR LATE UP.V1 UP	7.870578701069092e-09	4.973239436619719	92.80131551827617	ANLN,BIRC5,DCTPP1,DTYMK,EZH2,FAM83D,FANCA,FEN1,FOXM1,IGFBP3,IMP4,ITGA6,KIF22,NETO2,PBK,PRMT5,PSMD2,RRM2,TUBA4A,UBE2C,UHRF1,UMPS	7.162226617972874e-07	0	0
3	MEL18 DN.V1 UP	1.8595177282699355e-05	3.9925465838509315	43.48924604438316	ABCC5,ADAM12,ADM,CA12,CHST2,COL7A1,DDX11,FZD6,GREM1,JAG1,LAMB3,PTHLH,SLC7A5,SPP1,STC2	0.0008548943386499157	0	0
4	P53 DN.V1 UP	1.878888656373441e-05	3.439009853782581	37.42414779710063	ADM,ANXA1,CALB1,CD24,CDKN2A,COL17A1,DSC2,ITGB4,KLF5,KLK10,KRT15,KRT19,LSR,NDC80,PITX1,SULF1,TUBA4A,UCHL1	0.0008548943386499157	0	0
5	E2F1 UP.V1 UP	4.727022659964954e-05	3.318377369211413	33.04981053039036	BUB1,DBF4,DCTPP1,DNAJC21,EZH2,FEN1,GRSF1,HMGB3,KPNA1,MCM10,MCM4,NCAPH,PRC1,SLBP,SLC9A3R1,TOP2A,TYMS	0.0017206362482272432	0	0
6	VEGF A UP.V1 DN	6.150951372410412e-05	3.2422854196414406	31.438232746551915	BIRC5,BUB1,CCDC86,CCNB1,CDKN3,DBF4,EXO1,KIF22,KIF23,LRP8,MCM4,NDC80,NUDT21,RFC4,RRM2,SMC4,TWF1	0.0018657885829644915	0	0
7	GCNP SHH UP LATE.V1 DN	9.017549801083767e-05	3.2711821194867	30.466981652401746	BCL2L2,DLX5,ESRP1,GJB6,GRB7,KLK8,KPNA1,LSR,MDFI,MRPL3,PUS1,S100A11,SLC2A1,UBE2V2,VSNL1,WNK2	0.0023445629482817796	0	0
8	RPS14 DN.V1 DN	0.00014108670251639202	3.136133015465493	27.80538165704262	BCAT1,CDCA3,EXO1,KIF23,KRT13,MCM10,MYO19,NCAPH,NLE1,PBK,PES1,PLK1,PRC1,PYCR1,SLC6A8,TRIM29	0.0032097224822479186	0	0
9	RB DN.V1 DN	0.0003557130076547065	3.514114004735021	27.90693685075964	ADAM12,CTSC,DUSP14,IGFBP3,KRT8,LAMB3,LRRC4,NDRG1,RPS2,SLC7A5,STC2,TUBA4A	0.0071933074881285084	0	0
10	MTOR UP.V1 UP	0.0005324064679681004	2.999866452991453	22.613303277301217	BDH1,CCDC86,DBF4,GPX2,HELLS,HMGCS1,HSPE1,KCNE3,RRM2,SLC2A1,TMEM97,TMPRSS4,UBE2C,UHRF1	0.009689797717019426	0	0
