Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	MEL18 DN.V1 UP	9.528976277961196e-08	8.30401691331924	134.24558946062783	ABLIM3,ADM,CHST2,EDN1,GFPT2,IL7R,LTBP4,SLCO2A1,SLCO4A1,STC2,TGFBR3,VEGFA	1.6294549435313646e-05	0	0
2	ESC J1 UP LATE.V1 UP	8.174435482979858e-05	4.874570703299985	45.8790392940877	APP,CA4,COL4A1,CRYAB,GADD45B,GPC3,PHLDA1,PTPN21,SLCO2A1,TGFBR3	0.004866293440041003	0	0
3	TGFB UP.V1 UP	8.537356912352637e-05	4.8475398475398475	45.41405102619316	CRYAB,CYP26B1,EDN1,GADD45B,IL1RL1,JUNB,LMCD1,LTBP2,SLCO2A1,SSBP3	0.004866293440041003	0	0
4	BMI1 DN.V1 UP	0.0003248856801587761	5.043422404933196	40.508956325699884	EDN1,FES,GFPT2,IL7R,LTBP4,SLCO2A1,SLCO4A1,STC2	0.013888862826787678	0	0
5	IL21 UP.V1 UP	0.00043597905759741866	4.29557418600117	33.23879372135161	CDH5,FAM107A,FOSB,HEG1,NDRG4,NOS2,SPINT1,ST6GALNAC2,TRMU	0.01491048376983172	0	0
6	CTIP DN.V1 DN	0.0013103379364896636	4.558474295190713	30.25673732940535	ABI3BP,ANO1,CX3CL1,DDAH2,EDN1,EPB41L3,GZMB	0.031718839993382174	0	0
7	BMI1 DN MEL18 DN.V1 UP	0.0015395468022410346	4.425442834138487	28.660350228508314	ABLIM3,ADM,EDN1,GFPT2,IL7R,STC2,VEGFA	0.031718839993382174	0	0
8	ATF2 UP.V1 DN	0.00156708309501156	3.908419792498005	25.242682787470947	HMG20A,ITIH5,PER3,SERPINA3,SLCO4A1,SLIT3,ST6GALNAC2,SVEP1	0.031718839993382174	0	0
9	E2F1 UP.V1 DN	0.0019112040524485049	3.7805019305019303	23.666024657101268	IL1RL1,LAMA4,NDRG4,PHLDA1,SASH1,SERPINA3,TGM2,TNXB	0.031718839993382174	0	0
10	LEF1 UP.V1 UP	0.002038282627566019	3.739686783804431	23.169781726978638	ANO1,CHST2,FBXO17,GNG11,GZMB,LTBP2,STC2,TGM2	0.031718839993382174	0	0
11	KRAS.600.LUNG.BREAST UP.V1 UP	0.002040393215948561	3.158014129237151	19.56267454791789	ANO1,CHST2,CLDN5,DNAH9,GNG11,HSD11B1,IL1RL1,SAMD14,SLCO4A1,SLIT2	0.031718839993382174	0	0
