Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	3.164687046413493e-08	5.617682198327359	97.00965608721808	ADH7,AKR1C1,ALDH3A1,CBR1,CBR3,CYP2S1,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,MGST1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	9.335826786919804e-06	0	0
2	Drug metabolism	6.141719066175086e-07	4.0687797932272645	58.19572064055876	ADH7,ALDH3A1,CYP2C19,FMO1,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,MGST1,RRM1,RRM2,UCK2,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1,UMPS	9.059035622608253e-05	0	0
3	Cell cycle	1.703723795854472e-06	3.636048129943801	48.29651553135134	BUB1,BUB1B,BUB3,CCNB1,CCNE1,CDC6,CDK1,CDK4,CDKN2A,DBF4,E2F3,MCM3,MCM4,MCM5,ORC4,ORC6,PKMYT1,PLK1,PTTG1,TFDP1,WEE1,YWHAZ	0.00016753283992568973	0	0
4	Glutathione metabolism	2.566725736376574e-06	5.466630707632305	70.37127839147824	G6PD,GCLC,GGCT,GPX2,GSR,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,MGST1,PGD,RRM1,RRM2	0.00018929602305777234	0	0
5	Citrate cycle (TCA cycle)	3.522412583656081e-06	8.375555555555556	105.16652769213016	ACO2,DLD,IDH3A,MDH1,MDH2,PDHA1,PDHB,SDHA,SDHB,SDHC	0.00020782234243570878	0	0
6	Steroid hormone biosynthesis	6.070584811931553e-06	5.000322660238768	60.06415387722811	AKR1C1,AKR1C2,AKR1C3,CYP19A1,HSD17B1,HSD17B2,SRD5A1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.000298470419919968	0	0
7	DNA replication	2.1816425715252796e-05	6.44068376068376	69.12687594677426	DNA2,FEN1,MCM3,MCM4,MCM5,POLD2,RFC2,RFC4,RNASEH2A,RPA3	0.0009194065122856537	0	0
8	Homologous recombination	7.425554898010157e-05	5.400430107526882	51.34727892793641	BLM,BRIP1,NBN,PALB2,POLD2,RAD51,RAD54B,RAD54L,RBBP8,RPA3	0.0027381733686412456	0	0
9	Glycolysis / Gluconeogenesis	8.539023320331782e-05	4.036162276358355	37.81189360405956	ADH7,ALDH3A1,ALDOA,DLD,GAPDH,GPI,HK2,PDHA1,PDHB,PGAM1,PGM2,PKM,TPI1	0.002798902088330973	0	0
10	Central carbon metabolism in cancer	0.00013641058312192786	3.823122869562498	34.02518652925027	FGFR2,FGFR3,G6PD,HK2,HRAS,PDHA1,PDHB,PDK1,PGAM1,PIK3CA,PKM,SLC2A1,SLC7A5	0.004024112202096872	0	0
11	Fanconi anemia pathway	0.00018811529879983737	4.283745758503683	36.74792232679204	BLM,BRIP1,FAAP24,FANCA,FANCD2,FANCG,FANCI,PALB2,RAD51,RPA3,UBE2T	0.004913331296547339	0	0
12	Pentose phosphate pathway	0.00020009576662771952	6.079858030168589	51.780414878602514	ALDOA,G6PD,GPI,PGD,PGM2,PRPS1,TALDO1,TKT	0.004913331296547339	0	0
13	Hepatocellular carcinoma	0.00021651968425462847	2.5342958067176213	21.383954891509852	ACTL6A,CDK4,CDKN2A,DPF1,E2F3,FZD10,FZD6,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,HRAS,KEAP1,MGST1,NQO1,PIK3CA,TGFA,TXNRD1,WNT5A,WNT5B,WNT7B	0.004913331296547339	0	0
