Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	1.5621843923299022e-10	9.618833389825285	217.19100556374948	CD3E,CD55,CSF3,EPOR,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL1R1,IL4R,IL6,IL7,ITGA1,TNF	3.2540395739797745e-08	0	0
2	Malaria	2.5928602183105775e-10	15.633577614923384	345.08135527546574	ACKR1,CCL2,CSF3,HBA2,HBB,HGF,IL6,ITGB2,PECAM1,SELP,THBS1,TNF	3.2540395739797745e-08	0	0
3	Complement and coagulation cascades	1.6628122069439732e-08	8.945748730964468	160.23777629004886	A2M,C1QB,C2,C4BPA,CD55,F10,ITGAX,ITGB2,SERPINA1,SERPING1,TFPI,VSIG4,VWF	1.3912195464764576e-06	0	0
4	Rheumatoid arthritis	5.0426857805897305e-08	8.047874365482233	135.2263558939986	ANGPT1,CCL2,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,ITGB2,TNF,TNFSF13	3.164285327320056e-06	0	0
5	Th17 cell differentiation	2.7208794081309105e-07	6.844340641537963	103.46685918390408	CD3E,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL1R1,IL4R,IL6,IL6ST,STAT5A	1.1756021395185346e-05	0	0
6	Hypertrophic cardiomyopathy	2.810204317574186e-07	7.6007789678675755	114.65652289570106	ACE,CACNA1D,CACNA2D2,DES,EDN1,IL6,ITGA1,ITGA9,LMNA,TNF,TNNC1,TTN	1.1756021395185346e-05	0	0
7	ECM-receptor interaction	1.7009816706227332e-06	7.040404040404041	93.52687473857438	COL4A1,COL4A2,COL4A3,HSPG2,ITGA1,ITGA9,LAMA4,NPNT,THBS1,TNXB,VWF	5.547812070120456e-05	0	0
8	Graft-versus-host disease	1.7682269546200656e-06	11.534129441250185	152.77569483921621	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,TNF	5.547812070120456e-05	0	0
9	Cell adhesion molecules	2.0734434848274653e-06	5.173103945919259	67.69678920302125	CDH5,CLDN5,ESAM,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ICAM2,ITGA9,ITGB2,PECAM1,SELP	5.782603496574376e-05	0	0
10	Asthma	2.3668365928394216e-06	14.2690625	184.84081157284953	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,TNF	5.940759848026949e-05	0	0
11	Human T-cell leukemia virus 1 infection	2.70550063642771e-06	4.1843995938055345	53.64493836001716	CD3E,EGR1,ETS1,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL1R1,IL6,ITGB2,NRP1,SPI1,STAT5A,TNF	6.17346054312141e-05	0	0
12	Viral myocarditis	3.2354784323434463e-06	8.664794561040496	109.53455990755255	CAV1,CD55,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ITGB2	6.767542387651709e-05	0	0
13	Staphylococcus aureus infection	3.653903040273331e-06	6.451388888888889	80.7695478921017	C1QB,C2,FPR3,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ITGB2,SELP	7.054843562373892e-05	0	0
14	Intestinal immune network for IgA production	5.081407779906102e-06	9.801002506265664	119.47345815821237	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,TNFSF13	9.11023823397451e-05	0	0
15	AGE-RAGE signaling pathway in diabetic complications	6.05201741262473e-06	6.087390761548065	73.1407236986815	AGER,AGTR1,CCL2,COL4A1,COL4A2,COL4A3,EDN1,EGR1,IL6,STAT5A,TNF	0.00010034341370648375	0	0
16	Inflammatory bowel disease	6.39639290559259e-06	7.889133165829146	94.35226814024276	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL4R,IL6,TNF	0.00010034341370648375	0	0
17	Allograft rejection	1.004694460562091e-05	11.043064516129032	127.08625875201317	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,TNF	0.0001483401821182852	0	0
18	Th1 and Th2 cell differentiation	1.7803667467032107e-05	5.993426307059041	65.54474590312326	CD3E,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL4R,STAT5A	0.0002482622519013922	0	0
19	Pertussis	2.341054954631411e-05	6.590189754743869	70.26673708093601	C1QB,C2,C4BPA,FOS,IL6,ITGB2,SERPING1,SFTPA2,TNF	0.00029496313508357516	0	0
20	Type I diabetes mellitus	2.35030386520777e-05	9.506875	101.32789435616111	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,TNF	0.00029496313508357516	0	0
21	Leishmaniasis	2.6039072517523862e-05	6.492942654448714	68.53893361149585	FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ITGB2,TNF	0.00031122891437611853	0	0
22	JAK-STAT signaling pathway	2.8420543826958708e-05	4.3057268422307775	45.07406355597866	CSF3,EPOR,FHL1,IL4R,IL6,IL6ST,IL7,LIFR,PDGFRA,PIAS1,SOCS2,SOCS3,STAT5A	0.0003155370836011775	0	0
23	Antigen processing and presentation	2.8913756664649732e-05	6.398514310683854	66.87210840256667	CD74,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IFI30,TNF	0.0003155370836011775	0	0
24	PI3K-Akt signaling pathway	4.239067879282121e-05	2.979931609648919	30.003685944004193	ANGPT1,COL4A1,COL4A2,COL4A3,CSF3,EPOR,FGFR4,GNG11,HGF,IL4R,IL6,IL7,ITGA1,ITGA9,LAMA4,NR4A1,PDGFRA,THBS1,TNXB,VWF	0.00044333584904158855	0	0
25	Dilated cardiomyopathy	0.0001490737956728127	5.0700051984058225	44.67216614889918	CACNA1D,CACNA2D2,DES,ITGA1,ITGA9,LMNA,TNF,TNNC1,TTN	0.0014967009085550395	0	0
26	Influenza A	0.00021757684544498592	3.6898101265822785	31.116015513327937	CCL2,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,NXF1,SOCS3,TNF,TPSAB1	0.0021004533925650564	0	0
27	Amoebiasis	0.00023665713407262267	4.741449181390825	39.58587632716118	COL4A1,COL4A2,COL4A3,IL1R1,IL6,ITGB2,LAMA4,SERPINB6,TNF	0.002200034838971418	0	0
28	Focal adhesion	0.000254064553758887	3.4056728588400476	28.19189487755389	CAV1,COL4A1,COL4A2,COL4A3,HGF,ITGA1,ITGA9,LAMA4,MYLK,PDGFRA,THBS1,TNXB,VWF	0.0022775072497671655	0	0
29	Phagosome	0.00028850437794863943	3.8321513002364065	31.235099957135024	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ITGB2,MSR1,OLR1,SFTPA2,THBS1	0.0024970551332796033	0	0
30	Tuberculosis	0.0003305854257390674	3.5126582278481013	28.15271031070714	CD74,CTSD,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,ITGAX,ITGB2,TNF	0.0027658980620168644	0	0
31	Cytokine-cytokine receptor interaction	0.00038455158721848793	2.8327695734675356	22.275292643453152	ACVRL1,CCL2,CCL4,CCR1,CSF3,CXCL16,EPOR,IL1R1,IL4R,IL6,IL6ST,IL7,LIFR,TNF,TNFSF12,TNFSF13	0.0031136273674787253	0	0
32	Autoimmune thyroid disease	0.0007004731814364867	6.2225287844219235	45.19892132112981	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1	0.005494336516892443	0	0
33	African trypanosomiasis	0.000868129922668536	7.603000621890548	53.59483761381903	HBA2,HBB,IL6,LAMA4,TNF	0.0066030488057515924	0	0
34	Coronavirus disease	0.0009848912850607262	2.9189207982755025	20.207628245478052	ACE,AGTR1,C1QB,C2,CCL2,CSF3,FOS,IL6,IL6ST,NRP1,SELP,TNF,VWF	0.007270815075007126	0	0
35	Lysosome	0.001241501929184098	3.700561631687851	24.76206169771654	CD68,CTSD,CTSH,GGA2,LAMP3,LAPTM5,NAPSA,NPC2,SLC11A1	0.008903342406434532	0	0
36	Pathways in cancer	0.001381408936590641	2.142464215548695	14.107379850895704	AGTR1,COL4A1,COL4A2,COL4A3,DAPK2,EDN1,EPOR,ESR1,ETS1,FGFR4,FOS,GNG11,HGF,IL4R,IL6,IL6ST,IL7,LAMA4,PDGFRA,RUNX1T1,SPI1,STAT5A	0.009631490085673636	0	0
37	Vascular smooth muscle contraction	0.0016222088033516983	3.5504336197114603	22.80786698692724	AGTR1,CACNA1D,EDN1,MYH10,MYLK,PPP1R14A,PRKCH,PRKG1,PTGIR	0.011004713774088548	0	0
38	Systemic lupus erythematosus	0.0017984981217964366	3.4937185929648242	22.083108148447927	C1QB,C2,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,TNF	0.011879553383444885	0	0
39	Toxoplasmosis	0.002072095029070584	3.7572778099093886	23.216952602969737	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,LAMA4,TNF	0.013335791084531194	0	0
40	Fluid shear stress and atherosclerosis	0.002196990477052396	3.3855237727097025	20.721663024325753	ARHGEF2,CAV1,CCL2,CDH5,EDN1,FOS,IL1R1,PECAM1,TNF	0.013786115243503786	0	0
41	IL-17 signaling pathway	0.003078999469306369	3.9236206896551726	22.69088927649159	CCL2,CSF3,FOS,FOSB,IL6,JUND,TNF	0.01884948455599753	0	0
42	PPAR signaling pathway	0.003956811370505431	4.296244682411618	23.768186579882432	FABP1,FABP4,LPL,ME3,OLR1,SORBS1	0.023646658428496743	0	0
43	Osteoclast differentiation	0.004495840665657473	3.2811440365619933	17.733279611162555	FOS,FOSB,IL1R1,JUND,SOCS3,SPI1,TNF,TYROBP	0.026243162955349432	0	0
44	Arrhythmogenic right ventricular cardiomyopathy	0.004813822249341983	4.114080994696358	21.953821745550627	CACNA1D,CACNA2D2,DES,ITGA1,ITGA9,LMNA	0.02700061631510787	0	0
45	Chagas disease	0.004840747944939658	3.5917368421052633	19.14642142960786	ACE,C1QB,CCL2,CD3E,FOS,IL6,TNF	0.02700061631510787	0	0
46	Transcriptional misregulation in cancer	0.006107806981979827	2.6864948653361753	13.69625452241111	DUSP6,ERG,ETV1,FLI1,HPGD,IL6,JMJD1C,NFKBIZ,RUNX1T1,SPI1	0.033327381575585575	0	0
47	Insulin resistance	0.00659393162302432	3.3773267326732674	16.959602509466965	ACACB,GFPT2,IL6,PPARGC1A,RPS6KA2,SOCS3,TNF	0.03521440079530009	0	0
48	MAPK signaling pathway	0.00751078156531926	2.2676084325378905	11.09181559873657	ANGPT1,CACNA1D,CACNA2D2,DUSP6,FGFR4,FOS,HGF,IL1R1,JUND,NR4A1,PDGFRA,RPS6KA2,TNF	0.03927512860198197	0	0
49	Epstein-Barr virus infection	0.008605762385531842	2.5452613350125946	12.103540417133111	CD3E,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,TNF,VIM	0.04408257875037739	0	0
50	Histidine metabolism	0.009665602827505327	7.650078165711308	35.4901033647046	ALDH2,ALDH3B1,HDC	0.04852132619407674	0	0
