Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	5.289223180033333e-09	4.359323757913751	83.07822424905076	AIF1,AZU1,CACNB4,CCL2,CD300A,CD69,CPM,CTSH,DCN,ENPP2,FRY,HCK,HLA-DMA,HLA-DQB1,ITGB2,MNDA,PTGDS,PTPN22,PTPRE,SH3BP5,SLC31A2,SPTLC3,ST3GAL6,TRIM22,TYROBP,VWF	9.679278419461e-07	0	0
2	KRAS.600 UP.V1 UP	4.3795884945426835e-08	3.3790838068181817	57.25427006927134	A2M,ATP1A2,CCNJL,CSF3,CTNND2,DNM3,DOCK4,DUSP6,ETV1,GNG11,HPN,HSD11B1,ITGB2,KCNK3,LAPTM5,LIMCH1,MGAT4A,NAV3,NRP1,NTRK3,PCDH9,RNASE1,RTN1,SCN1B,SLCO4A1,ST3GAL6,SYT1,TFPI,TGM2,TLR4,ZEB1	4.0073234725065555e-06	0	0
3	ESC J1 UP LATE.V1 UP	3.529528454665082e-07	3.793452380952381	56.35906168366357	CA4,CD55,CITED2,COL4A1,COL4A2,CTSH,DAB2,GKN2,GPX3,HLA-DRB1,HNF1B,HNF4A,LMO7,MYL3,PARM1,PARVA,PDGFRA,PODXL,PTPN21,RAMP2,RGL3,SLCO2A1,TGFBR3	2.1530123573457e-05	0	0
4	KRAS.KIDNEY UP.V1 UP	1.0070157889156752e-06	4.163338822560725	57.489544338839984	A2M,ANK2,AQP4,ASPA,ATP1A2,DNM3,DUSP6,EPB41L3,ETV1,GPM6A,LIMCH1,PCDH9,PECAM1,RTN1,SCN1B,SORBS1,ST3GAL6,SYT1,WSCD1	4.607097234289214e-05	0	0
5	EGFR UP.V1 UP	1.6111461455086961e-06	3.559143879960393	47.473871064041134	A2M,CADPS2,CCL2,CRISPLD2,CTNNAL1,DUSP6,EDN1,EPAS1,FGG,IL1R1,IL4R,IRF1,MGAT4A,MGLL,PAPSS2,PCDH9,PTPRE,RND1,SDCBP,SLCO2A1,SOCS2,TFPI	5.896794892561828e-05	0	0
6	ATF2 S UP.V1 DN	1.2440319213471028e-05	3.3042140826571966	37.3196700177592	A2M,ABCA8,ADH1B,C4BPA,CCIN,CCL2,CELF2,DES,FOS,IL1R1,IL4R,ITIH5,LAMA2,SERPING1,SLIT3,SMAD6,SORBS1,ST3GAL6,SVEP1,TMEM176A	0.0003794297360108663	0	0
7	KRAS.300 UP.V1 UP	1.8281992712718482e-05	3.6274391873830525	39.5738887481044	A2M,ATP1A2,CSF3,DNM3,DOCK4,DUSP6,ETV1,HPN,HSD11B1,ITGB2,NAV3,RNASE1,RTN1,SCN1B,ST3GAL6,SYT1,TFPI	0.0004779435237753546	0	0
8	P53 DN.V2 UP	2.18608339347458e-05	3.5716855312801616	38.32709284211505	APOL3,C4BPA,CA3,CCL4,CD68,CD69,CD83,CLEC1A,CYP17A1,FPR3,HS3ST2,KCNK3,ME3,NCKAP1L,NTRK3,PKD2L1,RORC	0.0005000665762573102	0	0
9	CORDENONSI YAP CONSERVED SIGNATURE	2.95105120760989e-05	5.823068309070549	60.73905138405161	AMOTL2,COL4A3,DAB2,ITGB2,PDLIM2,PMP22,SLIT2,TGM2,THBS1,TNS1	0.0006000470788806776	0	0
10	LTE2 UP.V1 UP	5.189269950145722e-05	3.0605187319884726	30.196095255986023	ASRGL1,C4ORF19,DAB2,DEGS1,DIAPH2,DPYSL2,EDN1,EPAS1,FGFR4,GPX3,IL1R1,MGAT4A,PCDH9,PNRC1,PRKCH,SASH1,SDCBP,SERPINA1,UNC13B	0.0008425099147175544	0	0
11	ESC V6.5 UP LATE.V1 UP	5.189269950145722e-05	3.0605187319884726	30.196095255986023	CA4,CD55,COL4A1,COL4A2,CTSH,DAB2,GPX3,HNF1B,HPN,LPIN2,MYL3,PARM1,PODXL,RAMP2,RGL3,SH3RF1,SLIT3,TNNC1,ZNF521	0.0008425099147175544	0	0
12	ERB2 UP.V1 UP	5.574563759347167e-05	3.0425658467931105	29.801054385231115	ABCG1,CADPS2,DAB2,DUSP6,EDN1,EPAS1,FGFR4,IL1R1,LIMCH1,MGAT4A,MUC1,PAPSS2,PARM1,PNRC1,PTPRE,SDCBP,SERPINA1,VIPR1,VWA1	0.0008425099147175544	0	0
13	TGFB UP.V1 UP	5.9850431100154135e-05	3.024820509403475	29.412332011123862	ABCG1,CDK17,CSF1R,EDN1,HRH1,HS3ST2,JAM2,JMJD1C,LMCD1,LTBP2,PHLDB1,PLEKHA1,PMP22,RGS12,RNASE4,SLCO2A1,SMAD6,TBC1D2B,TRIB1	0.0008425099147175544	0	0
14	CRX DN.V1 DN	8.834276670682985e-05	3.4615106787700753	32.310731475751176	CADPS2,COL4A2,CTNNAL1,GLIPR2,GNG11,MAP3K8,PPP1R14A,RGL3,RNASE4,RXRG,SERPING1,SOCS3,STEAP4,TGM2,TMEM176A	0.0011547661648107044	0	0
15	CSR LATE UP.V1 DN	0.0001267503974897476	3.0545977011494254	27.409793386757503	ACVRL1,ANKRD29,APOL3,CCL2,CLEC3B,DAAM2,MME,NTN4,PDE5A,PRKG1,SFTPB,SGIP1,SVEP1,TBC1D2B,TNXB,TRIM22,VAMP5	0.0015463548493749207	0	0
16	HINATA NFKB IMMU INF	0.00024580375027030444	11.343573446327683	94.27617918478887	CCL2,CD83,IL6,IRF1,OLR1	0.002811380393716607	0	0
17	PRC2 SUZ12 UP.V1 DN	0.0005051263009995233	2.6829914783987316	20.365788939279675	AATK,ACE,COL13A1,EDN1,GAB2,HIGD1B,IPCEF1,MCTP1,MTMR10,MYL3,PDE6A,PKD2L1,PTGIR,SCTR,SLC15A3,SLCO4A1,STAT5A	0.005437536063700752	0	0
18	PTEN DN.V2 UP	0.0006034425920983674	2.9744818178793624	22.049416238171645	ANO2,APOL3,ARHGDIB,BNC2,CEACAM21,COL13A1,GPM6A,HSPB7,IL4R,NAV3,PTGDS,RND1,RTN1,VAMP5	0.006134999686333402	0	0
19	MEK UP.V1 UP	0.000677987552368314	2.607365311757529	19.02433236218448	ABCG1,ARHGDIB,CADPS2,CCNJL,EDN1,EPAS1,FHL1,GPX3,IL4R,LIMCH1,PARM1,PCDH9,PPARG,PRKCH,PTPRE,SDCBP,VWA1	0.006530090635968498	0	0
20	MTOR UP.V1 DN	0.0009378405142134248	2.6124205779872924	18.213615100725555	AOC3,C2,CRY2,FXYD1,GCOM1,HLA-DQB1,ITIH5,KCNK3,LIFR,MYH11,PPP1R14A,SASH1,SLC12A4,SLIT3,TSPAN4,UPB1	0.008581240705052838	0	0
