Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Leishmaniasis	6.622172374695028e-05	13.107142857142858	126.12350829913886	HLA-DOA,HLA-DQA1,HLA-DQB1,NFKBIA,TLR4	0.006721890345988428	0	0
2	Lysosome	7.595356323150767e-05	9.348045397225725	88.66984150936814	ASAH1,CLN5,CTSH,GNS,LAPTM5,TPP1	0.006721890345988428	0	0
3	Phagosome	0.00019515644785273944	7.8018967334035825	66.64153173505474	HLA-DOA,HLA-DQA1,HLA-DQB1,OLR1,TLR4,VAMP3	0.011514230423311627	0	0
4	Th17 cell differentiation	0.0003127047033020723	9.238095238095237	74.55374966755207	HLA-DOA,HLA-DQA1,HLA-DQB1,IL6ST,NFKBIA	0.012894312873261487	0	0
5	Toxoplasmosis	0.0003861316197087171	8.804183355585225	69.19500229521276	HLA-DOA,HLA-DQA1,HLA-DQB1,NFKBIA,TLR4	0.012894312873261487	0	0
6	Inflammatory bowel disease	0.00045302669355152403	12.266625425301578	94.44761242513015	HLA-DOA,HLA-DQA1,HLA-DQB1,TLR4	0.012894312873261487	0	0
7	Neurotrophin signaling pathway	0.0005099445769086464	8.260651629072681	62.62572243573523	IRAK3,NFKBIA,PSEN1,RPS6KA2,SOS2	0.012894312873261487	0	0
8	Asthma	0.0006504148996199522	19.88851802403204	145.93995823029928	HLA-DOA,HLA-DQA1,HLA-DQB1	0.014390429654091442	0	0
9	Allograft rejection	0.0011870333629946746	15.90520694259012	107.14221461976203	HLA-DOA,HLA-DQA1,HLA-DQB1	0.020493306295086045	0	0
10	Human T-cell leukemia virus 1 infection	0.0013388303278303408	5.3296316359696645	35.26062404698597	EGR1,HLA-DOA,HLA-DQA1,HLA-DQB1,NFKBIA,SPI1	0.020493306295086045	0	0
11	Cell adhesion molecules	0.001360916484183834	6.575757575757576	43.397349448658375	CADM1,HLA-DOA,HLA-DQA1,HLA-DQB1,SDC2	0.020493306295086045	0	0
12	Graft-versus-host disease	0.0015898027951935848	14.271028037383177	91.9645782336093	HLA-DOA,HLA-DQA1,HLA-DQB1	0.020493306295086045	0	0
13	Th1 and Th2 cell differentiation	0.0016690107958431837	8.491423670668954	54.307105288431686	HLA-DOA,HLA-DQA1,HLA-DQB1,NFKBIA	0.020493306295086045	0	0
14	Type I diabetes mellitus	0.0017022427928104391	13.913551401869158	88.71014078934452	HLA-DOA,HLA-DQA1,HLA-DQB1	0.020493306295086045	0	0
15	Rheumatoid arthritis	0.0017367208724649189	8.39559041763833	53.3603283667338	HLA-DOA,HLA-DQA1,HLA-DQB1,TLR4	0.020493306295086045	0	0
16	Intestinal immune network for IgA production	0.002338686297299425	12.36448598130841	74.90610757387792	HLA-DOA,HLA-DQA1,HLA-DQB1	0.02587171716387489	0	0
17	Influenza A	0.002625974698351537	5.6238950670088395	33.418889305597936	HLA-DOA,HLA-DQA1,HLA-DQB1,NFKBIA,TLR4	0.02734103068283659	0	0
18	Autoimmune thyroid disease	0.003105203183367834	11.125233644859813	64.24462115028774	HLA-DOA,HLA-DQA1,HLA-DQB1	0.030534497969783702	0	0
19	Viral myocarditis	0.004411653905452346	9.755533694048205	52.90919186046535	HLA-DOA,HLA-DQA1,HLA-DQB1	0.0410980390139508	0	0
