Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	3.6631744977965634e-11	5.7622327302631575	138.46706274207494	CD22,CD33,CD34,CD36,CD37,CD3G,CD55,CR1,CSF1R,CSF3,CSF3R,EPOR,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL1R1,IL5RA,IL6,IL7,IL7R,ITGA1,ITGB3,MME,TNF	7.3268447165996895e-09	0	0
2	Malaria	4.9673523502370774e-11	9.376818469323213	222.47016653705225	ACKR1,CCL2,CD36,CR1,CSF3,HBA2,HBB,HGF,IL10,IL6,ITGAL,ITGB2,KLRC4-KLRK1,PECAM1,SELE,SELP,THBS1,TLR4,TNF	7.3268447165996895e-09	0	0
3	Hypertrophic cardiomyopathy	1.2568972555130207e-10	5.90248831628142	134.56023463076005	ACE,CACNA1C,CACNA1D,CACNA1S,CACNA2D2,CACNA2D4,CACNB1,CACNB4,CACNG6,DES,DMD,EDN1,IL6,ITGA1,ITGA9,ITGB3,LAMA2,MYBPC3,MYL3,SGCA,SLC8A1,SLC8A3,TNF,TNNC1,TTN	1.235948967921137e-08	0	0
4	Dilated cardiomyopathy	3.0539381431848065e-09	5.109379272627837	100.17875065242002	ADCY4,CACNA1C,CACNA1D,CACNA1S,CACNA2D2,CACNA2D4,CACNB1,CACNB4,CACNG6,DES,DMD,ITGA1,ITGA9,ITGB3,LAMA2,MYBPC3,MYL3,PLN,SGCA,SLC8A1,SLC8A3,TNF,TNNC1,TTN	2.2522793805987948e-07	0	0
5	Cell adhesion molecules	2.9319480842295674e-08	3.7413785942713162	64.8942628499022	CADM1,CD22,CD226,CD34,CDH5,CLDN15,CLDN5,ESAM,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ICAM2,ITGA9,ITGAL,ITGB2,JAM2,NCAM2,NLGN3,NRXN3,PECAM1,PTPRC,PTPRM,SELE,SELP,SELPLG,SIGLEC1	1.7298493696954447e-06	0	0
6	Complement and coagulation cascades	1.83708617241697e-07	4.702685703503365	72.9382552344678	A2M,C1QB,C2,C3,C4BPA,C8B,CD55,CFD,CFH,CR1,F10,F11,ITGAX,ITGB2,PROS1,SERPINA1,SERPING1,TFPI,VSIG4,VWF	9.032340347716768e-06	0	0
7	Staphylococcus aureus infection	2.838179077117585e-07	4.3387335780952805	65.40611788378905	C1QB,C2,C3,CFD,CFH,DEFA3,FCGR2A,FCGR2C,FPR2,FPR3,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,ITGAL,ITGB2,SELP,SELPLG	1.1960897539281252e-05	0	0
8	Arrhythmogenic right ventricular cardiomyopathy	8.290193456736393e-07	4.656713939813214	65.20806935779429	ACTN2,CACNA1C,CACNA1D,CACNA1S,CACNA2D2,CACNA2D4,CACNB1,CACNB4,CACNG6,DES,DMD,ITGA1,ITGA9,ITGB3,LAMA2,SGCA,SLC8A1,SLC8A3	3.057008837171545e-05	0	0
9	Adrenergic signaling in cardiomyocytes	1.782172026051127e-06	3.2102870623161133	42.49674544961848	ADCY4,ADRA1A,ADRB2,AGTR1,ATP1A2,CACNA1C,CACNA1D,CACNA1S,CACNA2D2,CACNA2D4,CACNB1,CACNB4,CACNG6,CAMK2A,CREB3L1,KCNE1B,KCNQ1,MYL3,PLCB2,PLN,RAPGEF3,SCN1B,SCN7A,SLC8A1,SLC8A3,TNNC1	5.841563863167583e-05	0	0
10	Leishmaniasis	3.862948408208597e-06	4.32094888526373	53.85665184614698	C3,CR1,FCGR2A,FCGR2C,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,ITGB2,NCF1,NFKBIA,TLR4,TNF	0.00011395697804215362	0	0
