Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	1.464187241433714e-10	5.0474714995615315	114.29772390221247	AIF1,CCL2,CD69,CPM,CRIM1,CTSH,DCN,ENPP2,FRY,HCK,HLA-DMA,HLA-DQB1,ITGAX,ITGB2,MNDA,PDE4D,PTGDS,PTPN22,PTPRE,RBM47,SH3BP5,SPTLC3,ST3GAL6,TNFAIP2,TRIM22,TYROBP,VWF	1.5191207011014704e-08	0	0
2	EGFR UP.V1 UP	1.6512181533711636e-10	5.016803548599543	113.00017700044198	A2M,ACTG2,ARAP2,CADPS2,CCL2,CRISPLD2,CSGALNACT1,DUSP6,EDN1,EPAS1,IL1R1,IL4R,JUNB,KRT7,MGAT4A,MGLL,PAPSS2,PCDH9,PLAGL1,PTPRE,RCAN1,RND1,RNF19A,SDCBP,SEL1L3,SOCS2,TFPI	1.5191207011014704e-08	0	0
3	ATF2 S UP.V1 DN	2.0633573614905203e-09	4.745617679645457	94.9072823958425	A2M,ABCA8,ADH1B,C4BPA,CCL2,CD302,CELF2,CSGALNACT1,DES,EFEMP1,FOS,IL1R1,IL4R,ITIH5,LAMA2,NFIB,PDE4DIP,PLN,SERPINA3,SERPING1,SLIT3,SMAD6,SORBS1,ST3GAL6,SVEP1	1.1838583394304792e-07	0	0
4	ERB2 UP.V1 UP	3.2170063571480415e-09	4.630300046339203	90.5446590067874	CADPS2,CAST,CSGALNACT1,DAB2,DOCK10,DUSP6,EDN1,EPAS1,FGFR4,IL1R1,KRT7,LIMCH1,LMO3,MGAT4A,MUC1,NPC2,PAPSS2,PARM1,PDE4D,PNRC1,PTPRE,SDCBP,SERPINA1,SLC9A3R2,VIPR1	1.1838583394304792e-07	0	0
5	ESC J1 UP LATE.V1 UP	3.2170063571480415e-09	4.630300046339203	90.5446590067874	APOC2,ARAP2,CA4,CD55,CITED2,COL4A1,COL4A2,CRIM1,CTSH,DAB2,GPX3,HLA-DRB1,HNF1B,ID2,KRT7,LGMN,LMO7,PARM1,PDGFRA,PODXL,PTH1R,RBP4,RGL3,SEL1L3,SHROOM3	1.1838583394304792e-07	0	0
6	ESC V6.5 UP LATE.V1 UP	1.3488578847267553e-08	4.437975903614458	80.42243648690435	APOC2,CA4,CD55,COL4A1,COL4A2,CTSH,CYBA,DAB2,GPX3,HNF1B,HPN,KRT7,LGMN,PARM1,PLAGL1,PODXL,PTH1R,RBP4,RGL3,SEL1L3,SH3RF1,SLIT3,TNNC1,ZNF521	4.1364975131620497e-07	0	0
7	ATF2 UP.V1 DN	4.468384520542077e-08	4.298498012935401	72.74629225433247	ABCA8,AFF1,CCL2,CD302,CELF2,CFH,CSGALNACT1,EFEMP1,FOS,FRY,IL1R1,ITIH5,LIMCH1,MFAP4,NFIB,PDE4DIP,PLN,RNASE4,SERPINA3,SLCO4A1,SLIT3,SMAD6,SVEP1	1.1745467882567745e-06	0	0
8	LTE2 UP.V1 UP	6.02031578530864e-08	4.2206194639475045	70.17008206977484	ACTG2,C4ORF19,CD302,CSGALNACT1,DAB2,DIAPH2,DPYSL2,EDN1,EPAS1,FGFR4,GPX3,IL1R1,MGAT4A,NPC2,PCDH9,PLAGL1,PNRC1,PRKCH,RCAN1,SASH1,SDCBP,SERPINA1,UNC13B	1.3846726306209873e-06	0	0
9	KRAS.600 UP.V1 UP	8.074371791795613e-07	3.187342320059362	44.71650219866388	A2M,ATP1A2,CCNJL,CSF3,CXCL5,DOCK4,DUSP6,ETV1,GNG11,HPN,ITGB2,LAPTM5,LIMCH1,LMO3,MGAT4A,NAV3,NRP1,NTRK3,PCDH9,RBP4,RNASE1,RTN1,SLCO4A1,ST3GAL6,TFPI,TGM2,ZEB1	1.6507604552115474e-05	0	0
10	KRAS.KIDNEY UP.V1 UP	1.1281828799159593e-06	4.31800541572557	59.134662257972266	A2M,ANK2,AQP4,ASPA,ATP1A2,DUSP6,EPB41L3,ETV1,LIMCH1,LMO3,MEF2C,PCDH9,PECAM1,PLCL1,RTN1,SORBS1,SPARCL1,ST3GAL6	2.075856499045365e-05	0	0
11	MEL18 DN.V1 DN	1.525083951534545e-06	4.217700841155675	56.48961214422302	A2M,AK1,APOE,DMD,EFHD1,EGR1,EPB41L3,FOS,ID2,IL1R1,PDE5A,PLEKHA4,PLN,PPARGC1A,RBP4,SH3BGRL,SOCS2,UNC5C	2.4315112748578696e-05	0	0
12	CRX DN.V1 DN	1.6445654461422006e-06	4.421967975765444	58.89192150694147	CADPS2,COL4A2,EGR1,GLIPR2,GNG11,JUNB,MYOCD,PPP1R14A,RBP4,RGL3,RNASE4,SEL1L3,SERPINA3,SERPING1,SOCS3,STEAP4,TGM2	2.4315112748578696e-05	0	0
13	MEK UP.V1 UP	1.7179155746278427e-06	3.664203821656051	48.64010309627903	ARHGDIB,CADPS2,CCNJL,CSGALNACT1,EDN1,EPAS1,FHL1,GPX3,IL4R,KRT7,LIMCH1,MEF2C,NEDD9,NPC2,PARM1,PCDH9,PPARG,PRKCH,PTPRE,SDCBP,TIMP2	2.4315112748578696e-05	0	0
14	HINATA NFKB IMMU INF	1.0397791434069792e-05	16.406051180545738	188.24167178239307	CCL2,CD83,IL6,NFKBIA,OLR1,TNFAIP2	0.00013665668741920297	0	0
