Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Glycolysis / Gluconeogenesis	6.752200809436527e-09	8.95707629778938	168.51303538928346	ADH7,ALDH3A1,ALDOA,DLD,ENO1,GAPDH,GPI,HK2,LDHA,LDHB,PDHA1,PGAM1,PKM,TPI1	1.883864025832791e-06	0	0
2	Metabolism of xenobiotics by cytochrome P450	3.7226772236402574e-08	7.653296423930851	130.91910743932914	ADH7,AKR1C1,ALDH3A1,CBR1,CBR3,GSTM1,GSTM2,GSTM3,GSTP1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7	5.193134726978159e-06	0	0
3	Glutathione metabolism	7.455705726712116e-08	9.014543339150668	147.94399115363714	G6PD,GCLC,GGCT,GPX2,GSR,GSTM1,GSTM2,GSTM3,GSTP1,IDH2,PGD,RRM2	5.76985113887619e-06	0	0
4	Drug metabolism	9.884551169385536e-08	5.906013601283717	95.26227302302665	ADH7,ALDH3A1,GSTM1,GSTM2,GSTM3,GSTP1,NME1,NME2,RRM2,TYMP,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UMPS	5.76985113887619e-06	0	0
5	Central carbon metabolism in cancer	1.0340235015907152e-07	7.718500797448166	124.14929235903027	FGFR2,G6PD,HK2,HRAS,IDH2,LDHA,LDHB,PDHA1,PGAM1,PIK3CA,PKM,SLC2A1,SLC7A5	5.76985113887619e-06	0	0
6	Cell cycle	6.852891317976772e-07	5.026882770292261	71.34868357148694	BUB1,CCNB1,CDKN2A,CHEK2,DBF4,MCM2,MCM4,MCM5,MDM2,ORC5,PKMYT1,PLK1,PTTG1,RBL1,TFDP1,YWHAZ	3.186594462859199e-05	0	0
7	DNA replication	7.495967280709333e-06	9.59990096558554	113.2898269086796	FEN1,MCM2,MCM4,MCM5,POLD2,RFC4,RNASEH2A,RPA3	0.00029876783875970055	0	0
8	Steroid hormone biosynthesis	9.992981448022193e-06	6.603239556692242	76.02724098868755	AKR1C1,AKR1C2,AKR1C3,HSD17B1,SRD5A1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7	0.000348505227999774	0	0
9	Chemical carcinogenesis	8.349863662762185e-05	2.928886925795053	27.504240620419576	AKR1C2,BIRC5,CACNA1B,CBR1,GSTM1,GSTM2,GSTM3,GSTP1,HRAS,JAG1,KLF5,KPNA1,KPNA2,PIK3CA,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7	0.0025884577354562776	0	0
10	Diabetic cardiomyopathy	0.00010367372299382816	3.094171210056035	28.38673694951856	ATP2A1,ATP2A2,COL1A1,COX5A,G6PD,GAPDH,GSR,NDUFA10,NDUFA9,NDUFB5,NDUFS6,PDHA1,PIK3CA,PPIF,SDHC,SLC2A1,VDAC2	0.0028924968715278053	0	0
11	Ascorbate and aldarate metabolism	0.0001991024046642849	8.372625215889464	71.34892720333374	UGDH,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7	0.004629130908444624	0	0
12	Pentose phosphate pathway	0.0001991024046642849	8.372625215889464	71.34892720333374	ALDOA,G6PD,GPI,PGD,TALDO1,TKT	0.004629130908444624	0	0
