Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	2.904875357019496e-14	4.017097671365395	125.21213428650584	ABCB6,AKR1C1,AKR1C3,ALDH3A1,BCAT1,CBR1,CBR3,CYP4F11,CYP4F3,DBF4,G6PD,GCLC,GCNT3,GPC1,GPX2,GSR,HTATIP2,IGFBP3,LRP8,MTHFD2,NQO1,NRCAM,NT5DC1,PANX2,PFN2,PGD,PHGDH,PNPLA4,PPIF,PTGR1,PTPRZ1,RPL22L1,RRM2,SPP1,STC2,TALDO1,TKT,TM9SF3,TMEM237,TPD52L1,TRIM29,TXNRD1,UCHL1,UGDH,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7	5.2868731497754825e-12	0	0
2	CSR LATE UP.V1 UP	1.6237668837737155e-07	4.4860270144387515	70.13161680658297	ANLN,BIRC5,CHEK2,DTYMK,EZH2,FAM83D,FANCA,FEN1,FOXM1,IGFBP3,IMP4,ITGA6,PBK,PRMT5,RPF2,RRM2,UBE2C,UHRF1,UMPS,ZWINT	1.4776278642340811e-05	0	0
3	P53 DN.V1 UP	4.489843899478374e-06	3.690661282180717	45.44566860466696	ADM,ANXA1,AUTS2,CALB1,CD24,CDH13,CDKN2A,COL17A1,DSC2,ITGB4,KLF5,KLK10,KRT15,KRT19,LSR,PITX1,PRDX2,SULF1,UCHL1	0.00027238386323502134	0	0
4	RPS14 DN.V1 DN	1.0136991286179177e-05	3.6152906922137693	41.573382108619384	BCAT1,CDCA3,ECT2,EXO1,IPO4,KIF23,KRT13,MCM5,MYO19,NCAPH,NLE1,PBK,PES1,PLK1,PRC1,PYCR1,SLC6A8,TRIM29	0.0003914203064400646	0	0
5	MTOR UP.V1 UP	1.0753305121979796e-05	3.7679968701095463	43.107004786665875	BDH1,DBF4,FDPS,GPX2,HELLS,HSPE1,KCNE3,KRBA1,MCM5,PPAN,RRM2,SLC2A1,SLC41A3,TMEM97,TMPRSS4,UBE2C,UHRF1	0.0003914203064400646	0	0
6	MEL18 DN.V1 UP	1.6838015449793633e-05	4.028613199665831	44.28199822514561	ABCC5,ADAM12,ADM,CA12,CDH13,CHST2,COL7A1,DDX11,FZD6,JAG1,LAMB3,PTHLH,SLC7A5,SPP1,STC2	0.0005107531353104068	0	0
7	GCNP SHH UP LATE.V1 DN	0.0002746633749798842	3.0701754385964914	25.175328994578436	BCL2L2,DLX5,ESRP1,GJB6,KLK8,KPNA1,LSR,MDFI,MRPL3,NDUFA10,PUS1,S100A11,SLC2A1,UBE2V2,WNK2	0.007141247749476989	0	0
8	E2F1 UP.V1 UP	0.00046257522990254666	2.910012099213551	22.34511384927021	BUB1,DBF4,DNAJC21,EZH2,FEN1,GRSF1,GRWD1,HMGB3,KPNA1,MCM4,NCAPH,PRC1,SLBP,TOP2A,TYMS	0.010523586480282936	0	0
9	VEGF A UP.V1 DN	0.0005762613275155675	2.844027202838557	21.21345473242993	ATP13A3,BIRC5,BUB1,CCNB1,CDKN3,DBF4,EXO1,KIF23,LRP8,MCM4,MRPL19,NUDT21,RFC4,RRM2,SMC4	0.011653284623092588	0	0
10	RB P107 DN.V1 UP	0.0008533643468514352	3.1555955497382198	22.29846045965323	COL1A1,FANCA,FEN1,FKBP10,GSTM2,MCM2,MCM5,NCAPH,PRC1,RPA3,RRM2,SLBP	0.01553123111269612	0	0
11	BMI1 DN MEL18 DN.V1 UP	0.0011600448107624475	3.036176829508326	20.52241985623649	ADAM12,ADM,CDH13,COL7A1,JAG1,LAMB3,MICALL1,PTHLH,SLC7A5,STC2,TUFT1,ZNF639	0.019193468687160497	0	0
12	CORDENONSI YAP CONSERVED SIGNATURE	0.0013154377862511517	4.690484429065744	31.114730676075915	BIRC5,ECT2,FSCN1,NDRG1,PHGDH,SGK1,TOP2A	0.019950806424809134	0	0
13	PRC2 EDD UP.V1 UP	0.0016822185614878515	2.6348364625424376	16.830391483306094	BTBD2,DLK2,HELLS,IDH2,JUP,KIF23,KLK8,MCM2,MCM5,MVD,PLK1,RAD54L,RECQL4,TRMT2A	0.022103889848427132	0	0
14	RB P130 DN.V1 UP	0.0018450954519932045	3.030544924887188	19.077959954384234	ATP2A1,B4GALT4,BIRC5,FST,HMGA2,LSM4,POLD2,SNRPB,SNRPC,UBE2C,ZNF428	0.022103889848427132	0	0
15	LEF1 UP.V1 UP	0.0018527159351049813	2.6054513260636085	16.39116172472142	ANO1,AUTS2,BMP7,CDKN2A,CHST2,KCNG1,KRT13,KRT5,PAX6,RYR1,S100A2,SLC6A8,STC2,WNT5A	0.022103889848427132	0	0
16	MEK UP.V1 UP	0.0019431991075540337	2.5910009430149534	16.17670617369285	ADM,AKR1C2,AKR1C3,ALDH3A1,BCAM,BMP7,CLDN4,EGLN3,GPX2,ITGB4,LRP8,ST6GALNAC2,TMPRSS4,TRIM29	0.022103889848427132	0	0
17	KRAS.LUNG UP.V1 DN	0.0036214625949568553	2.757436684174944	15.499213272503425	CXCL14,IGFBP2,KLK8,KRT13,KRT15,PLCH2,RHCG,RYR1,SERPINB13,SH3BP1,TGM1	0.03877095248718515	0	0
