Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	7.502172027130669e-10	6.484017065966524	136.2334672937294	ADH4,ADH6,ADH7,AKR1C1,ALDH3A1,CBR1,CBR3,CYP2S1,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,MGST1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	2.235647264084939e-07	0	0
2	Drug metabolism	5.77952369375759e-09	4.857659987071751	92.14468300349436	ADH4,ADH6,ADH7,ALDH3A1,CYP2C19,FMO1,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,MGST1,NAT1,RRM1,RRM2,UCK2,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1,UMPS	8.61149030369881e-07	0	0
3	Steroid hormone biosynthesis	1.7437119949581436e-07	6.014096036737546	93.59184052174352	AKR1C1,AKR1C2,AKR1C3,CYP19A1,DHRS11,HSD17B1,HSD17B2,SRD5A1,SRD5A3,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	1.7320872483250893e-05	0	0
4	Glutathione metabolism	4.02764481255436e-07	6.036483713772762	88.88670270014742	G6PD,GCLC,GGCT,GPX2,GSR,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,MGST1,PGD,RRM1,RRM2,TXNDC12	3.0005953853529983e-05	0	0
5	Glycolysis / Gluconeogenesis	1.8085519326486807e-05	4.4581098231660885	48.68433795271904	ADH4,ADH6,ADH7,ALDH3A1,ALDOA,DLD,GAPDH,GPI,HK2,PDHA1,PGAM1,PGM2,PKM,TPI1	0.0008871500030621698	0	0
6	Cell cycle	2.010384793326573e-05	3.2543178192411735	35.19414328074238	BUB1,BUB1B,CCNB1,CCNE1,CDC45,CDK1,CDK4,CDKN2A,DBF4,GADD45G,MCM2,MCM3,MCM4,MCM5,MCM7,PKMYT1,PLK1,PTTG1,TTK,YWHAZ	0.0008871500030621698	0	0
7	DNA replication	2.0839094031661707e-05	6.477280538942737	69.81653299855869	DNA2,FEN1,MCM2,MCM3,MCM4,MCM5,MCM7,POLD2,RFC4,RPA3	0.0008871500030621698	0	0
8	Fanconi anemia pathway	3.7276924455594324e-05	4.816216907532932	49.111619149031156	BLM,BRIP1,FAAP24,FANCA,FANCB,FANCD2,FANCG,FANCI,PALB2,RAD51,RPA3,UBE2T	0.0013885654359708885	0	0
9	Retinol metabolism	9.495007600826213e-05	3.98514173998045	36.911017709270034	ADH4,ADH6,ADH7,CYP2S1,PNPLA4,RDH10,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.003143902516718013	0	0
10	Pentose phosphate pathway	0.0001929332298800151	6.114345957343281	52.29701832749014	ALDOA,G6PD,GPI,PGD,PGM2,PRPS1,TALDO1,TKT	0.004992039711926689	0	0
11	Hepatocellular carcinoma	0.00020101837290894975	2.548848547846209	21.696090036484726	CDK4,CDKN2A,DPF1,DVL2,EGFR,FZD10,FZD6,GADD45G,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,HRAS,KEAP1,MGST1,NQO1,TGFA,TXNRD1,WNT5A,WNT5B,WNT7B	0.004992039711926689	0	0
12	p53 signaling pathway	0.0002010217333661754	3.6520758661887696	31.086825958316563	CCNB1,CCNE1,CDK1,CDK4,CDKN2A,COP1,GADD45G,IGFBP3,RRM2,SERPINB5,SESN3,SIAH1,TNFRSF10A	0.004992039711926689	0	0
13	Pentose and glucuronate interconversions	0.0004894377001039447	5.172579427708777	39.426711008628715	SORD,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.011219418048536578	0	0
14	Chemical carcinogenesis	0.0010516203248814616	2.0648253376408343	14.159381045682384	AKR1C2,BIRC5,CACNA1B,CBR1,CYP2C19,EGFR,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,HRAS,IKBKE,JAG1,KLF5,KPNA1,KPNA2,MGST1,NAT1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.022384489772476826	0	0
15	Ascorbate and aldarate metabolism	0.0011600924333064102	5.112609470665737	34.55743416020754	UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.023047169675020684	0	0
16	Bile secretion	0.0015794896024344137	2.8432016012661174	18.340508418882433	ABCC2,SCARB1,SLC2A1,SLC51A,SLCO1A2,SLCO1B3,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.029417993845340953	0	0
17	Central carbon metabolism in cancer	0.0017807253063030731	3.1371395652042087	19.860397746468543	EGFR,FGFR2,FGFR3,G6PD,HK2,HRAS,PDHA1,PGAM1,PKM,SLC2A1,SLC7A5	0.03121506713401858	0	0
18	Porphyrin and chlorophyll metabolism	0.002491936540656324	3.840652478654263	23.02354076207231	EARS2,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.041255393839754705	0	0
